cluster_id,topology,n_agents,coupling_strength,sampling_temperature,mean_abs_belief_magnetization,belief_susceptibility
A_mod_n8_g0,modular,8,0.35,0.5,0.018465909090909,0.0343993506493506
A_mod_n8_g0,modular,8,0.35,0.85,0.0397727272727272,0.1072727272727272
A_mod_n8_g0,modular,8,0.8,0.5,0.0269886363636363,0.0484253246753246
A_mod_n8_g0,modular,8,0.8,0.85,0.0511363636363636,0.0818181818181818
A_mod_n8_g1,modular,8,0.35,0.5,0.0,0.0
A_mod_n8_g1,modular,8,0.35,0.85,0.034090909090909,0.0592207792207792
A_mod_n8_g1,modular,8,0.8,0.5,0.0056818181818181,0.0111688311688311
A_mod_n8_g1,modular,8,0.8,0.85,0.002840909090909,0.0056493506493506
A_mod_n8_g2,modular,8,0.35,0.5,0.0,0.0
A_mod_n8_g2,modular,8,0.35,0.85,0.0071022727272727,0.0138798701298701
A_mod_n8_g2,modular,8,0.8,0.5,0.0,0.0
A_mod_n8_g2,modular,8,0.8,0.85,0.0071022727272727,0.0138798701298701
A_mod_n16_g0,modular,16,0.35,0.5,0.0071022727272727,0.0134356384356384
A_mod_n16_g0,modular,16,0.35,0.85,0.0085227272727272,0.0159285159285159
A_mod_n16_g0,modular,16,0.8,0.5,0.002840909090909,0.0055685055685055
A_mod_n16_g0,modular,16,0.8,0.85,0.0,0.0
A_mod_n16_g1,modular,16,0.35,0.5,0.0120738636363636,0.0218774281274281
A_mod_n16_g1,modular,16,0.35,0.85,0.0170454545454545,0.0295260295260295
A_mod_n16_g1,modular,16,0.8,0.5,0.0241477272727272,0.0504726754726754
A_mod_n16_g1,modular,16,0.8,0.85,0.0220170454545454,0.047777454027454
A_mod_n16_g2,modular,16,0.35,0.5,0.0081676136363636,0.0153113668738668
A_mod_n16_g2,modular,16,0.35,0.85,0.0031960227272727,0.0062463578088578
A_mod_n16_g2,modular,16,0.8,0.5,0.0,0.0
A_mod_n16_g2,modular,16,0.8,0.85,0.0056818181818181,0.0108780108780108
A_ring_n8_g0,ring,8,0.35,0.5,0.002840909090909,0.0056818181818181
A_ring_n8_g0,ring,8,0.35,0.85,0.002840909090909,0.0056818181818181
A_ring_n8_g0,ring,8,0.8,0.5,0.2329545454545454,0.0321316614420062
A_ring_n8_g0,ring,8,0.8,0.85,0.1960227272727272,0.0856191222570533
A_ring_n8_g1,ring,8,0.35,0.5,0.0,0.0
A_ring_n8_g1,ring,8,0.35,0.85,0.0426136363636363,0.071512539184953
A_ring_n8_g1,ring,8,0.8,0.5,0.034090909090909,0.0595611285266457
A_ring_n8_g1,ring,8,0.8,0.85,0.0568181818181818,0.0888192267502612
A_ring_n16_g0,ring,16,0.35,0.5,0.0035511363636363,0.006939935064935
A_ring_n16_g0,ring,16,0.35,0.85,0.0213068181818181,0.035551948051948
A_ring_n16_g0,ring,16,0.8,0.5,0.0326704545454545,0.0771103896103896
A_ring_n16_g0,ring,16,0.8,0.85,0.0326704545454545,0.0771103896103896
A_ring_n16_g1,ring,16,0.35,0.5,0.0447443181818181,0.0735633116883116
A_ring_n16_g1,ring,16,0.35,0.85,0.0234375,0.0393425324675324
A_ring_n16_g1,ring,16,0.8,0.5,0.1143465909090909,0.0196022727272727
A_ring_n16_g1,ring,16,0.8,0.85,0.0582386363636363,0.1171103896103896
