application,panels,harm_rate_reduction,harm_ci95_low,harm_ci95_high,causal_utility_gain,utility_ci95_low,utility_ci95_high
humanitarian,1,-0.02631578947368418,-0.02631578947368418,-0.02631578947368418,-2.390262616178359,-2.390262616178359,-2.390262616178359
utility_restoration,3,0.0,0.0,0.0,0.0010696637771000262,0.000468455703457632,0.0018843069729011508
