run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,environment_seed,method,coverage,selected_actions,harm_rate,mean_causal_utility,beneficial_rate
v7-pilots_iteration2-humanitarian-medium-high-high-high-modular-private_fragmented-773102-always_act-event_triggered,humanitarian,medium,high,high,high,modular,773102,kpi_confidence,0.6,38,0.7894736842105263,5.588203287939817,0.21052631578947367
v7-pilots_iteration2-humanitarian-medium-high-high-high-modular-private_fragmented-773102-always_act-event_triggered,humanitarian,medium,high,high,high,modular,773102,predictive_uncertainty,0.6,38,0.8157894736842105,1.3284204226584955,0.18421052631578946
v7-pilots_iteration2-humanitarian-medium-high-high-high-modular-private_fragmented-773102-always_act-event_triggered,humanitarian,medium,high,high,high,modular,773102,shannon_js,0.6,38,0.8157894736842105,1.0388033251802933,0.18421052631578946
v7-pilots_iteration2-humanitarian-medium-high-high-high-modular-private_fragmented-773102-always_act-event_triggered,humanitarian,medium,high,high,high,modular,773102,generalized_tsallis_gini,0.6,38,0.8157894736842105,1.038803325180293,0.18421052631578946
v7-pilots_iteration2-humanitarian-medium-high-high-high-modular-private_fragmented-773102-always_act-event_triggered,humanitarian,medium,high,high,high,modular,773102,graph_disagreement,0.6,38,0.7894736842105263,4.721378125839408,0.21052631578947367
v7-pilots_iteration2-humanitarian-medium-high-high-high-modular-private_fragmented-773102-always_act-event_triggered,humanitarian,medium,high,high,high,modular,773102,combined_generalized_entropic,0.6,38,0.8157894736842105,3.197940671761458,0.18421052631578946
v7-pilots_iteration2-humanitarian-small-low-low-low-random_geometric-private_fragmented-773101-always_act-event_triggered,humanitarian,small,low,low,low,random_geometric,773101,kpi_confidence,0.6,17,0.23529411764705882,4.282415716105887,0.7647058823529411
v7-pilots_iteration2-humanitarian-small-low-low-low-random_geometric-private_fragmented-773101-always_act-event_triggered,humanitarian,small,low,low,low,random_geometric,773101,predictive_uncertainty,0.6,17,0.058823529411764705,6.02646769130471,0.9411764705882353
v7-pilots_iteration2-humanitarian-small-low-low-low-random_geometric-private_fragmented-773101-always_act-event_triggered,humanitarian,small,low,low,low,random_geometric,773101,shannon_js,0.6,17,0.11764705882352941,6.013824480937315,0.8823529411764706
v7-pilots_iteration2-humanitarian-small-low-low-low-random_geometric-private_fragmented-773101-always_act-event_triggered,humanitarian,small,low,low,low,random_geometric,773101,generalized_tsallis_gini,0.6,17,0.11764705882352941,6.0138244809373145,0.8823529411764706
v7-pilots_iteration2-humanitarian-small-low-low-low-random_geometric-private_fragmented-773101-always_act-event_triggered,humanitarian,small,low,low,low,random_geometric,773101,graph_disagreement,0.6,17,0.11764705882352941,5.871572130162311,0.8823529411764706
v7-pilots_iteration2-humanitarian-small-low-low-low-random_geometric-private_fragmented-773101-always_act-event_triggered,humanitarian,small,low,low,low,random_geometric,773101,combined_generalized_entropic,0.6,17,0.23529411764705882,3.8649559694973967,0.7647058823529411
v7-pilots_iteration2-utility_restoration-large-high-high-high-grid-private_fragmented-774107-always_act-event_triggered,utility_restoration,large,high,high,high,grid,774107,kpi_confidence,0.6,38,0.9736842105263158,-0.11398525816455152,0.02631578947368421
v7-pilots_iteration2-utility_restoration-large-high-high-high-grid-private_fragmented-774107-always_act-event_triggered,utility_restoration,large,high,high,high,grid,774107,predictive_uncertainty,0.6,38,0.9736842105263158,-0.11476972479136159,0.02631578947368421
v7-pilots_iteration2-utility_restoration-large-high-high-high-grid-private_fragmented-774107-always_act-event_triggered,utility_restoration,large,high,high,high,grid,774107,shannon_js,0.6,38,0.9736842105263158,-0.11485505060953335,0.02631578947368421
v7-pilots_iteration2-utility_restoration-large-high-high-high-grid-private_fragmented-774107-always_act-event_triggered,utility_restoration,large,high,high,high,grid,774107,generalized_tsallis_gini,0.6,38,0.9736842105263158,-0.11485505060953338,0.02631578947368421
v7-pilots_iteration2-utility_restoration-large-high-high-high-grid-private_fragmented-774107-always_act-event_triggered,utility_restoration,large,high,high,high,grid,774107,graph_disagreement,0.6,38,1.0,-0.403878225147204,0.0
v7-pilots_iteration2-utility_restoration-large-high-high-high-grid-private_fragmented-774107-always_act-event_triggered,utility_restoration,large,high,high,high,grid,774107,combined_generalized_entropic,0.6,38,0.9736842105263158,-0.11312902950961022,0.02631578947368421
