actionable_opportunities,agent_count,allocation_inequality_gini,application,autonomous_action_coverage,beneficial_actions,commitment_failures,completed_at,complexity,conservation_feasible,controller,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivery_completion,dropped_messages,eligible_operational_proposals,environment_seed,event_count,fragmentation,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,net_causal_utility,network_disruption,neutral_actions,operational_bytes,operational_messages,operational_node_count,operator_escalations,operator_minutes,physical_actions,privacy_boundary_pass,resource_waste,run_id,service_loss,service_reaching_actions,sketch_bytes,sketch_messages,sketch_policy,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
686,52,0.41401729890753547,humanitarian,0.60932944606414,146,0,2026-08-16T13:57:59.471390+00:00,large,True,always_act,high,62876.19527586342,8478,20,182.6935013990453,2048,686,771105,49024,high,267,100,1039,private_fragmented,3,7.105427357601002e-13,656.3833947305151,high,0,243839,1039,30,0,0.0,418,True,7.405983632668236,v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,128555.08197197005,127,2913192,10000,always_on,2026-08-16T13:56:53.398198+00:00,8128ba87218b8a086c10f2a8372f57860027349201772c4ea0e41a7bd7111bea,12,random_geometric,3157031,11039,3270.494789075393,,,,,,,,
686,52,0.41401729890753547,humanitarian,0.60932944606414,146,0,2026-08-16T13:56:48.840559+00:00,large,True,always_act,high,62876.19527586342,5071,20,182.6935013990453,1115,686,771105,36664,high,267,100,1039,private_fragmented,3,7.105427357601002e-13,656.3833947305151,high,0,243839,1039,30,0,0.0,418,True,7.405983632668236,v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,128555.08197197005,127,1624253,5569,event_triggered,2026-08-16T13:55:52.093961+00:00,8128ba87218b8a086c10f2a8372f57860027349201772c4ea0e41a7bd7111bea,12,random_geometric,1868092,6608,3270.494789075393,,,,,,,,
252,28,0.4623805833249349,humanitarian,0.5634920634920635,60,0,2026-08-16T13:54:37.407203+00:00,medium,True,always_act,high,14811.850483561358,314,15,83.9448523549523,185,252,771104,10570,high,76,60,420,private_fragmented,3,2.842170943040401e-14,149.55758432393736,high,0,98685,420,16,0,0.0,142,True,6.0,v7-pilots-humanitarian-medium-high-high-high-modular-private_fragmented-771104-always_act-event_triggered,30072.33496126616,50,228359,779,event_triggered,2026-08-16T13:54:14.405326+00:00,786346d36098b67032c70d9f635aea8ce906cbe38a81092e93b57f93fb7b5253,13,modular,327044,1199,1365.1988831411934,,,,,,,,
151,28,0.4521327692691751,humanitarian,0.373015873015873,41,0,2026-08-16T13:55:27.047831+00:00,medium,True,combined_generalized_entropic,high,15649.764826485803,314,15,90.277183954198,185,252,771104,10475,high,48,60,420,private_fragmented,3,2.4868995751603507e-14,103.94921813557585,high,0,98657,420,16,0,0.0,94,True,5.5,v7-pilots-humanitarian-medium-high-high-high-modular-private_fragmented-771104-combined_generalized_entropic-event_triggered,31557.625404992745,53,228359,779,event_triggered,2026-08-16T13:55:04.070948+00:00,786346d36098b67032c70d9f635aea8ce906cbe38a81092e93b57f93fb7b5253,13,modular,327016,1199,1434.1484045263664,,,,,,,,
153,28,0.45801204493243525,humanitarian,0.39285714285714285,43,0,2026-08-16T13:55:02.228475+00:00,medium,True,kpi_confidence,high,15621.973157909277,314,15,89.6453819861026,185,252,771104,10485,high,51,60,420,private_fragmented,3,7.105427357601002e-14,101.62901363488132,high,0,98680,420,16,2,14.0,99,True,5.5,v7-pilots-humanitarian-medium-high-high-high-modular-private_fragmented-771104-kpi_confidence-event_triggered,30386.06244592596,52,228359,779,event_triggered,2026-08-16T13:54:39.249979+00:00,786346d36098b67032c70d9f635aea8ce906cbe38a81092e93b57f93fb7b5253,24,modular,327039,1199,1385.1227086147999,,,,,,,,
210,28,0.4626720513815292,humanitarian,0.5619047619047619,51,0,2026-08-16T13:53:26.552122+00:00,medium,True,always_act,high,13959.317521594843,867,15,98.86992985455977,500,210,771106,12664,low,64,60,135,private_fragmented,3,3.552713678800501e-14,144.98080133762193,medium,0,41004,173,16,0,0.0,118,True,0.5,v7-pilots-humanitarian-medium-high-low-medium-small_world-private_fragmented-771106-always_act-event_triggered,29306.63379921062,54,569055,1937,event_triggered,2026-08-16T13:53:05.202512+00:00,c3afef8798b475537617762a3540dac9644246de4fc682395aa9732ce041bd02,11,small_world,610059,2110,1358.7164653056582,,,,,,,,
259,28,0.46220356496492626,humanitarian,0.6563706563706564,72,0,2026-08-16T13:53:54.113461+00:00,medium,True,always_act,low,10107.490806067499,194,15,102.27511923841598,174,259,771107,10669,high,94,60,419,private_fragmented,3,1.7053025658242404e-13,177.46562330204662,medium,0,98680,419,16,0,0.0,170,True,2.9191998641398977,v7-pilots-humanitarian-medium-low-high-medium-modular-private_fragmented-771107-always_act-event_triggered,22511.674453887623,60,232985,793,event_triggered,2026-08-16T13:53:28.585259+00:00,490916d99180d419133c52367f041116a6f158320c6140b8509466e75c9b09b1,16,modular,331665,1212,1011.0165711586143,,,,,,,,
245,28,0.4634493580937853,humanitarian,0.6408163265306123,58,0,2026-08-16T13:53:02.967995+00:00,medium,True,always_act,medium,13326.724459097954,1079,15,109.74784581398364,425,245,771103,14847,medium,97,60,210,private_fragmented,3,1.4921397450962104e-13,142.72927676391976,medium,0,57098,242,16,0,0.0,157,True,2.5,v7-pilots-humanitarian-medium-medium-medium-medium-small_world-private_fragmented-771103-always_act-always_on,25776.71757923438,62,738661,2520,always_on,2026-08-16T13:52:36.892775+00:00,f457898153c49d0e926b01bae7bff847a1e45e3aa8789d633ba5b1e2f0e2ee84,22,small_world,795759,2762,1186.59782054762,,,,,,,,
245,28,0.4634493580937853,humanitarian,0.6408163265306123,58,0,2026-08-16T13:52:34.892164+00:00,medium,True,always_act,medium,13326.724459097954,769,15,109.74784581398364,347,245,771103,12573,medium,97,60,210,private_fragmented,3,1.4921397450962104e-13,142.72927676391976,medium,0,57098,242,16,0,0.0,157,True,2.5,v7-pilots-humanitarian-medium-medium-medium-medium-small_world-private_fragmented-771103-always_act-event_triggered,25776.71757923438,62,508486,1736,event_triggered,2026-08-16T13:52:11.318756+00:00,f457898153c49d0e926b01bae7bff847a1e45e3aa8789d633ba5b1e2f0e2ee84,22,small_world,565584,1978,1186.59782054762,,,,,,,,
53,12,0.48175944145539334,humanitarian,0.9056603773584906,19,0,2026-08-16T13:52:10.799726+00:00,small,True,always_act,high,908.9669925714408,174,10,27.735417661492725,68,53,771102,2618,high,25,30,120,private_fragmented,3,7.105427357601002e-15,25.71728619024012,high,0,28138,120,8,0,0.0,48,True,0.0,v7-pilots-humanitarian-small-high-high-high-modular-private_fragmented-771102-always_act-event_triggered,2188.723875148456,19,43107,147,event_triggered,2026-08-16T13:52:07.797308+00:00,7819a8ce961f5f56e01f03c250f39cb079ed4e0ead948f82ab487b14cf734634,17,modular,71245,267,209.25083528054466,,,,,,,,
39,12,0.5315081583980544,humanitarian,0.9743589743589743,19,0,2026-08-16T13:52:07.248198+00:00,small,True,always_act,low,484.83742654536917,518,10,41.009946755842385,47,39,771101,3584,low,18,30,20,private_fragmented,3,2.4868995751603507e-14,30.346314402276448,low,0,6913,29,8,0,0.0,38,True,0.5,v7-pilots-humanitarian-small-low-low-low-random_geometric-private_fragmented-771101-always_act-always_on,1098.1672904187624,24,176156,600,always_on,2026-08-16T13:52:04.820880+00:00,e196eaf5d27d759f99ef9e7092bec5a60f2f32c429ed6a56d2123a2e164eff96,6,random_geometric,183069,629,104.56371133865682,,,,,,,,
39,12,0.5315081583980544,humanitarian,0.9743589743589743,19,0,2026-08-16T13:52:04.307725+00:00,small,True,always_act,low,484.83742654536917,371,10,41.009946755842385,47,39,771101,3060,low,18,30,20,private_fragmented,3,2.4868995751603507e-14,30.346314402276448,low,0,6913,29,8,0,0.0,38,True,0.5,v7-pilots-humanitarian-small-low-low-low-random_geometric-private_fragmented-771101-always_act-event_triggered,1098.1672904187624,24,124176,423,event_triggered,2026-08-16T13:52:01.992100+00:00,e196eaf5d27d759f99ef9e7092bec5a60f2f32c429ed6a56d2123a2e164eff96,6,random_geometric,131089,452,104.56371133865682,,,,,,,,
