run_id,stage,application,ledger_locator,events,logical_sha256_match,stored_sha256_match,event_sequence_contiguous,event_digest_match,metric_regeneration_match,privacy_failures,finite_metrics,maximum_conservation_residual,status,mismatch_reasons
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/events.jsonl,110545,True,True,True,True,True,0,True,9.094947017729282e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,183091,True,True,True,True,True,0,True,6.252776074688882e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,151331,True,True,True,True,True,0,True,3.979039320256561e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/events.jsonl,133118,True,True,True,True,True,0,True,1.1937117960769683e-12,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/events.jsonl,143220,True,True,True,True,True,0,True,6.252776074688882e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule/events.jsonl,180546,True,True,True,True,True,0,True,6.252776074688882e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule/events.jsonl,131763,True,True,True,True,True,0,True,1.0800249583553523e-12,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-none-806ed450405e-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-none-806ed450405e-uint8_simplex-frozen_local_rule/events.jsonl,18485,True,True,True,True,True,0,True,9.094947017729282e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule/events.jsonl,183091,True,True,True,True,True,0,True,6.252776074688882e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule/events.jsonl,110545,True,True,True,True,True,0,True,9.094947017729282e-13,pass,
