application,pilot_panels,pilot_effect_sd,practical_absolute_harm_reduction,target_power,normal_approximation_required_panels,planning_only
humanitarian,3,0.07206136018917163,0.04,0.8,26,True
utility_restoration,7,0.022106401413397078,0.04,0.8,12,True
