artifact_path,artifact_type,stage,description,application,method,size_bytes,sha256
results/human_operator_v3/PAPER_OUTLINE.md,md,PAPER_OUTLINE.md,20–30 page paper outline and evidence map,both_or_na,not_encoded,10600,31c650bcf5f9c70addedc9e859518a373c8ef982339457a2aa506853b07248f7
results/human_operator_v3/PAPER_SUMMARY.md,md,PAPER_SUMMARY.md,paper-facing no-go summary,both_or_na,not_encoded,5570,9c353b4f0538f7317261b92e3ba3b2ba5c5e589afcb4c82f747f02ebc0a2d987
results/human_operator_v3/README.md,md,README.md,complete evidence-bound v3 result guide,both_or_na,not_encoded,21397,65e90f89db51e768dfe9b5799b2f87510d96f4deea6c2afed0e9cff8a4616148
results/human_operator_v3/ablations/NOT_RUN.json,json,ablations,NOT RUN,both_or_na,not_encoded,222,6bf7b8cc0ad7c2de5d6c4dd78007b83b43d0803969a40346a7112a4520a1672f
results/human_operator_v3/calibration/nominal_agent_periods.csv,csv,calibration,nominal agent periods,both_or_na,not_encoded,274429,2d836673e7b554a2f27a2c684f79524990625067ce0e17ddc4a7edf04d86a170
results/human_operator_v3/calibration/thermodynamic_calibration.json,json,calibration,thermodynamic calibration,both_or_na,not_encoded,9341,ca0c0a5d09187e896d1b0ea1fa30e0ccc89aac425ee9e43a5da3f605ef49b11e
results/human_operator_v3/calibration/thermodynamic_calibration_n10.json,json,calibration,thermodynamic calibration n10,both_or_na,not_encoded,10057,617c42d1d36ad3678a64f2d93faed4ca97ce32f52f5ae6f8011c17f1b9cd3405
results/human_operator_v3/calibration/thermodynamic_calibration_n10_agent_periods.csv,csv,calibration,thermodynamic calibration n10 agent periods,both_or_na,not_encoded,355123,3ed134fee5b52536adab283ad3a8cc4e3004f3a21e968d4738cd6f561af231f6
results/human_operator_v3/checkpoints/NOT_TRAINED.json,json,checkpoints,NOT TRAINED,both_or_na,not_encoded,408,a20d7db4c6c608b9a00ffccd4661a0626420049ed903f9bfef229fbacd45320f
results/human_operator_v3/counterfactuals/paired_intervention_effects.csv,csv,counterfactuals,paired intervention effects,both_or_na,not_encoded,437262,c4243cee518ea4ba69bd86c45337449426983d8c34c9e2e0dd42d788584bdd07
results/human_operator_v3/dashboard/README.md,md,dashboard,complete evidence-bound v3 result guide,both_or_na,not_encoded,507,db2ee0c9cd77e5c8c97b857015c8a7d047f7da431a61672d157ee9bba096b7f0
results/human_operator_v3/dashboard/populated_replays/commercial_populated_replay.svg,svg,dashboard,commercial populated replay,commercial,not_encoded,5975,0d823db0db35500b49000e8cd93c9d7082a1b52bfb980ec83e53ec59e601d943
results/human_operator_v3/dashboard/populated_replays/humanitarian_populated_replay.svg,svg,dashboard,humanitarian populated replay,humanitarian,not_encoded,6293,6001ac7d70be9b8978160d09f5d105d681a575b0b35758cf6095c1024ecde13b
results/human_operator_v3/dashboard/populated_replays/metadata.json,json,dashboard,metadata,both_or_na,not_encoded,1607,bd788f34eb847eb71f0925a223dad9feb2fe77936dd6bdeb097cab6a7f2c99a4
results/human_operator_v3/dense_causal_development_n10_v2/episode_summary.csv,csv,dense_causal_development_n10_v2,episode summary,both_or_na,not_encoded,31994,86562b0212a4b365b94eeea7751573aaaf2b19c835dee4989567d1e723af7e36
