method,rl_seed,environment_steps,sample_reward,policy_entropy,actor_loss,critic_loss,action_diversity
ippo_entropy_disagreement,52001,256,-0.16614633798599243,2.1952481269836426,-0.012172096408903599,0.014889499172568321,9
ippo_entropy_disagreement,52001,2816,-0.130881667137146,2.1553454399108887,-0.01807636395096779,0.014438191428780556,9
ippo_entropy_disagreement,52001,5376,-0.06893672794103622,1.692500114440918,-0.039751872420310974,0.009392359293997288,9
ippo_entropy_disagreement,52001,7936,-0.028071705251932144,0.6483385562896729,-0.04180585592985153,0.003803052008152008,8
ippo_entropy_disagreement,52001,10496,-0.006693967618048191,0.16255831718444824,-0.01586286723613739,0.0011524796718731523,6
ippo_entropy_disagreement,52001,13056,0.0006408728659152985,0.07673634588718414,-0.00026510655879974365,0.00011704026837833226,2
ippo_entropy_disagreement,52001,15616,-0.0003013891400769353,0.062042467296123505,-0.002613683231174946,0.00036045286105945706,3
ippo_entropy_disagreement,52001,18176,-0.0011718750465661287,0.03653578460216522,-0.003387616714462638,0.00021661448408849537,2
ippo_entropy_disagreement,52001,20736,0.0,0.023952074348926544,3.427267074584961e-06,3.606896643759683e-05,1
ippo_entropy_disagreement,52001,23296,0.0,0.019259708002209663,1.6521662473678589e-06,2.3027167117106728e-05,1
ippo_entropy_disagreement,52001,25856,0.0,0.014199833385646343,3.0174851417541504e-07,1.560951568535529e-05,1
ippo_entropy_disagreement,52001,28416,-0.0010188041487708688,0.012924045324325562,-0.002802911214530468,0.0001484259992139414,2
ippo_entropy_disagreement,52001,30000,0.0,0.011113252490758896,7.7858567237854e-07,1.283621895709075e-05,1
