run_id,application,regime,information_condition,method,environment_seed,operator_seed,rl_seed,status,primary_outcome,service_loss_auc,cumulative_weighted_unmet_need,cumulative_critical_unserved_load,operator_interventions,operator_minutes,operator_workload_auc,maximum_operator_workload,mean_queue_wait_steps,maximum_queue_length,operator_requests,low_confidence_operator_decisions,safe_low_confidence_decisions,safe_low_confidence_decision_rate,communication_active_agent_epoch_fraction,timely_activation,missed_activation,pre_disruption_false_activation,nominal_false_activation,first_request_step,first_visible_collapse_step,complete_causal_chains,harmful_interventions,beneficial_interventions,mean_counterfactual_effect,structured_attempts,first_pass_valid,valid_after_repair,material_actions_accepted,material_actions_next_stage,material_actions_reached_service,commitment_changes,agent_messages,agent_message_bytes,thermodynamic_sketch_messages,thermodynamic_sketch_bytes,tool_calls,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,wall_clock_seconds,maximum_conservation_residual,conservation_feasible,active_incidents
implementation_pilot_v9_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24005-o124005-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24005,124005,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130920,1,0,0,0,0.0,0.2266848009894602,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24006-o124006-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24006,124006,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130920,1,0,0,0,0.0,0.22433438402367756,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24007-o124007-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24007,124007,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130920,1,0,0,0,0.0,0.22216170898173004,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24008-o124008-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24008,124008,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,130920,1,0,0,0,0.0,0.22618574899388477,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-private_fragmented-e24001-o124001-rnone,commercial,partition,private_fragmented,autonomy_no_operator,24001,124001,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100754,1,0,0,0,0.0,0.23125599999912083,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-private_fragmented-e24002-o124002-rnone,commercial,partition,private_fragmented,autonomy_no_operator,24002,124002,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100432,1,0,0,0,0.0,0.22639371699187905,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-private_fragmented-e24003-o124003-rnone,commercial,partition,private_fragmented,autonomy_no_operator,24003,124003,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100306,1,0,0,0,0.0,0.22872665798058733,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-private_fragmented-e24004-o124004-rnone,commercial,partition,private_fragmented,autonomy_no_operator,24004,124004,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100698,1,0,0,0,0.0,0.23521630297182128,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-private_fragmented-e24005-o124005-rnone,commercial,partition,private_fragmented,autonomy_no_operator,24005,124005,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100754,1,0,0,0,0.0,0.2272601230069995,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-private_fragmented-e24006-o124006-rnone,commercial,partition,private_fragmented,autonomy_no_operator,24006,124006,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100432,1,0,0,0,0.0,0.24587663600686938,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-private_fragmented-e24007-o124007-rnone,commercial,partition,private_fragmented,autonomy_no_operator,24007,124007,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100306,1,0,0,0,0.0,0.22673326899530366,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-private_fragmented-e24008-o124008-rnone,commercial,partition,private_fragmented,autonomy_no_operator,24008,124008,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100698,1,0,0,0,0.0,0.22129849198972806,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-globally_public-e24001-o124001-rnone,commercial,partition,globally_public,autonomy_no_operator,24001,124001,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100418,1,0,0,0,0.0,0.22854942100821063,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-globally_public-e24002-o124002-rnone,commercial,partition,globally_public,autonomy_no_operator,24002,124002,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100418,1,0,0,0,0.0,0.22285297699272633,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-globally_public-e24003-o124003-rnone,commercial,partition,globally_public,autonomy_no_operator,24003,124003,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100418,1,0,0,0,0.0,0.23107305204030126,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-globally_public-e24004-o124004-rnone,commercial,partition,globally_public,autonomy_no_operator,24004,124004,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100418,1,0,0,0,0.0,0.23174329503672197,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-globally_public-e24005-o124005-rnone,commercial,partition,globally_public,autonomy_no_operator,24005,124005,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100418,1,0,0,0,0.0,0.2222855769796297,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-globally_public-e24006-o124006-rnone,commercial,partition,globally_public,autonomy_no_operator,24006,124006,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100418,1,0,0,0,0.0,0.21626939601264894,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-globally_public-e24007-o124007-rnone,commercial,partition,globally_public,autonomy_no_operator,24007,124007,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100418,1,0,0,0,0.0,0.21914371103048325,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-partition-globally_public-e24008-o124008-rnone,commercial,partition,globally_public,autonomy_no_operator,24008,124008,,complete,3.820320000000001,3.820320000000001,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,460,100418,1,0,0,0,0.0,0.2182277439860627,0.0,True,1
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-private_fragmented-e24001-o124001-rnone,commercial,correlated,private_fragmented,autonomy_no_operator,24001,124001,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131778,2,0,0,0,0.0,0.29257755901198834,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-private_fragmented-e24002-o124002-rnone,commercial,correlated,private_fragmented,autonomy_no_operator,24002,124002,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131820,2,0,0,0,0.0,0.2889784119906835,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-private_fragmented-e24003-o124003-rnone,commercial,correlated,private_fragmented,autonomy_no_operator,24003,124003,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131442,2,0,0,0,0.0,0.2965141559834592,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-private_fragmented-e24004-o124004-rnone,commercial,correlated,private_fragmented,autonomy_no_operator,24004,124004,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131316,2,0,0,0,0.0,0.2834922279580496,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-private_fragmented-e24005-o124005-rnone,commercial,correlated,private_fragmented,autonomy_no_operator,24005,124005,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131778,2,0,0,0,0.0,0.28460507502313703,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-private_fragmented-e24006-o124006-rnone,commercial,correlated,private_fragmented,autonomy_no_operator,24006,124006,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131820,2,0,0,0,0.0,0.293092844018247,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-private_fragmented-e24007-o124007-rnone,commercial,correlated,private_fragmented,autonomy_no_operator,24007,124007,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131442,2,0,0,0,0.0,0.291287899017334,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-private_fragmented-e24008-o124008-rnone,commercial,correlated,private_fragmented,autonomy_no_operator,24008,124008,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131316,2,0,0,0,0.0,0.2992842340026982,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-globally_public-e24001-o124001-rnone,commercial,correlated,globally_public,autonomy_no_operator,24001,124001,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131442,2,0,0,0,0.0,0.29003717098385096,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-globally_public-e24002-o124002-rnone,commercial,correlated,globally_public,autonomy_no_operator,24002,124002,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131442,2,0,0,0,0.0,0.28426969703286886,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-globally_public-e24003-o124003-rnone,commercial,correlated,globally_public,autonomy_no_operator,24003,124003,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131442,2,0,0,0,0.0,0.28994470299221575,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-globally_public-e24004-o124004-rnone,commercial,correlated,globally_public,autonomy_no_operator,24004,124004,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131442,2,0,0,0,0.0,0.28796878195134923,0.0,True,2
implementation_pilot_v9_dense-commercial-autonomy_no_operator-correlated-globally_public-e24005-o124005-rnone,commercial,correlated,globally_public,autonomy_no_operator,24005,124005,,complete,6.9642048,6.9642048,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131442,2,0,0,0,0.0,0.2858995010028593,0.0,True,2
