run_id,candidate_name,application,environment_seed,disruption_step,pre_disruption_noninitial_evaluations,pre_disruption_noninitial_transmissions,pre_disruption_noninitial_transmission_rate
v8-development_final-humanitarian-large-medium-high-medium-random_geometric-private_fragmented-8810021-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810021,18,52,0,0.0
v8-development_final-humanitarian-large-medium-high-medium-random_geometric-private_fragmented-8810021-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810021,18,52,0,0.0
v8-development_final-humanitarian-large-medium-high-medium-random_geometric-private_fragmented-8810021-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810021,18,52,13,0.25
v8-development_final-humanitarian-large-medium-high-medium-random_geometric-private_fragmented-8810021-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810021,18,52,16,0.3076923076923077
v8-development_final-humanitarian-large-medium-high-medium-random_geometric-private_fragmented-8810021-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810021,18,208,0,0.0
v8-development_final-humanitarian-large-medium-low-high-random_geometric-private_fragmented-8810023-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810023,18,52,52,1.0
v8-development_final-humanitarian-large-medium-low-high-random_geometric-private_fragmented-8810023-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810023,18,52,0,0.0
v8-development_final-humanitarian-large-medium-low-high-random_geometric-private_fragmented-8810023-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810023,18,52,0,0.0
v8-development_final-humanitarian-large-medium-low-high-random_geometric-private_fragmented-8810023-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810023,18,52,5,0.09615384615384616
v8-development_final-humanitarian-large-medium-low-high-random_geometric-private_fragmented-8810023-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810023,18,52,6,0.11538461538461539
v8-development_final-humanitarian-large-medium-low-high-random_geometric-private_fragmented-8810023-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810023,18,208,0,0.0
v8-development_final-humanitarian-large-medium-medium-medium-small_world-private_fragmented-8810018-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810018,18,52,52,1.0
v8-development_final-humanitarian-large-medium-medium-medium-small_world-private_fragmented-8810018-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810018,18,52,0,0.0
v8-development_final-humanitarian-large-medium-medium-medium-small_world-private_fragmented-8810018-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810018,18,52,0,0.0
v8-development_final-humanitarian-large-medium-medium-medium-small_world-private_fragmented-8810018-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810018,18,52,14,0.2692307692307692
v8-development_final-humanitarian-large-medium-medium-medium-small_world-private_fragmented-8810018-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810018,18,52,18,0.34615384615384615
v8-development_final-humanitarian-large-medium-medium-medium-small_world-private_fragmented-8810018-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810018,18,208,0,0.0
v8-development_final-humanitarian-medium-high-high-high-small_world-private_fragmented-8810011-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810011,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-high-small_world-private_fragmented-8810011-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810011,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-high-small_world-private_fragmented-8810011-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810011,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-high-small_world-private_fragmented-8810011-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810011,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-high-small_world-private_fragmented-8810011-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810011,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-high-small_world-private_fragmented-8810011-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810011,11,84,0,0.0
v8-development_final-humanitarian-medium-high-high-medium-random_geometric-private_fragmented-8810016-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810016,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-medium-random_geometric-private_fragmented-8810016-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810016,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-medium-random_geometric-private_fragmented-8810016-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810016,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-medium-random_geometric-private_fragmented-8810016-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810016,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-medium-random_geometric-private_fragmented-8810016-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810016,11,0,0,0.0
v8-development_final-humanitarian-medium-high-high-medium-random_geometric-private_fragmented-8810016-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810016,11,84,0,0.0
v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810012,11,0,0,0.0
v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810012,11,0,0,0.0
v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810012,11,0,0,0.0
v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810012,11,0,0,0.0
v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810012,11,0,0,0.0
v8-development_final-humanitarian-medium-high-medium-low-random_geometric-private_fragmented-8810012-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810012,11,84,0,0.0
v8-development_final-humanitarian-medium-low-low-low-small_world-private_fragmented-8810009-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810009,11,0,0,0.0
v8-development_final-humanitarian-medium-low-low-low-small_world-private_fragmented-8810009-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810009,11,0,0,0.0
v8-development_final-humanitarian-medium-low-low-low-small_world-private_fragmented-8810009-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810009,11,0,0,0.0
v8-development_final-humanitarian-medium-low-low-low-small_world-private_fragmented-8810009-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810009,11,0,0,0.0
v8-development_final-humanitarian-medium-low-low-low-small_world-private_fragmented-8810009-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810009,11,0,0,0.0
v8-development_final-humanitarian-medium-low-low-low-small_world-private_fragmented-8810009-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810009,11,84,0,0.0
v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810014,11,0,0,0.0
v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810014,11,0,0,0.0
v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810014,11,0,0,0.0
v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810014,11,0,0,0.0
v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810014,11,0,0,0.0
v8-development_final-humanitarian-medium-low-medium-high-random_geometric-private_fragmented-8810014-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810014,11,84,0,0.0
v8-development_final-humanitarian-medium-medium-high-medium-small_world-private_fragmented-8810013-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810013,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-high-medium-small_world-private_fragmented-8810013-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810013,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-high-medium-small_world-private_fragmented-8810013-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810013,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-high-medium-small_world-private_fragmented-8810013-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810013,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-high-medium-small_world-private_fragmented-8810013-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810013,11,0,0,0.0
