comparison,application,metric,independent_panels,mean,ci_low,ci_high,standard_deviation,bootstrap_replicates
generalized_0125_u8_vs_always_on,humanitarian,sketch_byte_reduction,24,0.590473082883929,0.5332468505560004,0.6511271537363602,0.1515550276690237,10000
generalized_0125_u8_vs_always_on,humanitarian,message_reduction,24,0.590473082883929,0.531875108693391,0.6506219382829633,0.1515550276690237,10000
generalized_0125_u8_vs_always_on,humanitarian,fully_counted_byte_reduction,24,0.55913935600209,0.5072458503066289,0.6144484584113387,0.13640413495863016,10000
generalized_0125_u8_vs_always_on,humanitarian,primary_estimation_error_increase,24,0.0077484976307344204,0.0051115884153918965,0.010633286166787746,0.006967763867636247,10000
generalized_0125_u8_vs_always_on,humanitarian,primary_p95_increase,24,0.0015053911429692643,-0.0013452920031909578,0.003876910175794641,0.00664568101159416,10000
generalized_0125_u8_vs_always_on,humanitarian,detection_delay_increase,24,0.6048393811252569,0.1811989383050305,1.201849880910584,1.3285387703082852,10000
generalized_0125_u8_vs_always_on,humanitarian,service_loss_increase,24,-20.669402991129726,-296.86198201119845,268.23898494705696,716.3656528235546,10000
generalized_0125_u8_vs_always_on,humanitarian,harmful_action_increase,24,0.4166666666666667,-0.7083333333333334,1.5416666666666667,2.8117249334615355,10000
generalized_0125_u8_vs_always_on,humanitarian,reward_degradation,24,-0.05210819414119557,-0.11768219127114644,0.01482326051631795,0.17287236171526943,10000
generalized_0125_u8_vs_always_on,utility_restoration,sketch_byte_reduction,24,0.5865130822266907,0.52980114696349,0.6452495685182286,0.14687361349254113,10000
generalized_0125_u8_vs_always_on,utility_restoration,message_reduction,24,0.5865130822266907,0.529376186999903,0.6438959466974512,0.14687361349254113,10000
generalized_0125_u8_vs_always_on,utility_restoration,fully_counted_byte_reduction,24,0.502659278109795,0.4660278788918491,0.5416450539546126,0.09571517731095812,10000
generalized_0125_u8_vs_always_on,utility_restoration,primary_estimation_error_increase,24,0.0030576403594707994,0.002172624319765512,0.004061356440352179,0.002414321481574327,10000
generalized_0125_u8_vs_always_on,utility_restoration,primary_p95_increase,24,0.0006896721936420531,-0.000650511510473534,0.001958662937776362,0.0033360381214171202,10000
generalized_0125_u8_vs_always_on,utility_restoration,detection_delay_increase,24,0.3408576509815628,0.09977606709616584,0.6348286613937336,0.6972355644480772,10000
generalized_0125_u8_vs_always_on,utility_restoration,service_loss_increase,24,0.2771137925961664,-9.380742730702956,7.44789578166234,21.656037314059613,10000
generalized_0125_u8_vs_always_on,utility_restoration,harmful_action_increase,24,0.8333333333333334,0.0,1.7916666666666667,2.2968156910907283,10000
generalized_0125_u8_vs_always_on,utility_restoration,reward_degradation,24,0.00856396025693594,-0.005724661193850261,0.025570603568280687,0.04084404568107857,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,primary_state_error_advantage,24,-0.00494564503752628,-0.00665585636711294,-0.0034397673100093583,0.004149072808605988,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,disagreement_error_advantage,24,-0.0025051759507317664,-0.004594303855814361,-0.0005682332643503281,0.0052251801738388256,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,detection_delay_advantage,24,-0.47656027998231426,-0.8618170921013464,-0.1612022805130399,0.8940089348606366,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,consensus_recovery_advantage,24,0.0,0.0,0.0,0.0,10000
generalized_0125_u8_vs_kpi_012_u8,humanitarian,stale_row_advantage,24,-4.583333333333333,-14.208333333333334,5.25,25.17403193884466,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,primary_state_error_advantage,24,-0.00253591840076049,-0.0034261062459146952,-0.0017157256919346248,0.0021880962548988586,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,disagreement_error_advantage,24,-0.0020893005738934923,-0.003484568931765003,-0.0009052434601357641,0.0032646987042778,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,detection_delay_advantage,24,-0.32473022942036966,-0.6479472733221383,-0.09592097654992313,0.7101585892637192,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,consensus_recovery_advantage,24,-0.6666666666666666,-1.75,0.0,2.3343683004870592,10000
generalized_0125_u8_vs_kpi_012_u8,utility_restoration,stale_row_advantage,24,-3.7083333333333335,-8.916666666666666,1.375,13.36276190752127,10000
