accepted_physical_actions_v8,action_policy_id,actionable_opportunities,agent_count,allocation_inequality_gini,application,attempted_sketch_messages,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,belief_updates_from_delivered_sketches,beneficial_actions,commitment_failures,completed_at,complexity,consensus_recovery_steps,conservation_feasible,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivered_sketch_messages,delivered_useful_sketch_bytes,delivery_completion,detected_groups,detection_groups,detection_recall,disagreement_time_integrated_error,dropped_messages,dropped_sketch_messages,encoding,environment_seed,estimator_target,event_count,event_ledger_scope,false_alarm_groups,false_alarm_rate,forwarded_sketch_messages,fragmentation,fully_counted_bytes,fully_counted_messages,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,maximum_detection_delay_steps,maximum_message_age,mean_detection_delay_steps,mean_message_age,mean_quantization_l1_error,net_causal_utility,network_disruption,neutral_actions,normalized_autonomous_reward,normalized_time_integrated_estimation_error,operational_bytes,operational_messages,operational_node_count,operator_escalation_requests,operator_executed_actions,physical_actions,pointwise_estimation_mae_max,pointwise_estimation_mae_p90,pointwise_estimation_mae_p95,policy_delegation_abstain,policy_delegation_defer,policy_delegation_diversity,policy_delegation_escalate_operator,policy_delegation_execute_autonomously,primary_distributed_state_error,primary_distributed_state_error_p95,privacy_boundary_pass,proposed_physical_actions,redundant_sketch_bytes,resource_waste,retries,run_id,scheduler,service_loss,service_reaching_actions,sketch_bytes,sketch_header_bytes,sketch_integrity_bytes,sketch_messages,sketch_on_wire_bytes,sketch_payload_bytes,stage,stale_belief_rows,stale_sketch_bytes,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,transmitted_sketch_messages,trigger_activation_rate,trigger_activations,trigger_configuration_digest,trigger_evaluations,trigger_reasons,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
234,frozen_local_rule,336,52,0.41438795979073517,humanitarian,274757,85,145,0,17089,85,0,2026-08-17T05:32:57.360222+00:00,large,52.0,True,high,78834.94936426789,795,20,225855,987054,168.59998102684534,145,145,1.0,0.05509051215874609,123,48902,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,519081,dynamic_delta,131,0.8397435897435898,239795,high,8702998,249830,145,100,1039,private_fragmented,3,7.673861546209082e-13,15.0,90.0,0.20689655172413793,15.288461538461538,0.00022048989686576943,327.4684762143813,high,0,-30.641283743986026,0.06822322401604071,244104,1039,30,289,0,234,0.17619892414158103,0.11076207650240467,0.12577449852492123,21,394,4,289,336,0.0616568680873934,0.11460981520651237,True,646,6692016,6.363903499645659,0,v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on,164402.63998156894,94,0,5970984,995164,0,8458894,1492746,development_final,850,0,2026-08-17T05:31:41.024146+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16,random_geometric,244104,1039,248791,1.0,1040,f06f6808d09b,1040,"{'always_on': 884, 'initial_reference': 156}",4071.2827119939802,,,,,,,,
232,frozen_local_rule,335,52,0.41370189324959755,humanitarian,152512,88,140,0,9549,88,0,2026-08-17T05:33:04.193675+00:00,large,52.0,True,high,80378.23545439796,795,20,126543,546176,167.95669484590366,144,145,0.993103448275862,0.054778344092350384,123,25969,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,297520,dynamic_delta,131,0.8397435897435898,134346,high,4981988,140391,140,100,1039,private_fragmented,3,6.821210263296962e-13,15.0,90.0,0.27586206896551724,21.865384615384617,0.00021601256385585626,339.81736325817053,high,0,-30.82892952105613,0.072900810459696,244020,1039,30,287,0,232,0.17619892414158103,0.11594176613701722,0.13133509775167523,21,397,4,287,335,0.0638395772760232,0.11729303409036353,True,643,3756286,5.467446671622447,0,v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_information,165585.21049140973,94,0,3344448,557408,0,4737968,836112,development_final,850,0,2026-08-17T05:32:18.799945+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16,random_geometric,244020,1039,139352,0.55,572,347f2bd91f38,1040,"{'hysteresis_wait': 468, 'initial_reference': 156, 'maximum_silence': 416}",4082.905984499198,,,,,,,,
232,frozen_local_rule,335,52,0.41370189324959755,humanitarian,152512,88,140,0,9549,88,0,2026-08-17T05:32:35.869287+00:00,large,52.0,True,high,80378.23545439796,795,20,126543,546176,167.95669484590366,144,145,0.993103448275862,0.054778344092350384,123,25969,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,297520,dynamic_delta,131,0.8397435897435898,134346,high,4981988,140391,140,100,1039,private_fragmented,3,6.821210263296962e-13,15.0,90.0,0.27586206896551724,21.865384615384617,0.00021601256385585626,339.81736325817053,high,0,-30.82892952105613,0.072900810459696,244020,1039,30,287,0,232,0.17619892414158103,0.11594176613701722,0.13133509775167523,21,397,4,287,335,0.0638395772760232,0.11729303409036353,True,643,3756286,5.467446671622447,0,v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_information,165585.21049140973,94,0,3344448,557408,0,4737968,836112,development_final,850,0,2026-08-17T05:31:50.974918+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16,random_geometric,244020,1039,139352,0.55,572,e25eb5b9df1b,1040,"{'hysteresis_wait': 468, 'initial_reference': 156, 'maximum_silence': 416}",4082.905984499198,,,,,,,,
236,frozen_local_rule,336,52,0.4144974492000664,humanitarian,208294,91,141,0,12863,91,0,2026-08-17T05:33:19.133929+00:00,large,52.0,True,high,78820.36663960274,795,20,171132,746742,175.93809049044768,145,145,1.0,0.055170961073416,123,37162,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,397899,dynamic_delta,131,0.8397435897435898,181762,high,6655059,189597,141,100,1039,private_fragmented,3,7.673861546209082e-13,15.0,90.0,0.20689655172413793,20.307692307692307,0.00022076327358290472,334.29725142861474,high,0,-30.60712140975777,0.06934852372301824,244087,1039,30,289,0,236,0.17619892414158103,0.11096489223148492,0.12577449852492123,22,393,4,289,336,0.062259742398217126,0.11415188459024508,True,647,5071746,6.363903499645659,0,v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_change,164330.67926951658,100,0,4525392,754232,0,6410972,1131348,development_final,850,0,2026-08-17T05:32:21.065649+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16,random_geometric,244087,1039,188558,0.7576923076923077,788,314c8c128df2,1040,"{'initial_reference': 156, 'kpi_change': 681, 'maximum_silence': 203}",4064.3063504861802,,,,,,,,
234,frozen_local_rule,334,52,0.41499858129344475,humanitarian,214460,88,140,0,13219,88,0,2026-08-17T05:34:26.710192+00:00,large,52.0,True,high,78833.58259247223,795,20,176109,769454,173.4664781989959,145,145,1.0,0.055552444893915275,123,38351,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,409036,dynamic_delta,131,0.8397435897435898,187012,high,6840990,195066,140,100,1039,private_fragmented,3,9.094947017729282e-13,15.0,90.0,0.20689655172413793,20.177884615384617,0.00022213152728017919,332.96305645063956,high,0,-30.60838959750449,0.06921909341334767,244072,1039,30,290,0,234,0.17619892414158103,0.11005938592607353,0.12577449852492123,22,394,4,290,334,0.062385769153631476,0.11415188459024508,True,646,5218252,5.5,0,v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_change,164347.48187571595,96,0,4656648,776108,0,6596918,1164162,development_final,850,0,2026-08-17T05:33:25.041155+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16,random_geometric,244072,1039,194027,0.7817307692307692,813,99bcd7363413,1040,"{'initial_reference': 156, 'kpi_change': 700, 'maximum_silence': 184}",4065.8925911334445,,,,,,,,
239,frozen_local_rule,341,52,0.414258134209267,humanitarian,0,92,144,0,0,92,0,2026-08-17T05:31:49.264687+00:00,large,52.0,True,high,80446.3186860089,796,20,0,0,185.9532667774793,145,145,1.0,0.11120933735698907,123,0,uint8_simplex,8810019,pooled_current_private_evidence_pre_exchange,18484,dynamic_delta,131,0.8397435897435898,0,high,244383,1040,144,100,1040,private_fragmented,3,9.094947017729282e-13,15.0,0.0,0.10344827586206896,0.0,0.0,342.40223215783993,high,0,-30.813298175695987,0.07980490160015656,244383,1040,30,288,0,239,0.18841330216454988,0.1192797000956705,0.1354896901421131,21,390,4,288,341,0.09550711947857282,0.1494392859582043,True,650,0,2.5,0,v8-development_final-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-none-806ed450405e-uint8_simplex-frozen_local_rule,none,165450.53352599675,103,0,0,0,0,0,0,development_final,0,0,2026-08-17T05:31:42.035156+00:00,4666e1e5d937e2e52a06b742589c4176ee023a00da41113b9bbe1d31a89a7098,16,random_geometric,244383,1040,0,0.0,0,806ed450405e,1040,{'disabled': 1040},4075.3803471669885,,,,,,,,
260,frozen_local_rule,393,52,0.41657462154599023,humanitarian,120921,105,152,0,5717,105,0,2026-08-17T05:43:03.131762+00:00,large,52.0,True,high,78610.86910260937,341,20,102854,1347624,161.95213125860977,151,151,1.0,0.050863805125884363,126,18067,uint8_simplex,8810024,pooled_current_private_evidence_pre_exchange,242305,dynamic_delta,135,0.8653846153846154,108093,high,4116005,114905,152,100,1040,private_fragmented,3,2.2737367544323206e-13,0.0,90.0,0.0,20.221153846153847,0.00031006481283169044,380.69818348282837,medium,0,-29.52583223229408,0.06727383755890565,244595,1040,30,229,0,260,0.17275603890127456,0.1052924850773131,0.11708289360207028,38,380,4,229,393,0.05906882134239501,0.11026466624213807,True,660,2149412,4.818989042648071,0,v8-development_final-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on,158571.55548098445,107,0,2732760,455460,0,3871410,683190,development_final,867,0,2026-08-17T05:42:26.459994+00:00,1f5244d7b92b90da9984c496bc473d90a9aedaa43ace1a9443a4e1c8a9075a55,11,small_world,244595,1040,113865,1.0,1040,f06f6808d09b,1040,"{'always_on': 884, 'initial_reference': 156}",3778.6279286851473,,,,,,,,
257,frozen_local_rule,394,52,0.41568782178778313,humanitarian,67298,103,151,0,3211,103,0,2026-08-17T05:43:42.263334+00:00,large,52.0,True,high,78581.59332945975,341,20,57695,746232,160.8073297044485,151,151,1.0,0.051902329324142266,126,9603,uint8_simplex,8810024,pooled_current_private_evidence_pre_exchange,143517,dynamic_delta,135,0.8653846153846154,60650,high,2415378,64888,151,100,1040,private_fragmented,3,6.838973831690964e-14,0.0,90.0,0.0,27.764423076923077,0.000304663059772543,415.72265738101123,medium,0,-29.515083965521573,0.06966472307908704,244546,1040,30,227,0,257,0.17275603890127456,0.10633030461882817,0.11905306106340971,36,383,4,227,394,0.06078352620161466,0.10954449931088438,True,657,1215398,5.313105199319743,0,v8-development_final-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_information,158965.13159122298,105,0,1532352,255392,0,2170832,383088,development_final,867,0,2026-08-17T05:43:18.303083+00:00,1f5244d7b92b90da9984c496bc473d90a9aedaa43ace1a9443a4e1c8a9075a55,11,small_world,244546,1040,63848,0.55,572,347f2bd91f38,1040,"{'hysteresis_wait': 468, 'initial_reference': 156, 'maximum_silence': 416}",3795.4362714829454,,,,,,,,
257,frozen_local_rule,394,52,0.41568782178778313,humanitarian,67298,103,151,0,3211,103,0,2026-08-17T05:43:39.560393+00:00,large,52.0,True,high,78581.59332945975,341,20,57695,746232,160.8073297044485,151,151,1.0,0.051902329324142266,126,9603,uint8_simplex,8810024,pooled_current_private_evidence_pre_exchange,143517,dynamic_delta,135,0.8653846153846154,60650,high,2415378,64888,151,100,1040,private_fragmented,3,6.838973831690964e-14,0.0,90.0,0.0,27.764423076923077,0.000304663059772543,415.72265738101123,medium,0,-29.515083965521573,0.06966472307908704,244546,1040,30,227,0,257,0.17275603890127456,0.10633030461882817,0.11905306106340971,36,383,4,227,394,0.06078352620161466,0.10954449931088438,True,657,1215398,5.313105199319743,0,v8-development_final-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_information,158965.13159122298,105,0,1532352,255392,0,2170832,383088,development_final,867,0,2026-08-17T05:43:15.247570+00:00,1f5244d7b92b90da9984c496bc473d90a9aedaa43ace1a9443a4e1c8a9075a55,11,small_world,244546,1040,63848,0.55,572,e25eb5b9df1b,1040,"{'hysteresis_wait': 468, 'initial_reference': 156, 'maximum_silence': 416}",3795.4362714829454,,,,,,,,
259,frozen_local_rule,393,52,0.41646701328869984,humanitarian,92230,105,151,0,4371,105,0,2026-08-17T05:44:14.798617+00:00,large,52.0,True,high,79608.73449114583,341,20,78559,1029656,163.45817650969514,151,151,1.0,0.05135494149299764,126,13671,uint8_simplex,8810024,pooled_current_private_evidence_pre_exchange,189317,dynamic_delta,135,0.8653846153846154,82640,high,3203986,88082,151,100,1040,private_fragmented,3,2.1316282072803006e-14,0.0,90.0,0.0,25.6875,0.0003076507389976495,389.4149175739781,medium,0,-29.57971358607999,0.0674583674081066,244558,1040,30,227,0,259,0.17275603890127456,0.10431431783879763,0.11778143289799599,37,383,4,227,393,0.05940665445055212,0.10819514966306824,True,657,1641350,5.82486836830102,0,v8-development_final-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_change,158967.07444248794,108,0,2089008,348168,0,2959428,522252,development_final,867,0,2026-08-17T05:43:43.988128+00:00,1f5244d7b92b90da9984c496bc473d90a9aedaa43ace1a9443a4e1c8a9075a55,11,small_world,244558,1040,87042,0.7634615384615384,794,314c8c128df2,1040,"{'initial_reference': 156, 'kpi_change': 684, 'maximum_silence': 200}",3807.295042710423,,,,,,,,
