agent_id,application,communication,consensus_disagreement,disruption,disruption_active,disruption_step,distributed_entropy,entropy_change,local_kpi_composite,role,seed,step,topology
carrier_05,commercial,reliable,0.0,moderate,0,8,0.9245993925852682,0.0,0.007999999999999964,carrier,5201,0,ring_plus_hubs
carrier_06,commercial,reliable,0.0,moderate,0,8,0.9245993925852682,0.0,0.007999999999999964,carrier,5201,0,ring_plus_hubs
manufacturer_03,commercial,reliable,0.0,moderate,0,8,0.9513029380385896,0.0,0.16480000000000003,manufacturer,5201,0,ring_plus_hubs
manufacturer_04,commercial,reliable,0.0,moderate,0,8,0.9513029380385896,0.0,0.20400000000000001,manufacturer,5201,0,ring_plus_hubs
retailer_09,commercial,reliable,0.0,moderate,0,8,0.9513029380385896,0.0,0.20400000000000001,retailer,5201,0,ring_plus_hubs
retailer_10,commercial,reliable,0.0,moderate,0,8,0.9513029380385896,0.0,0.16479999999999997,retailer,5201,0,ring_plus_hubs
retailer_11,commercial,reliable,0.0,moderate,0,8,0.9513029380385896,0.0,0.5813,retailer,5201,0,ring_plus_hubs
supplier_01,commercial,reliable,0.0,moderate,0,8,0.9513029380385896,0.0,0.16479999999999997,supplier,5201,0,ring_plus_hubs
supplier_02,commercial,reliable,0.0,moderate,0,8,0.9245993925852682,0.0,0.16480000000000003,supplier,5201,0,ring_plus_hubs
warehouse_07,commercial,reliable,0.0,moderate,0,8,0.9245993925852682,0.0,0.007999999999999964,warehouse,5201,0,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,moderate,0,8,0.9245993925852682,0.0,0.007999999999999964,warehouse,5201,0,ring_plus_hubs
carrier_05,commercial,reliable,1.0,moderate,0,8,0.8183165435914309,-0.10628284899383733,0.007999999999999964,carrier,5201,1,ring_plus_hubs
carrier_06,commercial,reliable,1.0,moderate,0,8,0.8183165435914309,-0.10628284899383733,0.007999999999999964,carrier,5201,1,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,moderate,0,8,0.8587166108228226,-0.09258632721576698,0.16480000000000003,manufacturer,5201,1,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,moderate,0,8,0.8587166108228226,-0.09258632721576698,0.20400000000000001,manufacturer,5201,1,ring_plus_hubs
retailer_09,commercial,reliable,1.0,moderate,0,8,0.8933249839517545,-0.05797795408683504,1.0,retailer,5201,1,ring_plus_hubs
retailer_10,commercial,reliable,1.0,moderate,0,8,0.8933249839517545,-0.05797795408683504,0.7232,retailer,5201,1,ring_plus_hubs
retailer_11,commercial,reliable,1.0,moderate,0,8,0.8587166108228225,-0.0925863272157671,1.0,retailer,5201,1,ring_plus_hubs
supplier_01,commercial,reliable,1.0,moderate,0,8,0.8587166108228225,-0.0925863272157671,0.16479999999999997,supplier,5201,1,ring_plus_hubs
supplier_02,commercial,reliable,1.0,moderate,0,8,0.8183165435914309,-0.10628284899383733,0.16480000000000003,supplier,5201,1,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,moderate,0,8,0.8183165435914309,-0.10628284899383733,0.007999999999999964,warehouse,5201,1,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,moderate,0,8,0.8183165435914309,-0.10628284899383733,0.007999999999999964,warehouse,5201,1,ring_plus_hubs
carrier_05,commercial,reliable,1.0,moderate,0,8,0.7202140416063354,-0.09810250198509551,0.007999999999999964,carrier,5201,2,ring_plus_hubs
carrier_06,commercial,reliable,1.0,moderate,0,8,0.7202140416063354,-0.09810250198509551,0.007999999999999964,carrier,5201,2,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,moderate,0,8,0.7598401274408811,-0.09887648338194144,0.16480000000000003,manufacturer,5201,2,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,moderate,0,8,0.7598401274408811,-0.09887648338194144,0.20400000000000001,manufacturer,5201,2,ring_plus_hubs
retailer_09,commercial,reliable,1.0,moderate,0,8,0.7971979283838566,-0.09612705556789791,1.0,retailer,5201,2,ring_plus_hubs
retailer_10,commercial,reliable,1.0,moderate,0,8,0.7971979283838566,-0.09612705556789791,1.0,retailer,5201,2,ring_plus_hubs
retailer_11,commercial,reliable,1.0,moderate,0,8,0.759840127440881,-0.09887648338194144,1.0,retailer,5201,2,ring_plus_hubs
supplier_01,commercial,reliable,1.0,moderate,0,8,0.759840127440881,-0.09887648338194144,0.16479999999999997,supplier,5201,2,ring_plus_hubs
supplier_02,commercial,reliable,1.0,moderate,0,8,0.7202140416063354,-0.09810250198509551,0.16480000000000003,supplier,5201,2,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,moderate,0,8,0.7202140416063354,-0.09810250198509551,0.007999999999999964,warehouse,5201,2,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,moderate,0,8,0.7202140416063354,-0.09810250198509551,0.007999999999999964,warehouse,5201,2,ring_plus_hubs
carrier_05,commercial,reliable,1.0,moderate,0,8,0.6371387429846408,-0.0830752986216946,0.007999999999999964,carrier,5201,3,ring_plus_hubs
carrier_06,commercial,reliable,1.0,moderate,0,8,0.6371387429846408,-0.0830752986216946,0.007999999999999964,carrier,5201,3,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,moderate,0,8,0.6721194422817002,-0.08772068515918097,0.16480000000000003,manufacturer,5201,3,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,moderate,0,8,0.6721194422817002,-0.08772068515918097,0.20400000000000001,manufacturer,5201,3,ring_plus_hubs
retailer_09,commercial,reliable,1.0,moderate,0,8,0.7060594023962855,-0.0911385259875711,1.0,retailer,5201,3,ring_plus_hubs
retailer_10,commercial,reliable,1.0,moderate,0,8,0.7060594023962855,-0.0911385259875711,1.0,retailer,5201,3,ring_plus_hubs
retailer_11,commercial,reliable,1.0,moderate,0,8,0.6721194422817002,-0.08772068515918086,1.0,retailer,5201,3,ring_plus_hubs
supplier_01,commercial,reliable,1.0,moderate,0,8,0.6721194422817002,-0.08772068515918086,0.16479999999999997,supplier,5201,3,ring_plus_hubs
supplier_02,commercial,reliable,1.0,moderate,0,8,0.6371387429846408,-0.0830752986216946,0.16480000000000003,supplier,5201,3,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,moderate,0,8,0.6371387429846408,-0.0830752986216946,0.007999999999999964,warehouse,5201,3,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,moderate,0,8,0.6371387429846408,-0.0830752986216946,0.007999999999999964,warehouse,5201,3,ring_plus_hubs
carrier_05,commercial,reliable,1.0,moderate,0,8,0.5694419507909417,-0.06769679219369906,0.007999999999999964,carrier,5201,4,ring_plus_hubs
carrier_06,commercial,reliable,1.0,moderate,0,8,0.5694419507909417,-0.06769679219369906,0.007999999999999964,carrier,5201,4,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,moderate,0,8,0.5988886228025578,-0.07323081947914234,0.16480000000000003,manufacturer,5201,4,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,moderate,0,8,0.5988886228025578,-0.07323081947914234,0.20400000000000001,manufacturer,5201,4,ring_plus_hubs
retailer_09,commercial,reliable,1.0,moderate,0,8,0.6278207889176003,-0.07823861347868521,1.0,retailer,5201,4,ring_plus_hubs
retailer_10,commercial,reliable,1.0,moderate,0,8,0.6278207889176003,-0.07823861347868521,1.0,retailer,5201,4,ring_plus_hubs
retailer_11,commercial,reliable,1.0,moderate,0,8,0.5988886228025578,-0.07323081947914234,1.1570327474630815,retailer,5201,4,ring_plus_hubs
supplier_01,commercial,reliable,1.0,moderate,0,8,0.5988886228025578,-0.07323081947914234,0.16479999999999997,supplier,5201,4,ring_plus_hubs
supplier_02,commercial,reliable,1.0,moderate,0,8,0.5694419507909417,-0.06769679219369906,0.16480000000000003,supplier,5201,4,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,moderate,0,8,0.5694419507909417,-0.06769679219369906,0.007999999999999964,warehouse,5201,4,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,moderate,0,8,0.5694419507909417,-0.06769679219369906,0.007999999999999964,warehouse,5201,4,ring_plus_hubs
carrier_05,commercial,reliable,1.0,moderate,0,8,0.5154946402070261,-0.053947310583915664,0.007999999999999964,carrier,5201,5,ring_plus_hubs
