application,communication,conservation_error,disruption,ledger_digest,monitor_sketch_messages,primary_outcome,run_id,seed
commercial,reliable,2.2737367544323206e-13,nominal,1e4c5f616a9a7705a3c31247b939d77beaf5ddec2fc50a0013a7039e5793062c,30,21.075737293018143,doet-calibration-commercial-nominal-reliable-s5101,5101
commercial,reliable,0.0,nominal,5f8319c4f63ae2c793ab437efa3d805568346175a5920b21d580a8a023f3835c,30,21.270968075144307,doet-calibration-commercial-nominal-reliable-s5102,5102
commercial,reliable,-6.821210263296962e-13,nominal,e53b6017d4605befec327482d8bba1849cfd215a75c2bf5e828aa7862d44b887,30,21.643527390930608,doet-calibration-commercial-nominal-reliable-s5103,5103
commercial,reliable,4.547473508864641e-13,nominal,be4e9929669eb08b5b9a1e430474b410333f31e7233d74984d0dff2482cd30b8,28,19.777083178023744,doet-calibration-commercial-nominal-reliable-s5104,5104
commercial,reliable,2.2737367544323206e-13,nominal,ef51f90db8265774a8a3235965c4b6a44b66353a7cff51d0883ef6281fa0f6b7,30,21.202253640839483,doet-calibration-commercial-nominal-reliable-s5105,5105
commercial,reliable,4.547473508864641e-13,nominal,874afdd95af5239210c161dc7e3ec4d2975a000b6837d127a36d81bf86e7db39,30,20.383857117449004,doet-calibration-commercial-nominal-reliable-s5106,5106
humanitarian,reliable,1.1368683772161603e-13,nominal,56455efad5d618f7bdf094e8014f0118ab2baacec90387043516b0365292d157,30,6783.258550966959,doet-calibration-humanitarian-nominal-reliable-s5101,5101
humanitarian,reliable,0.0,nominal,d0c4c9c9855c24aa819f1350ca01663f779f6110e8354d7779e9e25b387ccb8c,30,8249.366937709125,doet-calibration-humanitarian-nominal-reliable-s5102,5102
humanitarian,reliable,-4.547473508864641e-13,nominal,ec1cd817095fa7501809847d1d89a77d31aabc6caf03a494b9f87cf10c2ccd83,30,7955.769669510658,doet-calibration-humanitarian-nominal-reliable-s5103,5103
humanitarian,reliable,2.2737367544323206e-13,nominal,4e05ad0d281c1cbbd4218fac68058dcc372a4c9b7b87ad1c5faca7a46e27c45e,28,7550.119629315786,doet-calibration-humanitarian-nominal-reliable-s5104,5104
humanitarian,reliable,-2.2737367544323206e-13,nominal,f579e7cadbf494ec1b9595ce7a8cd5f99de0281a63304b49edc305d971099702,30,9044.26662312225,doet-calibration-humanitarian-nominal-reliable-s5105,5105
