agent_id,application,communication,consensus_disagreement,disruption,disruption_active,disruption_step,distributed_entropy,entropy_change,local_kpi_composite,role,seed,step,topology
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.7598401274408811,-0.09887648338194144,0.16480000000000003,manufacturer,5101,2,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.7598401274408811,-0.09887648338194144,0.20400000000000001,manufacturer,5101,2,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.7971979283838566,-0.09612705556789791,1.0,retailer,5101,2,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.7971979283838566,-0.09612705556789791,1.0,retailer,5101,2,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.7971979283838566,-0.09612705556789791,1.0,retailer,5101,2,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.7598401274408811,-0.09887648338194144,0.16479999999999997,supplier,5101,2,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.7202140416063354,-0.09810250198509551,0.16480000000000003,supplier,5101,2,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.7202140416063354,-0.09810250198509551,0.007999999999999964,warehouse,5101,2,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.7202140416063354,-0.09810250198509551,0.007999999999999964,warehouse,5101,2,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.6371387429846408,-0.0830752986216946,0.007999999999999964,carrier,5101,3,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.6371387429846408,-0.0830752986216946,0.007999999999999964,carrier,5101,3,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.6721194422817002,-0.08772068515918097,0.16480000000000003,manufacturer,5101,3,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.6721194422817002,-0.08772068515918097,0.20400000000000001,manufacturer,5101,3,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.7060594023962855,-0.0911385259875711,1.0,retailer,5101,3,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.7060594023962855,-0.0911385259875711,1.0,retailer,5101,3,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.7060594023962855,-0.0911385259875711,1.0,retailer,5101,3,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.6721194422817002,-0.08772068515918097,0.16479999999999997,supplier,5101,3,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.6371387429846408,-0.0830752986216946,0.16480000000000003,supplier,5101,3,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.6371387429846408,-0.0830752986216946,0.007999999999999964,warehouse,5101,3,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.6371387429846408,-0.0830752986216946,0.007999999999999964,warehouse,5101,3,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.5694419507909417,-0.06769679219369906,0.007999999999999964,carrier,5101,4,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.5694419507909417,-0.06769679219369906,0.007999999999999964,carrier,5101,4,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.5988886228025578,-0.07323081947914234,0.16480000000000003,manufacturer,5101,4,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.5988886228025578,-0.07323081947914234,0.20400000000000001,manufacturer,5101,4,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.6278207889176003,-0.07823861347868521,1.1002009676218831,retailer,5101,4,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.6278207889176003,-0.07823861347868521,1.0927709420429899,retailer,5101,4,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.6278207889176003,-0.07823861347868521,1.0794372300922717,retailer,5101,4,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.5988886228025578,-0.07323081947914234,0.16479999999999997,supplier,5101,4,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.5694419507909417,-0.06769679219369906,0.16480000000000003,supplier,5101,4,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.5694419507909417,-0.06769679219369906,0.007999999999999964,warehouse,5101,4,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.5694419507909417,-0.06769679219369906,0.007999999999999964,warehouse,5101,4,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.5154946402070261,-0.053947310583915664,0.007999999999999964,carrier,5101,5,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.5154946402070261,-0.053947310583915664,0.007999999999999964,carrier,5101,5,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.5396097855457445,-0.05927883725681338,0.16480000000000003,manufacturer,5101,5,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.5396097855457445,-0.05927883725681338,0.20400000000000001,manufacturer,5101,5,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.563459590592691,-0.06436119832490927,1.4981794981794982,retailer,5101,5,ring_plus_hubs
