stage,application,treatment,comparator,n_planned_pairs,n_both_complete,thermoagent_only_failures,comparator_only_failures,both_failed,failure_aware_win_rate,complete_case_mean_improvement,complete_case_ci95_low,complete_case_ci95_high
main,commercial,thermoagent,learned_no_entropy,72,72,0,0,0,0.5902777777777778,0.18724989360239896,0.01726425197428287,0.35412056915626633
main,commercial,thermoagent,autonomous_fixed_comm,72,72,0,0,0,0.1388888888888889,-0.722082821622631,-0.8954422436023699,-0.5450340806447898
main,commercial,thermoagent,scripted_independent,72,72,0,0,0,0.22916666666666666,-0.6806179092781842,-0.8917219886021586,-0.46666799661149433
main,commercial,thermoagent,centralized_lookahead,72,72,0,0,0,0.0,-15.369828264813115,-15.70771359709717,-15.00252261696296
main,commercial,thermoagent,centralized_llm,56,56,0,0,0,0.5178571428571429,-0.3100953985735551,-0.5941428475523403,-0.048645837416762816
main,humanitarian,thermoagent,learned_no_entropy,72,72,0,0,0,0.7152777777777778,106.50707749999995,61.140465802083305,159.01532078124984
main,humanitarian,thermoagent,autonomous_fixed_comm,72,72,0,0,0,0.4861111111111111,-3.474640416666691,-56.19341766666662,50.44072398958326
main,humanitarian,thermoagent,scripted_independent,72,72,0,0,0,0.3263888888888889,-143.1216700000001,-214.50134745833353,-70.19930733333356
main,humanitarian,thermoagent,centralized_lookahead,72,72,0,0,0,0.0,-4958.261909305624,-5198.951361865304,-4710.506935765895
main,humanitarian,thermoagent,centralized_llm,56,56,0,0,0,0.48214285714285715,-182.67173839285715,-287.57363109375,-84.33976509375003
