application,scenario_name,treatment,comparator,n_pairs,mean_improvement,ci95_low,ci95_high,paired_win_rate,p_value_sign_flip
commercial,communication_loss,thermoagent,learned_no_entropy,3,10.190437766085328,9.237909061304618,10.992407711371863,1.0,0.3333333333333333
commercial,compound_stress_v2,thermoagent,learned_no_entropy,3,2.9414196902281255,1.056824044167156,4.020379457303029,1.0,0.3333333333333333
commercial,nominal,thermoagent,learned_no_entropy,3,10.159716432744107,9.145101677232681,10.76880486305958,1.0,0.3333333333333333
commercial,paired_compound_v8,thermoagent,learned_no_entropy,3,0.0,0.0,0.0,0.0,1.0
commercial,paired_nominal_v8,thermoagent,learned_no_entropy,3,0.7174820826943898,0.10219472375142402,1.2553111688371725,1.0,0.3333333333333333
commercial,single_disruption,thermoagent,learned_no_entropy,3,9.95749616084178,8.569905244523895,10.768688114299442,1.0,0.3333333333333333
commercial,single_disruption_route_v2,thermoagent,learned_no_entropy,3,7.148140804479354,4.027092685280617,9.65881883860007,1.0,0.3333333333333333
commercial,paired_compound_v8,thermoagent,autonomous_fixed_comm,3,-0.921518988538819,-1.5532933309642587,-0.5232788732740516,0.0,0.3333333333333333
commercial,paired_nominal_v8,thermoagent,autonomous_fixed_comm,3,-1.5953633378075402,-2.812191955827039,0.1550129051480802,0.3333333333333333,0.5555555555555556
commercial,communication_loss,thermoagent,scripted_independent,3,8.491524783817786,4.153760880812068,11.010403989537382,1.0,0.3333333333333333
commercial,compound_stress_v2,thermoagent,scripted_independent,3,2.9076890900827213,1.0381381477980938,3.9630828297527056,1.0,0.3333333333333333
commercial,nominal,thermoagent,scripted_independent,3,9.380413140845866,8.268115279518609,10.705061906585636,1.0,0.3333333333333333
commercial,paired_compound_v8,thermoagent,scripted_independent,3,-0.9804801521734822,-1.6896783298281086,-0.36741706057562595,0.0,0.3333333333333333
commercial,paired_nominal_v8,thermoagent,scripted_independent,3,-2.4692740726577846,-4.666834359857647,1.2553111688371725,0.3333333333333333,0.5555555555555556
commercial,single_disruption,thermoagent,scripted_independent,3,8.15988028950051,5.189711354166757,10.68693822758326,1.0,0.3333333333333333
commercial,single_disruption_route_v2,thermoagent,scripted_independent,3,9.330181372228546,7.833222311045975,10.472113687771326,1.0,0.3333333333333333
commercial,paired_compound_v8,thermoagent,centralized_lookahead,3,-12.818359772206003,-13.380247631866034,-12.271616242763082,0.0,0.3333333333333333
commercial,paired_nominal_v8,thermoagent,centralized_lookahead,3,-14.367848771744079,-16.05651209859426,-13.437170554449688,0.0,0.3333333333333333
commercial,paired_compound_v8,thermoagent,centralized_llm,3,-2.0320728432990354,-2.317655740169025,-1.7346611141031971,0.0,0.3333333333333333
commercial,paired_nominal_v8,thermoagent,centralized_llm,3,-1.6356517512089173,-1.9050212705978051,-1.110050270978677,0.0,0.3333333333333333
humanitarian,communication_loss,thermoagent,learned_no_entropy,3,639.7707877257593,411.54481899929084,792.0386749173443,1.0,0.3333333333333333
humanitarian,compound_stress_v2,thermoagent,learned_no_entropy,3,324.3088369223285,245.62883080769302,370.2320552022047,1.0,0.3333333333333333
humanitarian,nominal,thermoagent,learned_no_entropy,3,797.6583032643988,641.2165231021504,961.3927612040733,1.0,0.3333333333333333
humanitarian,paired_compound_v8,thermoagent,learned_no_entropy,3,0.0,0.0,0.0,0.0,1.0
humanitarian,paired_nominal_v8,thermoagent,learned_no_entropy,3,0.0,-90.0,90.0,0.3333333333333333,1.0
humanitarian,single_disruption,thermoagent,learned_no_entropy,3,621.7344717660748,246.16070569030913,985.2156331585015,1.0,0.3333333333333333
humanitarian,single_disruption_route_v2,thermoagent,learned_no_entropy,3,544.5413588365359,497.06953185244305,635.8666505670151,1.0,0.3333333333333333
humanitarian,paired_compound_v8,thermoagent,autonomous_fixed_comm,3,-79.03125,-162.84374999999955,0.0,0.0,0.5555555555555556
humanitarian,paired_nominal_v8,thermoagent,autonomous_fixed_comm,3,25.97430000000001,-12.077099999999973,90.0,0.3333333333333333,1.0
humanitarian,communication_loss,thermoagent,scripted_independent,3,674.607690050917,360.77109617413356,1041.0390317187296,1.0,0.3333333333333333
humanitarian,compound_stress_v2,thermoagent,scripted_independent,3,291.53897581732303,208.23585434019287,385.6969574838006,1.0,0.3333333333333333
humanitarian,nominal,thermoagent,scripted_independent,3,730.8148675563598,563.2496729417801,1014.6683083572829,1.0,0.3333333333333333
humanitarian,paired_compound_v8,thermoagent,scripted_independent,3,-321.9060000000001,-583.2539999999999,-169.70400000000018,0.0,0.3333333333333333
humanitarian,paired_nominal_v8,thermoagent,scripted_independent,3,-824.3272500000002,-1101.3927000000006,-567.3804,0.0,0.3333333333333333
humanitarian,single_disruption,thermoagent,scripted_independent,3,628.8630714155997,276.5156285190856,1019.0407415565651,1.0,0.3333333333333333
humanitarian,single_disruption_route_v2,thermoagent,scripted_independent,3,510.9745757099378,437.04185208336906,585.4669974056599,1.0,0.3333333333333333
humanitarian,paired_compound_v8,thermoagent,centralized_lookahead,3,-2137.207177827264,-2424.176899708842,-1820.4666750327717,0.0,0.3333333333333333
humanitarian,paired_nominal_v8,thermoagent,centralized_lookahead,3,-1789.874854826355,-2119.5201762568972,-1461.9042099083142,0.0,0.3333333333333333
humanitarian,paired_compound_v8,thermoagent,centralized_llm,3,-180.00000000000014,-180.00000000000045,-180.0,0.0,0.3333333333333333
humanitarian,paired_nominal_v8,thermoagent,centralized_llm,3,-210.00000000000014,-240.0,-150.00000000000045,0.0,0.3333333333333333
