application,scenario_name,treatment,comparator,n_pairs,mean_improvement,ci95_low,ci95_high,paired_win_rate,p_value_sign_flip
commercial,factor_moderate_center,thermoagent,learned_no_entropy,8,0.580040482341345,0.17406767449269478,1.062039652500164,0.875,0.027237354085603113
commercial,factor_private_aligned,thermoagent,learned_no_entropy,8,-0.12422937352914398,-0.9094066508915764,0.3331489680023225,0.75,0.9922178988326849
commercial,factor_private_mixed,thermoagent,learned_no_entropy,8,-0.18043916180130504,-0.6436007739279106,0.25861362701586926,0.375,0.49416342412451364
commercial,factor_shared_aligned,thermoagent,learned_no_entropy,8,0.5749935688035492,0.06422671956541315,1.037689669626537,0.75,0.07392996108949416
commercial,factor_shared_mixed,thermoagent,learned_no_entropy,8,0.662381704423775,0.22111060944796962,1.1827710084791152,0.75,0.042801556420233464
commercial,nominal_control,thermoagent,learned_no_entropy,8,0.24595890330497605,-0.3987166912673871,0.8876906521786765,0.5,0.5019455252918288
commercial,private_mixed_compound_partition_large,thermoagent,learned_no_entropy,8,-0.06625062209801857,-0.1713892710344016,0.00557078575320924,0.125,0.2529182879377432
commercial,private_mixed_compound_partition_small,thermoagent,learned_no_entropy,8,-0.0832557313153568,-0.19756024565584918,0.0,0.0,0.5019455252918288
commercial,private_mixed_correlated,thermoagent,learned_no_entropy,8,0.07604927229176983,-0.03535728809326555,0.2478011457707856,0.25,0.7509727626459144
commercial,factor_moderate_center,thermoagent,autonomous_fixed_comm,8,-0.66689860878303,-1.1544658251273268,-0.11739210913180931,0.25,0.058365758754863814
commercial,factor_private_aligned,thermoagent,autonomous_fixed_comm,8,-1.3851114537576488,-1.796048412314639,-0.9669460437928785,0.0,0.011673151750972763
commercial,factor_private_mixed,thermoagent,autonomous_fixed_comm,8,-0.44366640053393946,-0.5727526213206455,-0.3132929672086291,0.0,0.011673151750972763
commercial,factor_shared_aligned,thermoagent,autonomous_fixed_comm,8,-1.403651190301084,-1.9510218739080984,-0.825894175102021,0.0,0.011673151750972763
commercial,factor_shared_mixed,thermoagent,autonomous_fixed_comm,8,-0.7297487520727037,-1.27550705921693,-0.10524916393612756,0.25,0.06614785992217899
commercial,nominal_control,thermoagent,autonomous_fixed_comm,8,-0.022471487642783172,-0.33160088977234725,0.2613043085963422,0.5,0.9221789883268483
commercial,private_mixed_compound_partition_large,thermoagent,autonomous_fixed_comm,8,-0.314380605569345,-0.41616827733808626,-0.2143601623418916,0.0,0.011673151750972763
commercial,private_mixed_compound_partition_small,thermoagent,autonomous_fixed_comm,8,-1.3269097757420072,-1.5898802948649116,-1.0680708249215891,0.0,0.011673151750972763
commercial,private_mixed_correlated,thermoagent,autonomous_fixed_comm,8,-0.20590712020113777,-0.44591248945614853,0.04701447903741885,0.25,0.17509727626459143
commercial,factor_moderate_center,thermoagent,scripted_independent,8,-0.5188245996164478,-1.0872987304064246,0.08748375089348874,0.25,0.13618677042801555
commercial,factor_private_aligned,thermoagent,scripted_independent,8,-1.0097158070112033,-1.6853599903210565,-0.38048890171913774,0.125,0.03501945525291829
commercial,factor_private_mixed,thermoagent,scripted_independent,8,-0.9752082708320422,-1.4462038951923502,-0.4628495713748719,0.125,0.019455252918287938
commercial,factor_shared_aligned,thermoagent,scripted_independent,8,-0.4577065420602169,-1.255636439026811,0.3273914230458106,0.375,0.3151750972762646
commercial,factor_shared_mixed,thermoagent,scripted_independent,8,-0.6298825183481269,-1.335297647384145,0.1880996322319124,0.25,0.19066147859922178
commercial,nominal_control,thermoagent,scripted_independent,8,-0.5737001601639313,-1.210203928760655,0.07353602992179664,0.375,0.1517509727626459
commercial,private_mixed_compound_partition_large,thermoagent,scripted_independent,8,-0.6746810011660644,-0.9444744622840732,-0.43853016216844365,0.0,0.011673151750972763
commercial,private_mixed_compound_partition_small,thermoagent,scripted_independent,8,-0.7995937531634081,-1.6309860558210236,-0.14329397325714233,0.0,0.2529182879377432
commercial,private_mixed_correlated,thermoagent,scripted_independent,8,-0.4862485311422171,-0.9245955555145449,-0.026062403002585555,0.25,0.11284046692607004
commercial,factor_moderate_center,thermoagent,centralized_lookahead,8,-15.793621593674107,-16.387231521152238,-15.079797626693974,0.0,0.011673151750972763
commercial,factor_private_aligned,thermoagent,centralized_lookahead,8,-16.29134389314464,-16.740402408570635,-15.84459156164248,0.0,0.011673151750972763
commercial,factor_private_mixed,thermoagent,centralized_lookahead,8,-16.256305242171166,-16.56697473030439,-15.967525554336286,0.0,0.011673151750972763
commercial,factor_shared_aligned,thermoagent,centralized_lookahead,8,-15.739334628193653,-16.496410338639393,-14.982258917747911,0.0,0.011673151750972763
commercial,factor_shared_mixed,thermoagent,centralized_lookahead,8,-15.91097948968725,-16.582179588098818,-15.140760550801687,0.0,0.011673151750972763
commercial,nominal_control,thermoagent,centralized_lookahead,8,-15.90827388602704,-16.53786494583415,-15.224178871755964,0.0,0.011673151750972763
commercial,private_mixed_compound_partition_large,thermoagent,centralized_lookahead,8,-12.018027592117992,-12.54596455065444,-11.428616707035598,0.0,0.011673151750972763
commercial,private_mixed_compound_partition_small,thermoagent,centralized_lookahead,8,-15.592452908958844,-15.910854075569496,-15.24082960846752,0.0,0.011673151750972763
commercial,private_mixed_correlated,thermoagent,centralized_lookahead,8,-14.818115149343338,-15.595338719165591,-13.92219517602806,0.0,0.011673151750972763
commercial,factor_moderate_center,thermoagent,centralized_llm,8,-0.453092531983158,-1.133604098890022,0.18016431828542084,0.375,0.2840466926070039
