application,free_energy_quantile_bin,mean_free_energy,mean_future_service_loss_3_period,n_timepoints
commercial,0,0.24933159432403212,0.6437740240398427,4637
commercial,1,0.27692388012649943,0.8132446150316277,3441
commercial,2,0.32077906789845595,0.8037219735451502,870
commercial,3,0.33900419642293766,0.7890601896814057,1372
humanitarian,0,0.24256018776884936,0.6807445780521314,4740
humanitarian,1,0.27913705322863275,0.8250213271362403,2810
humanitarian,2,0.3146434213911137,0.8533310557640483,1428
humanitarian,3,0.34870138784917715,0.8236997008178102,1342
