stage,application,treatment,comparator,n_pairs,mean_improvement,ci95_low,ci95_high,paired_win_rate,probability_superiority,p_value_sign_flip,p_value_holm
main,commercial,thermoagent,autonomous_fixed_comm,72,-0.722082821622631,-0.8954422436023699,-0.5450340806447898,0.1388888888888889,0.1388888888888889,4.999750012499375e-05,0.0002999850007499625
main,commercial,thermoagent,autonomous_no_comm,56,-2.4942157001388403,-2.7562790289455825,-2.2315233945536552,0.0,0.0,4.999750012499375e-05,0.0002999850007499625
main,commercial,thermoagent,centralized_llm,56,-0.3100953985735551,-0.5941428475523403,-0.048645837416762816,0.375,0.5178571428571428,0.034848257587120644,0.06529673516324183
main,commercial,thermoagent,centralized_lookahead,72,-15.369828264813115,-15.70771359709717,-15.00252261696296,0.0,0.0,4.999750012499375e-05,0.0002999850007499625
main,commercial,thermoagent,learned_no_entropy,72,0.18724989360239896,0.01726425197428287,0.35412056915626633,0.4861111111111111,0.5902777777777778,0.032648367581620916,0.06529673516324183
main,commercial,thermoagent,scripted_independent,72,-0.6806179092781842,-0.8917219886021586,-0.46666799661149433,0.19444444444444445,0.22916666666666669,4.999750012499375e-05,0.0002999850007499625
main,humanitarian,thermoagent,autonomous_fixed_comm,72,-3.474640416666691,-56.19341766666662,50.44072398958326,0.375,0.4861111111111111,0.8990050497475126,0.8990050497475126
main,humanitarian,thermoagent,autonomous_no_comm,56,-266.4225530835303,-359.8078158507445,-177.96139212713473,0.14285714285714285,0.19642857142857142,4.999750012499375e-05,0.0002999850007499625
main,humanitarian,thermoagent,centralized_llm,56,-182.67173839285715,-287.57363109375,-84.33976509375003,0.3392857142857143,0.48214285714285715,0.000999950002499875,0.00199990000499975
main,humanitarian,thermoagent,centralized_lookahead,72,-4958.261909305624,-5198.951361865304,-4710.506935765895,0.0,0.0,4.999750012499375e-05,0.0002999850007499625
main,humanitarian,thermoagent,learned_no_entropy,72,106.50707749999995,61.140465802083305,159.01532078124984,0.5138888888888888,0.7152777777777777,4.999750012499375e-05,0.0002999850007499625
main,humanitarian,thermoagent,scripted_independent,72,-143.1216700000001,-214.50134745833353,-70.19930733333356,0.25,0.3263888888888889,0.000199990000499975,0.000599970001499925
