run_id,application,scenario_name,predicted_source,true_sources,top1_localization_correct,top3_localization_correct
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-autonomous_fixed_comm-n09-s4102-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-autonomous_fixed_comm-n09-s4102-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-autonomous_fixed_comm-n09-s4103-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-autonomous_fixed_comm-n09-s4103-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-autonomous_fixed_comm-n09-s4104-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-autonomous_fixed_comm-n09-s4104-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-centralized_lookahead-n09-s4101-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-centralized_lookahead-n09-s4101-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-centralized_lookahead-n09-s4102-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-centralized_lookahead-n09-s4102-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-centralized_lookahead-n09-s4103-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
