signal,direction,threshold_nominal_95pct,average_precision,roc_auc,precision_at_threshold,recall_at_threshold,false_alarm_rate,n_timepoints,nominal_reference_median
exact_free_energy,high,0.23118718424322535,0.5768218716445567,0.3930607621274208,0.6677438790600866,0.9168922984356197,0.8259803921568627,20640,0.22095759747061972
absolute_free_energy_deviation,high,0.010229586772605631,0.5792765380358773,0.40282624887266044,0.6754028039338774,0.9710439229843562,0.8449074074074074,20640,0.22095759747061972
exact_entropy,high,0.6093946114275058,0.9336484202169688,0.8632498661693919,0.969848566792861,0.539485559566787,0.030364923747276687,20640,
exact_energy,high,0.3884735202492212,0.8846877059001962,0.800273844788283,0.689187675070028,0.9252406738868832,0.7554466230936819,20640,
distributed_free_energy_mean,high,0.23121454306328784,0.6756100508323993,0.4805487431802511,0.666757821045723,0.9168922984356197,0.8296568627450981,20640,0.22095759747061972
interaction_entropy,high,0.9988085961664528,0.550591971819068,0.4107104109234615,0.0946866485013624,0.010454271961492179,0.1809640522875817,20640,
exact_energy_sensitivity_backlog_service_heavy,high,0.3593457943925233,0.823181595268165,0.7053384894370905,0.6884578408641068,0.9156137184115524,0.7501361655773421,20640,
exact_energy_sensitivity_balanced,high,0.4287383177570093,0.909172371399532,0.852205333430337,0.6832024942931908,0.9229091456077015,0.7747821350762527,20640,
exact_energy_sensitivity_delay_commitment_heavy,high,0.47500000000000003,0.8741060306788649,0.7714920302172882,0.687333923826395,0.9338146811070999,0.7690631808278867,20640,
exact_free_energy_sensitivity_backlog_service_heavy,high,0.23607182783138697,0.5623950130209975,0.36907551724895066,0.6769170005078147,0.9023014440433214,0.7796840958605664,20640,0.22095759747061972
exact_free_energy_sensitivity_balanced,high,0.2473604738067145,0.6141711003607667,0.4492830435841271,0.6548483107931701,0.9432160048134778,0.9000544662309368,20640,0.22095759747061972
exact_free_energy_sensitivity_delay_commitment_heavy,high,0.2907693958092029,0.6053649850243366,0.4261191548754814,0.6606418485237484,0.9676594464500602,0.8999183006535948,20640,0.22095759747061972
