communication_regime,n_timepoints,mean_consensus_rmse,mean_entropy_absolute_error,mean_free_energy_absolute_error,rmse_entropy_error_spearman,rmse_free_energy_error_spearman
intermittent,3120,0.02794108337052278,0.02270398304143152,0.014188398982065666,0.9958915842195666,0.9958950186317113
partition,4720,0.04721055556976001,0.05127992184782772,0.032046358985487154,0.9853447130115428,0.9853202096066344
reliable,12800,0.010906004043404893,0.002979952255905928,0.001862261413653444,0.9658726950032858,0.9659184314394869
