application,construct,weight_variant,weight_backlog,weight_delay,weight_shortfall,weight_commitment,nominal_mean,disrupted_mean,disrupted_minus_nominal,average_precision_disruption,roc_auc_disruption,spearman_current_service_loss,spearman_future_service_loss,n_timepoints
commercial,energy,primary,0.35,0.2,0.3,0.15,0.4149047823583669,0.4374007953929686,0.022496013034601692,0.8627917446675216,0.7538271785181515,0.4779009906880989,0.439874839500178,10320
commercial,free_energy,primary,0.35,0.2,0.3,0.15,0.2834493375014109,0.27262503815501926,-0.01082429934639162,0.5523988462846897,0.3510757408325009,0.2948682995398975,0.35123336635031915,10320
commercial,energy,balanced,0.25,0.25,0.25,0.25,0.4534510254935745,0.48028586661540523,0.02683484112183071,0.9088619240016645,0.8539706111753432,0.6240722363316829,0.5939031791621108,10320
commercial,free_energy,balanced,0.25,0.25,0.25,0.25,0.308133659464925,0.30164818820576256,-0.006485471259162434,0.599295526559815,0.416882548914739,0.3087916364863022,0.3687488825466399,10320
commercial,energy,backlog_service_heavy,0.4,0.1,0.4,0.1,0.3887564885413314,0.40470835371983604,0.015951865178504665,0.8609076798480338,0.7490066139438795,0.47961737134975196,0.4410735325250955,10320
commercial,free_energy,backlog_service_heavy,0.4,0.1,0.4,0.1,0.28243490845633745,0.2650664612538489,-0.017368447202488535,0.5499220406881545,0.34412609391262855,0.23988775912155805,0.2818988076494281,10320
commercial,energy,delay_commitment_heavy,0.15,0.35,0.15,0.35,0.4965807167950698,0.5306708752124512,0.03409015841738133,0.9069704537745281,0.839424735665091,0.5848341821685614,0.5697374981460889,10320
commercial,free_energy,delay_commitment_heavy,0.15,0.35,0.15,0.35,0.3484105905259181,0.3491804365623063,0.0007698460363881887,0.5938849757919371,0.3971096193524876,0.20176840118828515,0.26797772335344106,10320
humanitarian,energy,primary,0.35,0.2,0.3,0.15,0.4167165233463871,0.44683308516353315,0.03011656181714606,0.8990464179487507,0.8404354906155537,0.6416926339568512,0.6282633398629953,10320
humanitarian,free_energy,primary,0.35,0.2,0.3,0.15,0.27928052037916856,0.27464807566254557,-0.0046324447166229965,0.5967387295488306,0.43100608173473964,0.3355495950044317,0.3811904754869289,10320
humanitarian,energy,balanced,0.25,0.25,0.25,0.25,0.44858490492869185,0.48450857260835284,0.03592366767966099,0.9053350666475093,0.8452377850792677,0.6425425992916476,0.6367317955840489,10320
humanitarian,free_energy,balanced,0.25,0.25,0.25,0.25,0.29728698078977983,0.298461641935672,0.001174661145892153,0.6328499891032356,0.4843026569164904,0.3649018937443594,0.4087938690291448,10320
humanitarian,energy,backlog_service_heavy,0.4,0.1,0.4,0.1,0.39611995801411803,0.41803574630438234,0.021915788290264304,0.8830011518353931,0.7913212141053774,0.5940207969230817,0.5715732313428648,10320
humanitarian,free_energy,backlog_service_heavy,0.4,0.1,0.4,0.1,0.28381781981886156,0.270984601575357,-0.012833218243504585,0.5653963835416046,0.37777013382569236,0.2849081826835622,0.32399205080358845,10320
humanitarian,energy,delay_commitment_heavy,0.15,0.35,0.15,0.35,0.48356153620507436,0.5288237901443331,0.045262253939258756,0.9041910950850222,0.8396335310765568,0.6004481849925736,0.5984175252832431,10320
humanitarian,free_energy,delay_commitment_heavy,0.15,0.35,0.15,0.35,0.3294108518256601,0.3399240992311501,0.010513247405489978,0.6158912789364853,0.4336454982447585,0.27766429116153746,0.32677894144488645,10320
