application,scenario_name,n_disrupted_episodes,top1_localization_accuracy,top3_localization_accuracy
commercial,factor_moderate_center,56,0.9464285714285714,1.0
commercial,factor_private_aligned,56,0.9464285714285714,1.0
commercial,factor_private_mixed,56,0.9464285714285714,1.0
commercial,factor_shared_aligned,56,0.9464285714285714,1.0
commercial,factor_shared_mixed,56,0.9464285714285714,1.0
commercial,private_mixed_compound_partition_large,56,1.0,1.0
commercial,private_mixed_compound_partition_small,40,1.0,1.0
commercial,private_mixed_correlated,56,1.0,1.0
commercial,unseen_compound,20,1.0,1.0
commercial,unseen_correlated_partition,20,1.0,1.0
humanitarian,factor_moderate_center,56,0.08928571428571429,1.0
humanitarian,factor_private_aligned,56,0.08928571428571429,1.0
humanitarian,factor_private_mixed,56,0.08928571428571429,1.0
humanitarian,factor_shared_aligned,56,0.08928571428571429,1.0
humanitarian,factor_shared_mixed,56,0.08928571428571429,1.0
humanitarian,private_mixed_compound_partition_large,56,0.0,1.0
humanitarian,private_mixed_compound_partition_small,40,1.0,1.0
humanitarian,private_mixed_correlated,56,0.0,1.0
humanitarian,unseen_compound,20,1.0,1.0
humanitarian,unseen_correlated_partition,20,1.0,1.0
