application,method,signal,n_disrupted_episodes,detected_episodes,detection_rate,mean_detection_delay_detected,median_detection_delay_detected,visible_collapse_episodes,detected_before_visible_collapse,proportion_before_visible_collapse
commercial,autonomous_fixed_comm,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,distributed_free_energy_mean,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,exact_energy,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,exact_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,exact_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,exact_entropy,72,40,0.5555555555555556,0.0,0.0,69,37,0.5362318840579711
commercial,autonomous_fixed_comm,exact_free_energy,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,exact_free_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,exact_free_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,69,69,1.0
commercial,autonomous_fixed_comm,interaction_entropy,72,8,0.1111111111111111,0.0,0.0,69,7,0.10144927536231885
commercial,autonomous_no_comm,absolute_free_energy_deviation,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,distributed_free_energy_mean,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,exact_energy,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,exact_energy_sensitivity_backlog_service_heavy,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,exact_energy_sensitivity_balanced,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,exact_energy_sensitivity_delay_commitment_heavy,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,exact_entropy,56,40,0.7142857142857143,0.0,0.0,40,24,0.6
commercial,autonomous_no_comm,exact_free_energy,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,exact_free_energy_sensitivity_backlog_service_heavy,56,56,1.0,0.6428571428571429,0.0,40,40,1.0
commercial,autonomous_no_comm,exact_free_energy_sensitivity_balanced,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,exact_free_energy_sensitivity_delay_commitment_heavy,56,56,1.0,0.0,0.0,40,40,1.0
commercial,autonomous_no_comm,interaction_entropy,56,0,0.0,,,40,0,0.0
commercial,centralized_llm,absolute_free_energy_deviation,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,distributed_free_energy_mean,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,exact_energy,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,exact_energy_sensitivity_backlog_service_heavy,56,56,1.0,0.0,0.0,56,56,1.0
