run_id,stage,application,method,scenario,seed,completion_status,wall_clock_seconds,disruption_sources,analysis_valid,exclusion_reason,scenario_name,n_agents,agreement_rate,coalition_proposals,coalition_recall_when_required,coalitions,coalitions_formed,commitment_breaches,commitment_memory_accuracy,commitment_memory_items,conservation_error,cumulative_unmet_weighted_need,delivered_messages,fairness,final_backlog,fulfillment_rate,individually_rational_agreement_rate,information_disclosures,inventory_efficiency,max_free_energy,mean_agent_utility,mean_consensus_rmse,mean_time_to_agreement,message_bytes,message_delivery_rate,messages,minimum_agent_utility,monitor_sketch_bytes,monitor_sketch_messages,on_time_delivery_rate,partner_reliability_brier,partner_reliability_observations,primary_outcome,recovery_time,service_loss_auc,social_welfare,tool_calls,total_communication_bytes,total_communication_messages,total_cost,transport_efficiency,useful_coalition_precision,generated_tokens,llm_calls,llm_latency_seconds,planner_revision,prompt_tokens
pilot-commercial-autonomous_fixed_comm-n08-s1101-final_nominal_v3,pilot,commercial,autonomous_fixed_comm,reliable-nominal-p0.5-o0.5,1101,complete,29.794956374913454,,False,Pre-freeze action-dependent RNG coupling invalidated paired treatment inference; retained for planner behavior and throughput only.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,0.0,1269.5532493763071,12,0.9999996280464573,124.90660735115195,0.05185081288955665,0.0,24,0.006315848519452943,0.22095759747061972,0.5201178954338684,0.007584673394123364,,4561,0.5,24,-0.11236443102213634,,,0.0,,0,16.413384796050266,14.0,16.413384796050266,0.30185071990117096,41,,,0.0,0.0,0.0,3040,41,29.735033806413412,a09a35458c702b33eeacc393d103063234e8bc28,46286
pilot-commercial-autonomous_fixed_comm-n08-s1101-paired_nominal_v5,pilot,commercial,autonomous_fixed_comm,reliable-nominal-p0.5-o0.5,1101,complete,32.4931112639606,,False,Pre-freeze privacy audit found evaluator-only consensus error and global interaction entropy in actor features; interrupted after 16 published rows and retained only as an engineering diagnostic.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,-2.2737367544323206e-13,1075.5557889557624,14,0.9999999504465875,113.72639468948648,0.1420571852830776,0.0,24,0.017369396079460378,0.22095759747061972,0.5615003472725204,0.007584673394123364,,4583,0.4117647058823529,34,-0.011316339440270246,,,1.0,,0,14.008279170620792,14.0,14.008279170620792,0.38296558030206507,51,,,12.05154970485935,1.0,0.0,2540,51,32.40284372493625,a09a35458c702b33eeacc393d103063234e8bc28,63096
pilot-commercial-autonomous_fixed_comm-n08-s1101-paired_nominal_v6,pilot,commercial,autonomous_fixed_comm,reliable-nominal-p0.5-o0.5,1101,complete,33.39933316409588,,False,Pre-freeze factorial audit found that private-information severity changed true marginal costs and local forecast noise; interrupted after 13 published rows before outcome comparison and retained only as an engineering diagnostic.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,-2.2737367544323206e-13,1121.9557889557625,14,0.9999999493769675,113.9263946894865,0.1405484012983933,0.0,24,0.017184916381540797,0.22095759747061972,0.5608081879613273,0.0076691297487872815,,4584,0.4,35,-0.013006461082636422,,,1.0,,0,14.82513214470433,14.0,14.82513214470433,0.37962908026573194,52,,,14.474316386898732,1.0,0.0,2609,52,33.304817978292704,a09a35458c702b33eeacc393d103063234e8bc28,63639
pilot-commercial-autonomous_fixed_comm-n08-s1102-final_nominal_v3,pilot,commercial,autonomous_fixed_comm,reliable-nominal-p0.5-o0.5,1102,complete,37.74829276651144,,False,Pre-freeze action-dependent RNG coupling invalidated paired treatment inference; retained for planner behavior and throughput only.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,2.2737367544323206e-13,1557.1292012266779,14,0.9999986986259786,153.47648009971329,0.027720346268363057,0.0,23,0.00413829808353548,0.22095759747061972,0.5592812368682687,0.007983866730656172,,4309,0.6086956521739131,23,-0.26809016748931247,,,0.0,,0,17.969646006073706,14.0,17.969646006073706,0.2777200209248577,41,,,0.0,0.0,0.0,3470,45,37.675346687436104,a09a35458c702b33eeacc393d103063234e8bc28,52835
pilot-commercial-autonomous_fixed_comm-n08-s1102-paired_nominal_v5,pilot,commercial,autonomous_fixed_comm,reliable-nominal-p0.5-o0.5,1102,complete,42.37479505687952,,False,Pre-freeze privacy audit found evaluator-only consensus error and global interaction entropy in actor features; interrupted after 16 published rows and retained only as an engineering diagnostic.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,-2.2737367544323206e-13,1128.628741292446,14,0.9999999865719049,112.57035945403693,0.27289325025020406,0.0,24,0.03973895953214244,0.22095759747061972,0.6568790088547785,0.007983866730656172,,4607,0.3684210526315789,38,0.01331018572331348,,,1.0,,0,13.77758036608444,14.0,13.77758036608444,0.4909150932295716,61,,,49.50844224493278,1.0,0.0,3154,61,42.27987667918205,a09a35458c702b33eeacc393d103063234e8bc28,76408
pilot-commercial-autonomous_fixed_comm-n08-s1103-final_nominal_v3,pilot,commercial,autonomous_fixed_comm,reliable-nominal-p0.5-o0.5,1103,complete,48.27830943092704,,False,Pre-freeze action-dependent RNG coupling invalidated paired treatment inference; retained for planner behavior and throughput only.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,0.0,1043.648656422243,13,0.9999997764081066,104.3061160363932,0.06687625185171284,0.0,22,0.007385585252064549,0.22095759747061972,0.532537297875335,0.007584673394123364,,4167,0.4482758620689655,29,-0.27214680583086664,,,0.0,,0,15.599574833340931,14.0,15.599574833340931,0.3168761959537395,48,,,0.0,0.0,0.0,3830,49,48.19915360584855,a09a35458c702b33eeacc393d103063234e8bc28,56926
pilot-commercial-autonomous_fixed_comm-n08-s1103-paired_nominal_v5,pilot,commercial,autonomous_fixed_comm,reliable-nominal-p0.5-o0.5,1103,complete,41.050675213336945,,False,Pre-freeze privacy audit found evaluator-only consensus error and global interaction entropy in actor features; interrupted after 16 published rows and retained only as an engineering diagnostic.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,-1.1368683772161603e-13,883.5085340560679,15,0.9999999692843736,94.82020316378703,0.1804348010734146,0.0,24,0.020524310537956426,0.22095759747061972,0.5809464688889336,0.007584673394123364,,4597,0.39473684210526316,38,-0.12080189069239265,,,1.0,,0,13.127428558981183,14.0,13.127428558981183,0.4175226721468651,61,,,14.93877438403314,1.0,0.0,3000,61,40.951163575053215,a09a35458c702b33eeacc393d103063234e8bc28,75688
pilot-commercial-autonomous_no_comm-n08-s1101-final_nominal_v3,pilot,commercial,autonomous_no_comm,reliable-nominal-p0.5-o0.5,1101,complete,29.106215342879295,,False,Pre-freeze action-dependent RNG coupling invalidated paired treatment inference; retained for planner behavior and throughput only.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,-2.2737367544323206e-13,1028.8538209462333,0,0.9999999658905712,110.5080052153483,0.1712232628934799,0.0,0,0.021228770173237304,0.22095759747061972,0.5935338709186266,0.007584673394123364,,0,0.0,0,0.027579308354523602,,,1.0,,0,13.24993902129844,14.0,13.24993902129844,0.41029898352065536,41,,,14.566279741146015,1.0,0.0,2674,41,29.049518946558237,a09a35458c702b33eeacc393d103063234e8bc28,44809
pilot-commercial-autonomous_no_comm-n08-s1101-paired_nominal_v5,pilot,commercial,autonomous_no_comm,reliable-nominal-p0.5-o0.5,1101,complete,32.739522598683834,,False,Pre-freeze privacy audit found evaluator-only consensus error and global interaction entropy in actor features; interrupted after 16 published rows and retained only as an engineering diagnostic.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,-2.2737367544323206e-13,454.6568470088707,0,0.9999999975235173,48.323494689486466,0.6354514256426264,0.0,0,0.07769693225478375,0.22095759747061972,0.8064999738376728,0.006387093384524939,,0,0.0,0,0.5476021034151356,,,1.0,,0,6.512324421035387,1.0,6.512324421035387,0.8152227042135293,52,,,93.09314192471435,1.0,0.0,2407,52,32.65718400478363,a09a35458c702b33eeacc393d103063234e8bc28,63751
pilot-commercial-autonomous_no_comm-n08-s1101-paired_nominal_v6,pilot,commercial,autonomous_no_comm,reliable-nominal-p0.5-o0.5,1101,complete,32.763678435236216,,False,Pre-freeze factorial audit found that private-information severity changed true marginal costs and local forecast noise; interrupted after 13 published rows before outcome comparison and retained only as an engineering diagnostic.,reliable-nominal-p0.5-o0.5,,0.0,,,0,,0,0.0,0,-2.2737367544323206e-13,454.6568470088707,0,0.9999999975235173,48.323494689486466,0.6354514256426264,0.0,0,0.07769693225478375,0.22095759747061972,0.8064999738376728,0.006471549739188858,,0,0.0,0,0.5476021034151356,,,1.0,,0,6.512324421035387,1.0,6.512324421035387,0.8152227042135293,52,,,93.09314192471435,1.0,0.0,2407,52,32.66422571986914,a09a35458c702b33eeacc393d103063234e8bc28,63751
