application,operational_entropy_regime,interaction_entropy_regime,n_timepoints,mean_service_loss,mean_free_energy_gap,operational_threshold_nominal_75pct,interaction_threshold_nominal_75pct
commercial,high,broad,319,0.8205363084548899,0.2598739204294656,0.6093946114275058,0.9531113934563796
commercial,high,concentrated,3133,0.8077907441974358,0.25830990116518915,0.6093946114275058,0.9531113934563796
commercial,low,broad,1923,0.7756976679819343,0.2919380545063814,0.6093946114275058,0.9531113934563796
commercial,low,concentrated,4945,0.577980330085351,0.2830446190447807,0.6093946114275058,0.9531113934563796
humanitarian,high,broad,534,0.8832398858084267,0.2561505008680044,0.6093946114275058,0.9531113934563796
humanitarian,high,concentrated,3410,0.7422335161186988,0.247058555840451,0.6093946114275058,0.9531113934563796
humanitarian,low,broad,2157,0.7959074189297726,0.29815212495061444,0.6093946114275058,0.9531113934563796
humanitarian,low,concentrated,4219,0.633910582968761,0.2913036978997351,0.6093946114275058,0.9531113934563796
