run_id,application,method,scenario_name,signal,disruption_step,detection_step,detection_delay,visible_collapse_step,detection_lead_before_collapse,detected_before_collapse
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_free_energy,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,absolute_free_energy_deviation,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_entropy,7,,,7.0,,False
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_energy,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,distributed_free_energy_mean,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,interaction_entropy,7,,,7.0,,False
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_energy_sensitivity_backlog_service_heavy,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_energy_sensitivity_balanced,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_energy_sensitivity_delay_commitment_heavy,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_free_energy_sensitivity_backlog_service_heavy,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_free_energy_sensitivity_balanced,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_compound,commercial,autonomous_fixed_comm,unseen_compound,exact_free_energy_sensitivity_delay_commitment_heavy,7,7.0,0.0,7.0,0.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_correlated_partition,commercial,autonomous_fixed_comm,unseen_correlated_partition,exact_free_energy,7,7.0,0.0,8.0,1.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_correlated_partition,commercial,autonomous_fixed_comm,unseen_correlated_partition,absolute_free_energy_deviation,7,7.0,0.0,8.0,1.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_correlated_partition,commercial,autonomous_fixed_comm,unseen_correlated_partition,exact_entropy,7,,,8.0,,False
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_correlated_partition,commercial,autonomous_fixed_comm,unseen_correlated_partition,exact_energy,7,7.0,0.0,8.0,1.0,True
holdout-commercial-autonomous_fixed_comm-n09-s4101-unseen_correlated_partition,commercial,autonomous_fixed_comm,unseen_correlated_partition,distributed_free_energy_mean,7,7.0,0.0,8.0,1.0,True
