run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,information_condition,sketch_policy,environment_seed,controller,step,agent_id,target,proposed_operational_action,information_action,communication_action,delegation_action,accepted_physical_action,counterfactual_evaluated,counterfactual_causal_utility,counterfactual_beneficial,counterfactual_harmful,predictive_uncertainty,action_value_margin,severity,safety_risk,resource_scarcity,shannon_local,pooled_uncertainty,js_disagreement,jt_disagreement_0_5,jt_disagreement_2,graph_disagreement,consensus,consensus_residual,entropy_slope,disagreement_slope,risk_kpi_confidence,risk_predictive_uncertainty,risk_shannon_js,risk_generalized_tsallis_gini,risk_graph_disagreement,risk_combined_generalized_entropic
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-42-local_authority,H06,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6043419288319476,0.19227207057129245,0.295230926353568,0.45760793584803044,0.0,0.8952084087371026,0.9037131087751061,0.005827809339620127,0.004851185697135052,0.003943131510399489,0.026077693242444574,0.9941721906603799,0.5666666666666667,-0.031186125510197393,0.005821643427210921,0.3767021604063895,0.6043419288319476,0.4736978067925229,0.5226479271655642,0.4067950371712671,0.32657875778354917
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-43-assessment,H09,cancel_risky_dispatch,request_peer_evidence,send_targeted_summary,execute_autonomously,True,False,0.0,False,False,0.7893950027045036,0.01458067574360336,0.0,0.0,0.0,0.9916499193492507,0.9916499193492507,0.0,0.0,0.0,0.0,1.0,0.8,0.04091793849564118,0.0,0.32979430091953127,0.7893950027045036,0.5636704809191142,0.613950422924151,0.4915459011358915,0.32503060075726103
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-44-clinic,H02,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6832032433919281,0.04527794352660647,0.04738785699366839,0.07345117834018601,0.0,0.9005380451021905,0.9005380451021905,0.0,0.0,0.0,0.0,1.0,0.8,-0.026258335531956112,0.0,0.3113173855549002,0.6832032433919281,0.4984158086323189,0.552623459341758,0.4469453622246098,0.30411104955056223
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-45-shelter,H05,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6296531039813685,0.1360801092537119,0.02732480498498883,0.04235344772673269,0.0,0.8989611243915249,0.8989615050955223,5.111723905271148e-07,3.9094573556219814e-07,3.7553960463565517e-07,0.021388341736385708,0.9999994888276095,0.725,0.021707032763975675,-1.3688405563483386e-05,0.28564688280808115,0.6296531039813685,0.4766022383317754,0.5278039794964843,0.441964583111481,0.29119089891931926
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-46-depot,H08,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.7365664267472256,0.09344942724686947,0.0,0.0,0.0,0.9705744268061132,0.9705744268061132,0.0,0.0,0.0,0.0,1.0,0.8,0.11691300572689023,0.0,0.31183258509405676,0.7365664267472256,0.5372701774004185,0.5884625952024609,0.46935789923383475,0.31023859948922317
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-47-hub,H01,redirect_vehicle,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6542636312296726,0.052032340469863436,0.0,0.0,0.0,0.8714247224161037,0.8714247224161037,0.0,0.0,0.0,0.0,1.0,0.8,0.022160118139814333,0.0,0.2838496346180887,0.6542636312296726,0.47956163309589495,0.5338709929458175,0.4347907251164625,0.28719381674430833
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-48-ngo,H04,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.5307048100925835,0.22276126361404613,0.0,0.0,0.0,0.7789467445097353,0.7799287859808788,0.0006182678906659911,0.000712789856176399,0.00028991741708639385,0.06344535414258916,0.999381732109334,0.3875,-0.09178200264066239,-0.004392309135898498,0.2418396354314784,0.5307048100925835,0.4078841852113997,0.461908787620539,0.3968329585356206,0.245650699065475
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-49-transport,H07,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.5488412006145872,0.2521739074253391,0.0,0.0,0.0,0.8523633263633804,0.8523633263633804,0.0,0.0,0.0,0.0,1.0,0.8,-0.08262917297337646,0.0,0.24800600820895963,0.5488412006145872,0.43262731183668,0.480657925773157,0.39051330425812664,0.25767553617208444
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-50-local_authority,H00,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6409777362528646,0.15044821583192847,0.0,0.0,0.0,0.9097023189935265,0.9079610248052397,0.004712320002417836,0.004186907896844949,0.003143729263495487,0.03020456700099194,0.9952876799975822,0.7916666666666666,-0.002479921463641066,-0.0006153871366544328,0.279332430325974,0.6409777362528646,0.4904139222529124,0.5418133244591647,0.4734549244010442,0.3085624957925748
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-51-assessment,H03,cancel_risky_dispatch,request_peer_evidence,send_targeted_summary,execute_autonomously,True,False,0.0,False,False,0.7360253556111948,0.049183470645408345,0.013499114454985441,0.020923627405227435,0.0,0.9508748740910399,0.9508748740910399,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,-0.017724222927918976,0.0,0.3166702914850609,0.7360253556111948,0.5321288607672379,0.5845659895306932,0.47579731602336844,0.3169312681930952
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,80,HUM-00-ngo,H10,release_emergency_reserve,request_peer_evidence,negotiate_commitment,execute_autonomously,False,False,0.0,False,False,0.6496773216127105,0.12108965454527804,0.6678912347406175,0.2947400753998279,1.0,0.9185810586145424,0.9210717506742013,0.0026878718253829925,0.002229220146789501,0.0017034661464032652,0.018806578024259113,0.997312128174617,0.7916666666666666,0.0964087275974782,0.0014791795602318025,0.5730279074442802,0.6496773216127105,0.493279213854256,0.5437170487001559,0.45978380700754556,0.3373928780396576
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,80,HUM-01-transport,H13,allocate_shipment,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.8065120505682118,0.2574538453581344,0.469295002415474,0.0,1.0,0.8468205779215963,0.8468205779215963,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.04653853142120845,0.0,0.5556140971931921,0.8065120505682118,0.5343099647076839,0.5831410225332678,0.5054017279053156,0.33415670749243265
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,80,HUM-02-local_authority,H16,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6334804791198161,0.051372025489534234,0.823609875624264,0.5358399353928498,1.0,0.8279047964160736,0.8364903745675014,0.004512791036828556,0.0043553462793533,0.0029201395313958045,0.019147209386836672,0.9954872089631714,0.725,-0.06415053714876162,0.004511218272374884,0.6253849473950214,0.6334804791198161,0.46668629820350477,0.5234691910095088,0.4401655594983145,0.35751824367347573
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,80,HUM-03-assessment,H19,revise_delivery_priority,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.8542858752958672,0.3076194640194486,0.7431844566449786,0.41075395607526616,1.0,0.8541106095195552,0.8561326039195373,0.002326416501529316,0.0026343208726560263,0.0008108516045282066,0.011795920561668671,0.9976735834984707,0.725,-0.06211006080471149,0.002160661398456276,0.6704381470586588,0.8542858752958672,0.5584989856003767,0.6075649361259676,0.5217298668780006,0.3949437366784126
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,80,HUM-04-clinic,H12,revise_delivery_priority,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.7907337361553508,0.1751882439915774,0.5858902268301354,0.16748828979718755,1.0,0.8886364813266074,0.8886364813266074,0.0,2.220446049250313e-16,0.0,0.0,1.0,0.8,0.022100777575401076,0.0,0.5904466598441444,0.7907337361553508,0.5384526147937923,0.5901617677643078,0.49210816918524736,0.3455040408991608
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,80,HUM-05-shelter,H15,revise_delivery_priority,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.8334000763627868,0.2210765526452586,1.0,0.8145417605389829,1.0,0.9006924210657316,0.9006924210657316,0.0,0.0,0.0,0.0,1.0,0.8,-0.00870699718424417,0.0,0.7602460484927034,0.8334000763627868,0.5585331358115476,0.6089138819625471,0.5100280320723705,0.4350970326462582
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,80,HUM-06-depot,H18,release_emergency_reserve,request_peer_evidence,negotiate_commitment,execute_autonomously,False,False,0.0,False,False,0.6120921747604355,0.17721515356037715,0.7716164237325127,0.4552445391893439,1.0,0.8888963795740679,0.8888963795740679,0.0,0.0,0.0,0.0,1.0,0.8,0.1001886615739419,0.0,0.5987700288239907,0.6120921747604355,0.4670609647976912,0.5183676777668726,0.41707871339938296,0.33001515363564327
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,80,HUM-07-hub,H11,release_emergency_reserve,request_peer_evidence,negotiate_commitment,execute_autonomously,False,False,0.0,False,False,0.5616842982046656,0.14534919034908034,0.9064963421114577,0.6651770182929911,1.0,0.7650616662127497,0.773696746026618,0.004361657138917341,0.004945475232919994,0.002427080741995158,0.023130603403601735,0.9956383428610827,0.725,-0.16695696995994913,0.004230908523606636,0.6320151457799041,0.5616842982046656,0.422045455829538,0.481682610640908,0.4160659224194342,0.35547212289642816
