rl_seed,episode,application,complexity,environment_seed,scheduler,transitions,mean_transition_reward,service_loss,harmful_actions,beneficial_actions,accepted_physical_actions,action_diversity,delegation_execute_autonomously,delegation_defer,delegation_abstain,delegation_escalate_operator,actor_loss,critic_loss,policy_entropy,gradient_norm_before_clip
88101,1,humanitarian,small,89010100,always_on,120,0.045548142730486865,1488.104427714801,9,6,15,4,15,65,22,18,-0.0027498697633319283,0.5110469903084948,0.816597405057053,4.15210693260575
88101,2,utility_restoration,small,89010101,generalized_information,120,0.008042576207403012,272.0385918774375,6,5,16,4,16,70,20,14,-0.0016396271391522369,0.2888220600629211,0.6881518003237671,1.2828205244474906
88101,3,humanitarian,medium,89010102,kpi_change,420,0.10082387466715592,27690.906140772167,37,36,75,4,85,226,52,57,-0.0004774503054513245,2.0775580342201607,0.8702833162199589,3.5770920164879367
88101,4,utility_restoration,small,89010103,periodic,120,0.022305570581624183,137.65222988612004,0,6,8,4,8,97,8,7,-0.0013017207667377609,0.1243154580044675,0.39002354520408483,1.0243770879390697
88101,5,humanitarian,small,89010104,none,120,0.16109393154526738,1874.2371356534338,7,11,19,4,19,74,13,14,-0.00157859469857519,1.7847756389149458,0.7128536710799868,5.371400316894555
88101,6,utility_restoration,medium,89010105,always_on,420,0.014458602871638998,905.683967349556,2,17,25,4,30,327,31,32,-0.0012103618491486265,0.13351964893435622,0.3963927846143954,0.7953626182718052
