candidate_name,application,method,panels,mean_sketch_bytes,mean_fully_counted_bytes,mean_sketch_byte_reduction,mean_fully_counted_byte_reduction,mean_message_reduction,mean_estimation_error,mean_estimation_error_increase,mean_disagreement_error,mean_disagreement_error_increase,mean_detection_delay_increase,maximum_pointwise_p95,maximum_pointwise_p95_increase,mean_service_loss_increase,mean_harmful_action_increase,mean_reward_degradation,mean_activation_rate
always_on_fp16,humanitarian,always_on,4,503970.0,590082.75,0.0,0.0,0.0,0.07300854346870655,0.0,0.07014113559300278,0.0,0.0,0.169845425248645,0.0,0.0,0.0,0.0,1.0
always_on_fp16,utility_restoration,always_on,4,465520.0,522803.25,0.0,0.0,0.0,0.06775146206726443,0.0,0.06312216332011736,0.0,0.0,0.1461798044321343,0.0,0.0,0.0,0.0,1.0
aoi_18,humanitarian,age_of_information,4,289850.0,375979.5,0.4275717364573569,0.3510243994224589,0.4275717364573569,0.07644997797401828,0.003441434505311751,0.07256061011506654,0.002419474522063765,-0.2219827586206896,0.1736642655052669,0.003818840256621908,-478.9945415277554,-0.25,-0.10835970331652822,0.5375
aoi_18,utility_restoration,age_of_information,4,274300.0,331414.75,0.42539223373141366,0.3569172392109672,0.42539223373141366,0.06903722111396082,0.0012857590466964011,0.0654589406349337,0.00233677731481635,-0.16346153846153832,0.1574128609913008,0.01123305655916651,0.0,-1.5,-0.006556863790181451,0.5375
aoi_30,humanitarian,age_of_information,4,252960.0,339025.75,0.5693900383727281,0.4631302826891266,0.5693900383727281,0.08115942296243409,0.008150879493727548,0.07215001878797692,0.002008883194974123,0.08405172413793105,0.1811340823183668,0.01128865706972182,-407.4752799072041,-0.5,-0.06607470632644974,0.3875
aoi_30,utility_restoration,age_of_information,4,243660.0,300890.75,0.5686853261641245,0.4738758168384722,0.5686853261641245,0.07219537899376789,0.004443916926503474,0.06586994680433478,0.00274778348421742,0.06730769230769235,0.1712120774845461,0.02503227305241179,2.44457916780307,-0.5,0.005877725722211485,0.39017857142857143
generalized_008,humanitarian,generalized_information,4,493380.0,579428.75,0.055846249496866396,0.050302971505281485,0.055846249496866396,0.07268691746779637,-0.0003216260009101732,0.06993089373958775,-0.00021024185341502952,0.0,0.169845425248645,0.0,0.0,-0.25,-0.0007843137254901489,0.9426167582417582
generalized_008,utility_restoration,generalized_information,4,456430.0,513649.75,0.08873059084616519,0.07352480318553092,0.08873059084616519,0.06812582474070197,0.00037436267343755013,0.06367548477074123,0.000553321450623874,0.0,0.1481696429797887,0.0019898385476544156,0.0,0.0,-0.0001245255661108738,0.9130952380952381
generalized_014,humanitarian,generalized_information,4,360350.0,446514.0,0.3061077784952767,0.2480526330900538,0.3061077784952767,0.073047665318204,3.912184949745462e-05,0.06976052927312568,-0.0003806063198771026,-0.10344827586206895,0.169845425248645,0.0012734340168533975,-553.6612236275405,-0.75,-0.11052303964135657,0.6808264652014653
generalized_014,utility_restoration,generalized_information,4,325970.0,382956.5,0.3601667873877059,0.30084852143892216,0.3601667873877059,0.06913627618262808,0.0013848141153636508,0.06371304389825559,0.0005908805781382458,-0.04807692307692307,0.1655862554434035,0.0194064510112692,0.6710887065676445,-1.5,-0.010471534236932332,0.6250915750915751
js_003,humanitarian,js_drift,4,436770.0,522879.75,0.1275888766956195,0.10756321158618279,0.1275888766956195,0.07310244935216295,9.390588345640008e-05,0.07045111553004177,0.00030997993703899343,0.09482758620689652,0.169845425248645,0.0008268075884680925,-519.2619738008525,-0.25,-0.08902937403790845,0.8710966117216117
js_003,utility_restoration,js_drift,4,412430.0,469702.5,0.15408071852854896,0.1286693981142182,0.15408071852854896,0.0683107748044472,0.0005593127371827759,0.06317376522672093,5.1601906603571807e-05,0.0,0.1481696429797887,0.0019898385476544156,0.0,-0.25,0.0006158987656213685,0.8515567765567766
js_007,humanitarian,js_drift,4,348160.0,434214.25,0.32531261994415994,0.2621894061155513,0.32531261994415994,0.07330120771213278,0.00029266424342622513,0.07070422765557398,0.0005630920625711959,-0.10344827586206895,0.169845425248645,0.001014844351107408,-543.3348284363465,-0.25,-0.08394814147576057,0.6661858974358974
