encoding,episodes,mean_sketch_bytes,mean_quantization_l1_error,mean_estimation_error
fp16,2,89560.0,3.594223067358112e-05,0.06818027615663344
fp32,2,116428.0,4.420362954693284e-09,0.06818031651199186
uint8_simplex,2,76126.0,0.00170938024711765,0.06817370709942
