model_key,cluster_id,persistent_mean_prompt_tokens,scrambled_mean_prompt_tokens,persistent_minus_scrambled_mean_prompt_tokens,persistent_mean_memory_entries,scrambled_mean_memory_entries
granite,V15G_g0,667.1652777777778,663.4388888888889,3.7263888888888914,2.8666666666666667,2.8666666666666667
granite,V15G_g1,664.5041666666667,660.725,3.779166666666697,2.8666666666666667,2.8666666666666667
granite,V15G_g2,664.8277777777778,661.0041666666667,3.823611111111063,2.8666666666666667,2.8666666666666667
granite,V15G_g3,665.0472222222222,661.5986111111112,3.448611111111063,2.8666666666666667,2.8666666666666667
granite,V15G_g4,666.3791666666667,662.9666666666667,3.4125000000000227,2.8666666666666667,2.8666666666666667
granite,V15G_g5,666.2694444444444,662.1986111111111,4.070833333333326,2.8666666666666667,2.8666666666666667
qwen,V15Q_g0,605.6833333333333,602.7222222222222,2.9611111111111086,2.8666666666666667,2.8666666666666667
qwen,V15Q_g1,605.05,602.6625,2.387499999999932,2.8666666666666667,2.8666666666666667
qwen,V15Q_g2,605.8736111111111,601.9430555555556,3.930555555555543,2.8666666666666667,2.8666666666666667
qwen,V15Q_g3,604.2736111111111,602.1902777777777,2.0833333333333712,2.8666666666666667,2.8666666666666667
qwen,V15Q_g4,604.0236111111111,602.2416666666667,1.7819444444444343,2.8666666666666667,2.8666666666666667
qwen,V15Q_g5,603.9069444444444,601.6972222222222,2.20972222222224,2.8666666666666667,2.8666666666666667
