cluster_id,disruption,sweep,phase,reference_energy_per_agent,configuration_entropy,macrostate_distance
V14Q_g0,nominal,1,baseline,-0.9166666666666666,1.574679441748109,7.851524119130199
V14Q_g0,nominal,2,baseline,-0.9645833333333336,1.5973827307872297,7.982955450224765
V14Q_g0,nominal,3,baseline,-1.2854166666666669,1.9387880267997528,6.460332718996906
V14Q_g0,nominal,4,baseline,-1.6062500000000002,2.0890023535876865,5.655853273251456
V14Q_g0,nominal,5,baseline,-1.6625,2.136632444435232,4.711957249254412
V14Q_g0,nominal,6,baseline,-1.6625,1.6909512315202695,3.766747576331797
V14Q_g0,nominal,7,baseline,-1.6625,1.2921238301054232,2.58321688959467
V14Q_g0,nominal,8,baseline,-1.6625,0.7774621319109287,1.700121616775315
V14Q_g0,nominal,9,baseline,-1.6625,0.3517104788493895,1.3298085818558218
V14Q_g0,nominal,10,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,11,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,12,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,13,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,14,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,15,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,16,disruption,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,17,disruption,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,18,disruption,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,19,disruption,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,20,disruption,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,21,disruption,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,22,disruption,-1.6062500000000002,0.4637264398194103,3.016328764229616
V14Q_g0,nominal,23,disruption,-1.6625,0.6393632996691399,1.5844258438325256
V14Q_g0,nominal,24,disruption,-1.74375,0.9411896287920524,3.624045022496501
V14Q_g0,nominal,25,disruption,-1.6625,1.063883269969165,2.328024781085736
V14Q_g0,nominal,26,disruption,-1.6625,1.063883269969165,2.328024781085736
V14Q_g0,nominal,27,disruption,-1.6625,0.931148785966986,2.005341547263016
V14Q_g0,nominal,28,disruption,-1.6625,0.5331638407372986,1.4196041021736574
V14Q_g0,nominal,29,disruption,-1.6625,0.3517104788493895,1.2801092944146488
V14Q_g0,nominal,30,disruption,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,31,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,32,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,33,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,34,recovery,-1.6062500000000002,0.4003991744489694,3.0197714644891622
V14Q_g0,nominal,35,recovery,-1.6625,0.4003991744489694,1.3237729582779023
V14Q_g0,nominal,36,recovery,-1.6625,0.4003991744489694,1.3237729582779023
V14Q_g0,nominal,37,recovery,-1.6625,0.4003991744489694,1.3237729582779023
V14Q_g0,nominal,38,recovery,-1.6625,0.4003991744489694,1.3237729582779023
V14Q_g0,nominal,39,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,40,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,41,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,42,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,43,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,44,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,nominal,45,recovery,-1.6625,-0.0,1.47294826499023
V14Q_g0,field_reversal,1,baseline,-0.9166666666666666,1.574679441748109,7.851524119130199
V14Q_g0,field_reversal,2,baseline,-0.9645833333333336,1.5973827307872297,7.982955450224765
V14Q_g0,field_reversal,3,baseline,-1.2854166666666669,1.9387880267997528,6.460332718996906
V14Q_g0,field_reversal,4,baseline,-1.6062500000000002,2.0890023535876865,5.655853273251456
V14Q_g0,field_reversal,5,baseline,-1.6625,2.136632444435232,4.711957249254412
V14Q_g0,field_reversal,6,baseline,-1.6625,1.6909512315202695,3.766747576331797
V14Q_g0,field_reversal,7,baseline,-1.6625,1.2921238301054232,2.58321688959467
V14Q_g0,field_reversal,8,baseline,-1.6625,0.7774621319109287,1.700121616775315
V14Q_g0,field_reversal,9,baseline,-1.6625,0.3517104788493895,1.3298085818558218
V14Q_g0,field_reversal,10,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,field_reversal,11,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,field_reversal,12,baseline,-1.6625,-0.0,1.47294826499023
V14Q_g0,field_reversal,13,baseline,-1.6625,-0.0,1.47294826499023
