model_key,cluster_id,panel_id,condition,block_length,pseudocount,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,shuffle_floor_median_nats_per_update,shuffle_floor_null_ci_low,shuffle_floor_null_ci_high,shuffle_floor_null_sd,shuffle_floor_monte_carlo_se,shuffle_floor_mean_mc_ci_low,shuffle_floor_mean_mc_ci_high,shuffle_replicates,adjusted_irreversibility_nats_per_update,analysis_role
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,0.1,0.039793587710663,0.0692157284467037,0.0676280438840629,0.0404931828924783,0.1029533780099174,0.0171773549692036,0.0007681946676956,0.0677100668980202,0.0707213899953872,500.0,-0.0294221407360406,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,0.5,0.0178273799378192,0.0357446548897842,0.0346495635345922,0.0210918329969134,0.0535303182429614,0.0087077763307544,0.0003894235961686,0.0349813846412937,0.0365079251382747,500.0,-0.0179172749519649,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,2,1.0,0.0109444291667359,0.023918589063807,0.0236240055035326,0.0122933738844016,0.0378904867027436,0.0064183196079562,0.0002870359788941,0.0233559985451744,0.0244811795824397,500.0,-0.0129741598970711,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,0.1,0.0364170205726661,0.0954056106269409,0.0948277678962098,0.0671592989855672,0.1255511929953304,0.0154905640608395,0.000692759084997,0.0940478028203467,0.0967634184335351,500.0,-0.0589885900542748,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,0.5,0.0161237293867234,0.0454720150192784,0.0449638227252019,0.0315929358872699,0.0616404809863848,0.0078781614968738,0.0003523220928946,0.0447814637172049,0.0461625663213519,500.0,-0.029348285632555,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,3,1.0,0.0097626363459147,0.0279204526463285,0.0273872726731806,0.0200737004271619,0.0382265358955498,0.0047570439352676,0.0002127414722242,0.027503479360769,0.028337425931888,500.0,-0.0181578163004137,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,0.1,0.0330652960948479,0.1190438266996513,0.1186098112706128,0.0952506947076928,0.1466058506117707,0.0136336577138184,0.0006097157086012,0.1178487839107929,0.1202388694885098,500.0,-0.0859785306048034,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,0.5,0.0144935658135634,0.0526207489519532,0.0524801249412827,0.0414388396400872,0.065993156174697,0.0064681989221056,0.0002892666496363,0.0520537863186659,0.0531877115852405,500.0,-0.0381271831383897,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,4,1.0,0.0086751837366701,0.0308681492319403,0.0305328302581051,0.023991868918434,0.0404219081203426,0.0038068168893353,0.0001702460268489,0.0305344670193164,0.0312018314445643,500.0,-0.0221929654952702,post_reconstruction_floor_uncertainty_audit
qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,2,0.1,0.1197508123083797,0.1646939733343505,0.1638095928071929,0.116901238674429,0.2189016631761936,0.0267085268359945,0.0011944416316832,0.1623528677362514,0.1670350789324496,500.0,-0.0449431610259708,post_reconstruction_floor_uncertainty_audit
