source,sweep,phase,independent_clusters,bootstrap_replicates,belief,belief_ci_low,belief_ci_high,action,action_ci_low,action_ci_high,overlap,overlap_ci_low,overlap_ci_high,energy,energy_ci_low,energy_ci_high,entropy,entropy_ci_low,entropy_ci_high,susceptibility,susceptibility_ci_low,susceptibility_ci_high,correlation_time,correlation_time_ci_low,correlation_time_ci_high,response,response_ci_low,response_ci_high
Direct Qwen,1,baseline,6,10000,0.020833333333333332,-0.041666666666666664,0.08333333333333333,0.10416666666666667,-0.10416666666666667,0.2708333333333333,0.5416666666666666,0.4375,0.6458333333333334,-1.015625,-1.2118055555555556,-0.8298611111111113,1.7724386705346689,1.6166944530674858,1.9374564578797238,0.06927083333333328,0.058159722222222175,0.08315972222222219,2.9452603349472106,2.3022322331849314,3.800091429778305,5.158316052727371,3.826616594097558,6.554855735804533
Direct Qwen,2,baseline,6,10000,-0.0625,-0.14583333333333334,0.041666666666666664,0.0,-0.10416666666666667,0.125,0.8125,0.7708333333333334,0.8541666666666666,-1.2520833333333334,-1.4125000000000003,-1.1006944444444446,1.9518316909109632,1.7678733783666802,2.147885867250275,0.0667422715053763,0.04909904233870963,0.08854166666666663,4.723211671502367,3.652161984948185,5.453754961622546,3.362735522311238,2.627578321205623,3.9850474558895903
Direct Qwen,3,baseline,6,10000,0.0,-0.08333333333333333,0.10416666666666667,0.041666666666666664,-0.041666666666666664,0.10416666666666667,0.9166666666666666,0.875,0.9583333333333334,-1.5208333333333333,-1.6156250000000003,-1.4076388888888889,2.1302574773362912,1.9560397681363664,2.3706283399278227,0.10625369385342788,0.0737662529550827,0.14406028368794324,7.975564875610286,6.704516997729701,9.744036722029609,2.6922467514435606,2.003436545381498,3.5026312158585635
Direct Qwen,4,baseline,6,10000,0.0,-0.08333333333333333,0.08333333333333333,0.0,-0.0625,0.0625,0.9583333333333334,0.9166666666666666,1.0,-1.6833333333333336,-1.8059027777777779,-1.574652777777778,2.2006591353595097,2.0197128774305866,2.4181538483946783,0.11551339285714281,0.07530381944444438,0.1606936177248677,10.320785759737008,6.578702753460392,15.065794252623695,2.561712328287355,2.027958981196779,3.1567108885241084
Direct Qwen,5,baseline,6,10000,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.0,0.08333333333333333,0.9583333333333334,0.9166666666666666,1.0,-1.6694444444444443,-1.8010416666666667,-1.5489583333333332,2.1395681892813374,2.008401169712442,2.2846229242785157,0.1307357594936708,0.0738330696202531,0.2093815928270042,13.444383047937945,8.922077553104037,18.13207447352296,2.4674954901837105,1.6562235036803339,3.68218186996932
Direct Qwen,6,baseline,6,10000,0.020833333333333332,-0.041666666666666664,0.08333333333333333,0.020833333333333332,0.0,0.0625,0.9583333333333334,0.9166666666666666,1.0,-1.6927083333333333,-1.8027777777777778,-1.5857638888888888,1.5868785882959795,1.4675095105817288,1.6992916198290924,0.11027162447257381,0.06670622362869197,0.17302215189873413,13.674958836141665,10.4767014189854,16.84803403515215,2.1585176716289847,1.5245416330216173,2.883028448815113
Direct Qwen,7,baseline,6,10000,0.020833333333333332,0.0,0.0625,0.041666666666666664,0.0,0.08333333333333333,0.9791666666666666,0.9375,1.0,-1.7138888888888888,-1.8149305555555557,-1.629166666666667,1.1433627721629567,1.0289433011221238,1.2465524488142212,0.08698575949367084,0.05281513713080166,0.13113132911392403,15.079169041657401,12.319529453710322,17.892969071408938,1.529439982581794,1.0281045591649793,2.0387409469829607
Direct Qwen,8,baseline,6,10000,-0.020833333333333332,-0.0625,0.0,0.0,0.0,0.0,0.9791666666666666,0.9375,1.0,-1.732638888888889,-1.8243055555555554,-1.6638888888888888,0.7071019156144641,0.6472573897230746,0.7682574642968781,0.05230748945147675,0.0351991033755274,0.07629219409282693,12.602295187514741,9.092320078818592,16.11227029621089,1.2629582114622746,0.88975939140616,1.700388496694497
Direct Qwen,9,baseline,6,10000,-0.041666666666666664,-0.08333333333333333,0.0,-0.041666666666666664,-0.08333333333333333,0.0,1.0,1.0,1.0,-1.7354166666666666,-1.8270833333333334,-1.6572916666666666,0.5586086227660295,0.28611577911769176,0.8459953665962989,0.05299314345991559,0.023602320675105468,0.08336629746835439,11.955583284713262,6.076822137515382,18.23391189887541,1.8408732730106347,1.3430807514088665,2.3441240559636864
Direct Qwen,10,baseline,6,10000,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.0,0.0625,1.0,1.0,1.0,-1.7677083333333332,-1.859375,-1.6760416666666664,0.5175435960601105,0.1753158695289335,0.8755143627403096,0.04007779535864974,0.013732858649789001,0.06985100210970459,10.557622069298594,4.226574388088077,17.222986672797663,1.605251928878319,1.1645649511349774,2.0459389066216604
Direct Qwen,11,baseline,6,10000,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.0,0.0625,1.0,1.0,1.0,-1.7677083333333334,-1.859375,-1.6854166666666666,0.47180188266741657,0.09136350928161703,0.8763253039566461,0.04983517932489449,0.007641086497890283,0.10173391350210965,8.727247465346215,2.252458841266158,15.444308908640247,1.7590038463012057,1.219282858439868,2.2840760484764595
Direct Qwen,12,baseline,6,10000,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.0,0.0625,1.0,1.0,1.0,-1.7447916666666667,-1.8273177083333334,-1.6760416666666664,0.4636077791001237,0.0704515146343318,0.9402823720266777,0.06212420886075946,0.005379746835443033,0.1478705168776371,9.16478081930789,2.569399933037796,18.041113637185692,1.9958077032651103,1.255339430648245,2.8676500821128657
Direct Qwen,13,baseline,6,10000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.7770833333333333,-1.8687500000000001,-1.6854166666666666,0.38051824324166783,0.04945254276393913,0.880747643058069,0.04922863924050631,0.0033689345991561163,0.12817774261603374,7.748697726954074,1.924576608946716,15.787042102090306,1.9644006223900077,1.4772183931489824,2.4996768186986054
Direct Qwen,14,baseline,6,10000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.7770833333333333,-1.8687500000000001,-1.6854166666666666,0.3088691427616175,0.0,0.7857043990161888,0.02940400843881855,0.0,0.07745253164556958,5.16567711893525,1.0,10.358231490730157,1.8167012674346257,1.557486920268454,2.0751515432798784
