model_key,condition,phase,agent_i,agent_j,community_i,community_j,connected_correlation,between_cluster_sd,independent_clusters,source_type,graph_distance,metric,estimate,ci_low,ci_high,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_persistent,disruption,2.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,13.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,14.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,2.0,15.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,0.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,1.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,2.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,3.0,0.0,0.0,0.0888425925925926,0.2176190192778203,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,4.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,5.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,6.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,7.0,0.0,0.0,0.0631249999999999,0.154624040013188,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,8.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,9.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,10.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,11.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,13.0,0.0,1.0,0.0654629629629629,0.1603508563099728,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,14.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,3.0,15.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,0.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,1.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,2.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,3.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,4.0,0.0,0.0,0.0509259259259259,0.1247425331972914,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,5.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,6.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,7.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,8.0,0.0,1.0,0.0331018518518518,0.0810826465782394,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,9.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,10.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,11.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,13.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,14.0,0.0,1.0,0.0462962962962963,0.1134023029066286,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,4.0,15.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,0.0,0.0,0.0,0.0985185185185185,0.2413201005853056,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,1.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,2.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,3.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,4.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,5.0,0.0,0.0,0.1355092592592592,0.2868272814836346,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,6.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,7.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,8.0,0.0,1.0,0.0010416666666666,0.0025515518153991,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,9.0,0.0,1.0,0.109537037037037,0.2683098486770833,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,10.0,0.0,1.0,0.0146527777777777,0.0358918288699479,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,11.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,13.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,14.0,0.0,1.0,0.0638888888888888,0.1564951780111474,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,5.0,15.0,0.0,1.0,0.0857638888888889,0.2022214161690284,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,0.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,1.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,2.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,3.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,4.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
