row_type,evaluation_stage,application,run_id,scenario_name,communication_group,disruption_group,signal,true_sources,top1_prediction,top1_correct,top3_correct,n_episodes
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_holdout_diagnostic,commercial,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,local_surprisal,agency_03;depot_06;ngo_01;ngo_02;transport_04,ngo_01,True,True,
