analysis,evaluation_stage,application,model,n_episodes,n_timepoints,average_precision,roc_auc,brier_score,rmse,r_squared,spearman,calibration_bin,mean_prediction,mean_observed
disruption_classification,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,8,176,1.0,1.0,1.5245361203706572e-05,,,,,,
disruption_classification,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,8,176,1.0,1.0,0.000315442957402238,,,,,,
disruption_classification,original_holdout_diagnostic,humanitarian,multivariate_KPI_logistic,8,176,1.0,1.0,1.552914625852688e-05,,,,,,
disruption_classification,original_holdout_diagnostic,humanitarian,multivariate_KPI_plus_entropy_logistic,8,176,1.0,1.0,0.0038795379724813786,,,,,,
disruption_classification,original_main_oof,commercial,multivariate_KPI_logistic,72,1440,0.9999999999999999,1.0,0.00020475823775259643,,,,,,
disruption_classification,original_main_oof,commercial,multivariate_KPI_plus_entropy_logistic,72,1440,1.0,1.0,8.084548084057557e-05,,,,,,
disruption_classification,original_main_oof,humanitarian,multivariate_KPI_logistic,72,1440,1.0,1.0,0.0002217047638203157,,,,,,
disruption_classification,original_main_oof,humanitarian,multivariate_KPI_plus_entropy_logistic,72,1440,1.0,1.0,4.0870316985910095e-05,,,,,,
future_service_loss_regression,original_holdout_diagnostic,commercial,ordinary_KPI_plus_entropy_regression,8,176,,,,0.0187600707482649,0.9429454054546651,0.9685825526660792,,,
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_plus_entropy_regression,8,36,,,,0.02093048573286156,,,0.0,0.7743760961413781,0.7869613553589381
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_plus_entropy_regression,8,35,,,,0.023468703488441916,,,1.0,0.8952200170469261,0.9142522729916694
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_plus_entropy_regression,8,35,,,,0.015287972568346577,,,2.0,0.9404760438388422,0.9540569458689723
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_plus_entropy_regression,8,35,,,,0.017178725714712215,,,3.0,0.9517173571064445,0.9680570045488321
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_plus_entropy_regression,8,35,,,,0.01547720867678675,,,4.0,0.9603276301636661,0.9750623956168253
future_service_loss_regression,original_holdout_diagnostic,commercial,ordinary_KPI_regression,8,176,,,,0.04380641798720249,0.6889020386171156,0.9626096220899517,,,
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_regression,8,36,,,,0.041704261355012755,,,0.0,0.7481198738435334,0.7864777369748512
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_regression,8,35,,,,0.053605503608400114,,,1.0,0.865568021415197,0.9157317258946277
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_regression,8,35,,,,0.0386524181249711,,,2.0,0.9161845434032986,0.9536851042602621
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_regression,8,35,,,,0.04386945281669938,,,3.0,0.9248729094073022,0.9683045310603978
future_service_loss_calibration_bin,original_holdout_diagnostic,commercial,ordinary_KPI_regression,4,35,,,,0.03960824970241418,,,4.0,0.9347234426813833,0.9742046938632153
future_service_loss_regression,original_holdout_diagnostic,humanitarian,ordinary_KPI_plus_entropy_regression,8,176,,,,0.018303365077811752,0.9574787434489801,0.9789403883184008,,,
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_plus_entropy_regression,8,36,,,,0.03173092517729334,,,0.0,0.7578373148237636,0.7626492459517374
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_plus_entropy_regression,8,35,,,,0.015828602525920103,,,1.0,0.894140689313999,0.9079994711593908
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_plus_entropy_regression,8,35,,,,0.01292032036282766,,,2.0,0.9381145764452563,0.9491623601502807
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_plus_entropy_regression,8,35,,,,0.010878523571332174,,,3.0,0.9550116364139319,0.9650463180737769
