row_type,evaluation_stage,application,detector,run_id,scenario_name,communication_group,disruption_group,disruption_step,detection_step,detection_delay,visible_collapse_step,severe_service_loss_threshold,severe_service_loss_persistence,detection_lead_before_collapse,detected_strictly_before_collapse,false_activations_before_disruption_or_during_nominal,pre_disruption_or_nominal_timepoints,n_episodes,n_disrupted_episodes,detection_rate,false_activation_rate
episode,original_holdout_diagnostic,commercial,EWMA,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,9.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,EWMA,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,10.0,3.0,9.0,0.9,3,-1.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,EWMA,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,9.0,2.0,10.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,EWMA,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,12.0,5.0,10.0,0.9,3,-2.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,EWMA,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,9.0,2.0,10.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,EWMA,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,11.0,4.0,10.0,0.9,3,-1.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,EWMA,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,9.0,2.0,10.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,EWMA,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,12.0,5.0,10.0,0.9,3,-2.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,KPI_CUSUM,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,9.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,KPI_CUSUM,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,10.0,3.0,9.0,0.9,3,-1.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,KPI_CUSUM,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,9.0,2.0,10.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,KPI_CUSUM,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,12.0,5.0,10.0,0.9,3,-2.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,KPI_CUSUM,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,9.0,2.0,10.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,KPI_CUSUM,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,12.0,5.0,10.0,0.9,3,-2.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,KPI_CUSUM,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,9.0,2.0,10.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,KPI_CUSUM,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,12.0,5.0,10.0,0.9,3,-2.0,False,0,7,,,,
