alpha,rank,source_state,destination_state,current,absolute_current
0.5,1,0,1,0.0016802978160453948,0.0016802978160453948
0.5,2,62,63,-0.0016283881767493102,0.0016283881767493102
0.5,3,1,5,0.0013446177026445873,0.0013446177026445873
0.5,4,61,63,0.0012382696666357034,0.0012382696666357034
0.5,5,58,62,-0.0011349170903820253,0.0011349170903820253
0.5,6,5,7,0.0010212628154483239,0.0010212628154483239
0.5,7,0,2,-0.0010191947071728014,0.0010191947071728014
0.5,8,6,7,-0.000936166510929506,0.000936166510929506
0.5,9,57,61,0.0009337960978286644,0.0009337960978286644
0.5,10,54,55,-0.0009263644879648166,0.0009263644879648166
0.5,11,56,57,0.0009002825597054627,0.0009002825597054627
0.5,12,9,13,0.000874849224120622,0.000874849224120622
0.5,13,45,47,0.0008742446002918075,0.0008742446002918075
0.5,14,56,58,-0.0008466586570168867,0.0008466586570168867
0.5,15,8,9,0.0008337670875232447,0.0008337670875232447
0.5,16,2,6,-0.0007723623901299979,0.0007723623901299979
0.5,17,50,54,-0.000758083611795389,0.000758083611795389
0.5,18,16,18,-0.0007435291385041082,0.0007435291385041082
0.0,1,0,0,0.0,0.0
