stage,application,scheduler,episodes,beneficial_actions,neutral_actions,harmful_actions,harmful_action_rate,accepted_physical_actions,mean_service_loss,mean_net_causal_utility,mean_normalized_reward,operator_escalation_requests
pilots,humanitarian,age_of_information,8,459,0,646,0.5846153846153846,1132,53777.83604604525,221.93332585979994,-16.0187792135051,669
pilots,humanitarian,always_on,6,278,0,366,0.5683229813664596,659,36280.09685753048,160.9175741786136,-11.691084593414134,349
pilots,humanitarian,generalized_information,8,464,0,630,0.5758683729433273,1120,53764.949473221684,222.2607940442485,-15.9575610128211,671
pilots,humanitarian,js_drift,8,470,0,626,0.5711678832116789,1123,53753.31338469338,231.07245783108306,-15.943091092069388,670
pilots,humanitarian,kpi_change,8,462,0,633,0.5780821917808219,1124,53736.86072332571,222.4470262627968,-15.958187690559413,669
pilots,humanitarian,l1_belief_drift,8,463,0,636,0.5787079162875342,1125,53711.50861496295,221.33799413848118,-15.957575541846106,669
pilots,humanitarian,matched_random,12,699,0,954,0.5771324863883848,1691,53837.594117593224,228.79700658628815,-15.988313533320857,1007
pilots,humanitarian,none,4,231,0,316,0.5776965265082267,560,53847.2909982992,225.7552691027355,-16.003022658229533,335
pilots,humanitarian,periodic,12,696,0,960,0.5797101449275363,1694,53777.66507602392,224.57850059007356,-16.005009472848574,1006
pilots,humanitarian,predictive_uncertainty_change,8,468,0,631,0.5741583257506825,1127,53704.39266929443,225.06772531613043,-15.95097256570113,668
pilots,humanitarian,tsallis_spectrum_change,8,464,0,638,0.5789473684210527,1126,53615.22094115915,221.1661818001301,-15.975556545220284,669
pilots,humanitarian,v7_shannon_change,8,460,0,642,0.5825771324863884,1127,53803.34658459482,217.94803290353673,-16.02315218667782,671
pilots,utility_restoration,age_of_information,8,292,156,380,0.45893719806763283,832,802.970862873332,-0.008396987012927015,-0.3214248958461726,264
pilots,utility_restoration,always_on,6,176,81,201,0.4388646288209607,464,582.3511642575403,1.459138644625258,-0.28080329083288597,134
pilots,utility_restoration,generalized_information,8,291,157,382,0.4602409638554217,834,806.1761376515724,-0.10783164748917806,-0.3244400227056944,261
pilots,utility_restoration,js_drift,8,290,159,384,0.460984393757503,837,810.036708061953,-0.1898450329525796,-0.3269996598976349,264
