application,independent_panels,mean_generalized_transmitted_sketch_messages,mean_always_transmitted_sketch_messages,mean_generalized_actual_wire_bytes,mean_always_actual_wire_bytes,mean_message_reduction,mean_actual_wire_byte_reduction,mean_fully_counted_byte_reduction,mean_primary_error_increase,mean_primary_error_advantage_vs_kpi,mean_service_loss_difference_rule_policy,mean_harmful_action_count_difference_rule_policy,mean_reward_degradation_rule_policy
humanitarian,6,62406.666666666664,73110.33333333333,2121826.6666666665,2485751.3333333335,0.23961514748870372,0.23961514748870372,0.22474054032920512,-0.0003380843070660185,0.0031936696155466793,117.84719627327331,-0.3333333333333333,0.08546767664927628
utility_restoration,6,31324.833333333332,38510.5,1065044.3333333333,1309357.0,0.277526406674278,0.277526406674278,0.2293196651088988,0.00033353715415853263,-7.25829326869154e-05,-6.579593774943494,0.3333333333333333,-0.002682648644114015
