stage,application,complexity,topology_family,episodes,independent_panels,minimum_agents,maximum_agents,minimum_horizon,maximum_horizon
pilots,humanitarian,large,small_world,24,1,52,52,100,100
pilots,humanitarian,medium,modular,24,1,28,28,60,60
pilots,humanitarian,medium,random_geometric,24,1,28,28,60,60
pilots,humanitarian,small,small_world,26,1,12,12,30,30
pilots,utility_restoration,large,small_world,24,1,52,52,100,100
pilots,utility_restoration,medium,modular,24,1,28,28,60,60
pilots,utility_restoration,medium,scale_free,24,1,28,28,60,60
pilots,utility_restoration,small,grid,26,1,12,12,30,30
pilots_v2,humanitarian,large,small_world,24,1,52,52,100,100
pilots_v2,humanitarian,medium,modular,24,1,28,28,60,60
pilots_v2,humanitarian,medium,random_geometric,24,1,28,28,60,60
pilots_v2,humanitarian,small,small_world,26,1,12,12,30,30
pilots_v2,utility_restoration,large,small_world,24,1,52,52,100,100
pilots_v2,utility_restoration,medium,modular,24,1,28,28,60,60
pilots_v2,utility_restoration,medium,scale_free,24,1,28,28,60,60
pilots_v2,utility_restoration,small,grid,26,1,12,12,30,30
pilots_v3,humanitarian,large,modular,11,1,52,52,100,100
pilots_v3,humanitarian,medium,random_geometric,11,1,28,28,60,60
pilots_v3,humanitarian,medium,small_world,11,1,28,28,60,60
pilots_v3,humanitarian,small,modular,11,1,12,12,30,30
pilots_v3,utility_restoration,large,small_world,11,1,52,52,100,100
pilots_v3,utility_restoration,medium,grid,11,1,28,28,60,60
pilots_v3,utility_restoration,medium,modular,11,1,28,28,60,60
pilots_v3,utility_restoration,small,scale_free,11,1,12,12,30,30
routing_repair_pilot,utility_restoration,large,grid,8,4,52,52,100,100
hysteresis_repair_pilot,humanitarian,large,random_geometric,5,1,52,52,100,100
hysteresis_repair_pilot,humanitarian,large,small_world,5,1,52,52,100,100
hysteresis_repair_pilot,humanitarian,medium,random_geometric,5,1,28,28,60,60
hysteresis_repair_pilot,humanitarian,medium,small_world,5,1,28,28,60,60
hysteresis_repair_pilot,humanitarian,small,random_geometric,5,1,12,12,30,30
hysteresis_repair_pilot,humanitarian,small,small_world,5,1,12,12,30,30
hysteresis_repair_pilot,utility_restoration,large,grid,5,1,52,52,100,100
hysteresis_repair_pilot,utility_restoration,large,scale_free,5,1,52,52,100,100
hysteresis_repair_pilot,utility_restoration,medium,grid,5,1,28,28,60,60
hysteresis_repair_pilot,utility_restoration,medium,scale_free,5,1,28,28,60,60
hysteresis_repair_pilot,utility_restoration,small,grid,5,1,12,12,30,30
hysteresis_repair_pilot,utility_restoration,small,scale_free,5,1,12,12,30,30
hysteresis_repair_pilot_v2,humanitarian,large,random_geometric,5,1,52,52,100,100
hysteresis_repair_pilot_v2,humanitarian,large,small_world,5,1,52,52,100,100
hysteresis_repair_pilot_v2,humanitarian,medium,random_geometric,5,1,28,28,60,60
hysteresis_repair_pilot_v2,humanitarian,medium,small_world,5,1,28,28,60,60
hysteresis_repair_pilot_v2,humanitarian,small,random_geometric,5,1,12,12,30,30
hysteresis_repair_pilot_v2,humanitarian,small,small_world,5,1,12,12,30,30
hysteresis_repair_pilot_v2,utility_restoration,large,grid,5,1,52,52,100,100
hysteresis_repair_pilot_v2,utility_restoration,large,scale_free,5,1,52,52,100,100
hysteresis_repair_pilot_v2,utility_restoration,medium,grid,5,1,28,28,60,60
hysteresis_repair_pilot_v2,utility_restoration,medium,scale_free,5,1,28,28,60,60
hysteresis_repair_pilot_v2,utility_restoration,small,grid,5,1,12,12,30,30
hysteresis_repair_pilot_v2,utility_restoration,small,scale_free,5,1,12,12,30,30
hysteresis_repair_pilot_v3,humanitarian,large,random_geometric,5,1,52,52,100,100
hysteresis_repair_pilot_v3,humanitarian,large,small_world,5,1,52,52,100,100
hysteresis_repair_pilot_v3,humanitarian,medium,random_geometric,5,1,28,28,60,60
hysteresis_repair_pilot_v3,humanitarian,medium,small_world,5,1,28,28,60,60
hysteresis_repair_pilot_v3,humanitarian,small,random_geometric,5,1,12,12,30,30
hysteresis_repair_pilot_v3,humanitarian,small,small_world,5,1,12,12,30,30
hysteresis_repair_pilot_v3,utility_restoration,large,grid,5,1,52,52,100,100
hysteresis_repair_pilot_v3,utility_restoration,large,scale_free,5,1,52,52,100,100
hysteresis_repair_pilot_v3,utility_restoration,medium,grid,5,1,28,28,60,60
hysteresis_repair_pilot_v3,utility_restoration,medium,scale_free,5,1,28,28,60,60
hysteresis_repair_pilot_v3,utility_restoration,small,grid,5,1,12,12,30,30
hysteresis_repair_pilot_v3,utility_restoration,small,scale_free,5,1,12,12,30,30
development,humanitarian,large,random_geometric,52,4,52,52,100,100
development,humanitarian,large,small_world,52,4,52,52,100,100
development,humanitarian,medium,random_geometric,52,4,28,28,60,60
development,humanitarian,medium,small_world,52,4,28,28,60,60
development,humanitarian,small,random_geometric,52,4,12,12,30,30
development,humanitarian,small,small_world,52,4,12,12,30,30
development,utility_restoration,large,grid,52,4,52,52,100,100
development,utility_restoration,large,scale_free,52,4,52,52,100,100
development,utility_restoration,medium,grid,52,4,28,28,60,60
development,utility_restoration,medium,scale_free,52,4,28,28,60,60
development,utility_restoration,small,grid,52,4,12,12,30,30
development,utility_restoration,small,scale_free,52,4,12,12,30,30
