stage,application,scheduler,episodes,independent_panels,attempted_sketch_messages,transmitted_sketch_messages,delivered_sketch_messages,dropped_sketch_messages,forwarded_sketch_messages,sketch_on_wire_bytes,operational_messages,operational_bytes,fully_counted_messages,fully_counted_bytes,mean_trigger_activation_rate,mean_trigger_compute_seconds,mean_trigger_compute_microseconds_per_evaluation,mean_primary_distributed_state_error
pilots_v2,humanitarian,periodic,12,4,79866,76217,69424,10442,62221,3048680,4396,1033688,80613,4082368,0.4250000000000001,not_recorded,not_recorded,0.08124688385410087
pilots_v2,humanitarian,predictive_uncertainty_change,8,4,79150,73474,66957,12193,59733,2938960,2932,689454,76406,3628414,0.7050709706959708,not_recorded,not_recorded,0.07606722214318712
pilots_v2,humanitarian,tsallis_spectrum_change,8,4,86407,80204,73151,13256,65265,3208160,2933,689624,83137,3897784,0.7757726648351648,not_recorded,not_recorded,0.07542000539381179
pilots_v2,humanitarian,v7_shannon_change,8,4,86090,80059,73014,13076,65184,3202360,2934,689848,82993,3892208,0.7678056318681319,not_recorded,not_recorded,0.0754275442783737
pilots_v2,utility_restoration,age_of_information,8,4,55115,51796,46891,8224,41923,2071840,1948,457382,53744,2529222,0.46383928571428573,not_recorded,not_recorded,0.07061630005386436
pilots_v2,utility_restoration,always_on,6,4,52751,48244,43632,9119,38478,1934836,1034,242857,49278,2177693,1.0,not_recorded,not_recorded,0.06499597300800043
pilots_v2,utility_restoration,generalized_information,8,4,85439,78240,70793,14646,62997,3129600,1946,456825,80186,3586425,0.7690934065934066,not_recorded,not_recorded,0.06863105046166504
pilots_v2,utility_restoration,js_drift,8,4,80986,74163,67121,13865,59718,2966520,1949,457533,76112,3424053,0.7400240384615385,not_recorded,not_recorded,0.06850621567373028
pilots_v2,utility_restoration,kpi_change,8,4,78685,72254,65337,13348,58261,2890160,1945,456619,74199,3346779,0.7067422161172161,not_recorded,not_recorded,0.06808920979967405
pilots_v2,utility_restoration,l1_belief_drift,8,4,101303,92565,83753,17550,74370,3702600,1953,458501,94518,4161101,0.9915636446886447,not_recorded,not_recorded,0.06772702439900716
pilots_v2,utility_restoration,matched_random,12,4,91755,85285,76999,14756,68791,3411400,2918,685150,88203,4096550,0.5509691697191696,not_recorded,not_recorded,0.0698204793883247
pilots_v2,utility_restoration,none,4,4,0,0,0,0,0,0,968,227262,968,227262,0.0,not_recorded,not_recorded,0.07408057059623457
pilots_v2,utility_restoration,periodic,12,4,76780,73009,66066,10714,59187,2920360,2919,685340,75928,3605700,0.4265873015873016,not_recorded,not_recorded,0.07234000681398216
pilots_v2,utility_restoration,predictive_uncertainty_change,8,4,75743,69698,63053,12690,56221,2787920,1945,456737,71643,3244657,0.6889308608058609,not_recorded,not_recorded,0.06893614823455294
pilots_v2,utility_restoration,tsallis_spectrum_change,8,4,82754,76028,68771,13983,61210,3041120,1949,457653,77977,3498773,0.7766197344322344,not_recorded,not_recorded,0.0685933985343868
pilots_v2,utility_restoration,v7_shannon_change,8,4,81581,74837,67726,13855,60264,2993480,1952,458277,76789,3451757,0.7547161172161172,not_recorded,not_recorded,0.06910689226308114
pilots_v3,humanitarian,always_on,4,4,55931,51357,46559,9372,41623,1746138,1907,448453,53264,2194591,1.0,not_recorded,not_recorded,0.06825177915845718
pilots_v3,humanitarian,generalized_information,20,4,234571,215901,195684,38887,175172,7340634,9533,2241844,225434,9582478,0.7726442307692307,not_recorded,not_recorded,0.06869733106252039
pilots_v3,humanitarian,kpi_change,4,4,40876,37593,34081,6795,30515,1278162,1906,448213,39499,1726375,0.6775412087912088,not_recorded,not_recorded,0.07004781903269035
pilots_v3,humanitarian,matched_random,4,4,37159,34532,31303,5856,28081,1174088,1906,448265,36438,1622353,0.6283997252747253,not_recorded,not_recorded,0.07007982145033562
pilots_v3,humanitarian,none,4,4,0,0,0,0,0,0,1906,448142,1906,448142,0.0,not_recorded,not_recorded,0.0866420346044441
pilots_v3,humanitarian,periodic,4,4,32404,30451,27663,4741,24791,1035334,1906,448161,32357,1483495,0.5375,not_recorded,not_recorded,0.0709693909472468
