run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,information_condition,sketch_policy,environment_seed,controller,step,agent_id,target,proposed_operational_action,information_action,communication_action,delegation_action,accepted_physical_action,counterfactual_evaluated,counterfactual_causal_utility,counterfactual_beneficial,counterfactual_harmful,predictive_uncertainty,action_value_margin,severity,safety_risk,resource_scarcity,shannon_local,pooled_uncertainty,js_disagreement,jt_disagreement_0_5,jt_disagreement_2,graph_disagreement,consensus,consensus_residual,entropy_slope,disagreement_slope,risk_kpi_confidence,risk_predictive_uncertainty,risk_shannon_js,risk_generalized_tsallis_gini,risk_graph_disagreement,risk_combined_generalized_entropic
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-00-ngo,H00,revise_delivery_priority,request_peer_evidence,negotiate_commitment,execute_autonomously,True,True,1.577812474236318,True,False,0.5092939891691277,0.1534820628471596,0.0,0.0,0.0,0.6790529126852392,0.6790529126852392,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.23455995631750343,0.5092939891691277,0.37348082383896086,0.4322478359749605,0.38057014211770035,0.2509356503006891
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-01-transport,H03,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.5782148526901224,0.10537164551150541,0.0,0.0,0.0,0.7973403029326391,0.7973403029326391,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.2579930499146416,0.5782148526901224,0.4306210168092087,0.48443949184396085,0.4095169047965181,0.27023349208656766
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-02-local_authority,H06,revise_delivery_priority,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.5442388288271003,0.265340294874584,0.14243903192545673,0.22078049948445794,0.0,0.8239919311620484,0.8239919311620484,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.299428521677484,0.5442388288271003,0.4236935143213522,0.4753848735371854,0.38858030810738214,0.2828805320097231
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-03-assessment,H09,revise_delivery_priority,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.5944519717866049,0.019470400611905914,0.5035319854687755,0.7804745774766021,0.0,0.7052877447119925,0.7052877447119925,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.4508275690018302,0.5944519717866049,0.4141027248926401,0.47755117170556305,0.4096698281503741,0.36410350139744163
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-04-clinic,H02,revise_delivery_priority,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.6702314455393467,0.04341607589845997,0.031724615104352316,0.04917315341174609,0.0,0.8797674371946854,0.8797674371946854,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.30108024830219693,0.6702314455393467,0.48803443751441,0.5430797877691311,0.4414972071265256,0.2975655831604266
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-05-shelter,H05,revise_delivery_priority,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.5470876461012912,0.22283056049006245,0.13688593904490345,0.21217320551960037,0.0,0.8041134951378132,0.8041134951378132,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.29833136899914314,0.5470876461012912,0.4198634322249698,0.4736797937067373,0.38977681136254233,0.28264532557071365
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-06-depot,H08,cancel_risky_dispatch,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.639893979527844,0.04267776178417104,0.13234032968965456,0.2051275110189646,0.0,0.8583586046739545,0.8583586046739545,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.32819455568401845,0.639893979527844,0.47054724297962625,0.5232975871249945,0.4287554714016945,0.3077856155900721
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-07-hub,H01,redirect_vehicle,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.6522951986137941,0.10782298104477905,0.0,0.0,0.0,0.8782765998986344,0.8782765998986344,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.28318036752869,0.6522951986137941,0.48048722942017624,0.535340416563813,0.4339639834177936,0.2866426556118624
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-08-ngo,H04,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.7005326144809649,0.05460467917193196,0.006971288726194343,0.010805497525601233,0.0,0.9415238432140096,0.9415238432140096,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.3021744083296724,0.7005326144809649,0.5155940065958884,0.5669445369990512,0.4542236980820053,0.30144579175774233
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-always_on,humanitarian,large,high,high,high,random_geometric,private_fragmented,always_on,771105,always_act,0,HUM-09-transport,H07,redirect_vehicle,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.6301885060286199,0.13894426989671127,0.0,0.0,0.0,0.8673272193237451,0.8673272193237451,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.27566409204973075,0.6301885060286199,0.4689072072423842,0.5237303101310584,0.42467917253202037,0.2804527816880136
