method,rl_seed,episode_index,application,regime,information_condition,environment_seed,service_loss,net_causal_utility,harmful_actions,beneficial_actions,autonomous_completed_actions,autonomous_harmful_actions,autonomous_harm_rate,operator_minutes,operational_messages,operational_bytes,sketch_messages,sketch_bytes,total_messages,total_bytes,trajectory_reward,delegation_execute_autonomously,delegation_communicate,delegation_request_evidence,delegation_defer,delegation_abstain,delegation_escalate_operator
ppo_generalized_tsallis_gini,66203,0,commercial,isolated_physical,public_shared,66408,4.305332235785007,0.5931654791578648,5,5,8,3,0.375,20.243369873697404,54,8492,76,7600,130,16092,-2.221531589869651,8,0,1,0,0,15
ppo_generalized_tsallis_gini,66203,1,humanitarian,isolated_physical,private_fragmented,66409,3.012252380771732,0.21531768571267185,1,2,2,1,0.5,20.197838762653056,52,8240,96,9600,148,17840,-0.3483901645792095,2,0,0,0,7,15
ppo_generalized_tsallis_gini,66203,2,utility_restoration,isolated_physical,private_fragmented,66410,7.250585795211112,0.1412324449370029,8,6,11,6,0.5454545454545454,20.30125571677186,52,8240,98,9800,150,18040,-2.7028436105014486,11,0,0,0,0,13
ppo_generalized_tsallis_gini,66203,3,commercial,telemetry_integrity,private_fragmented,66401,4.42307166622212,0.22485963001929818,5,4,6,2,0.3333333333333333,20.847123971188505,54,8492,112,11200,166,19692,-0.6963588302066597,6,0,1,0,0,17
ppo_generalized_tsallis_gini,66203,4,humanitarian,telemetry_integrity,public_shared,66402,2.8015881585612115,0.13455300052246402,1,1,0,0,0.0,20.256072880210866,52,8240,76,7600,128,15840,-0.15225652842890322,0,0,0,0,9,15
ppo_generalized_tsallis_gini,66203,5,utility_restoration,telemetry_integrity,private_fragmented,66403,2.976870756732654,1.4836753905991011,6,6,7,3,0.42857142857142855,20.549163043891802,58,8996,114,11400,172,20396,-0.13701234142041935,7,0,3,1,0,13
ppo_generalized_tsallis_gini,66203,6,commercial,partition,private_fragmented,66404,5.623438596035596,-0.027331750448187295,7,3,10,7,0.7,20.180979390158324,24,4096,53,5300,77,9396,-2.2438656430810795,10,0,0,0,0,14
ppo_generalized_tsallis_gini,66203,7,humanitarian,partition,private_fragmented,66405,3.1080982709297755,-0.2740610601301874,6,0,2,2,1.0,20.622086624356058,26,4348,54,5400,80,9748,-0.5972021248147658,2,3,0,0,7,12
ppo_generalized_tsallis_gini,66203,8,utility_restoration,partition,public_shared,66406,3.276917591167184,1.0554374175524828,4,5,8,3,0.375,20.215024959764744,24,4096,46,4600,70,8696,-0.25301112348220994,8,0,0,1,1,14
ppo_generalized_tsallis_gini,66203,9,commercial,correlated,private_fragmented,66407,6.605231395641472,0.12589569865632338,9,2,8,6,0.75,20.232829711501306,54,8492,118,11800,172,20292,-1.6088185939195707,8,0,1,0,0,15
ppo_generalized_tsallis_gini,66203,10,humanitarian,correlated,private_fragmented,66408,5.670075346824766,0.31402833978671973,4,3,5,3,0.6,20.174457483092212,52,8240,104,10400,156,18640,-0.7097258267529813,7,0,0,0,9,8
ppo_generalized_tsallis_gini,66203,11,utility_restoration,correlated,private_fragmented,66409,6.02516008231582,2.774965929195145,6,10,14,4,0.2857142857142857,20.36937981517096,56,8744,110,11000,166,19744,0.12532359752651312,14,0,1,2,2,5
ppo_generalized_tsallis_gini,66203,12,commercial,compound,public_shared,66410,1.5582169231859655,4.967963017809846,3,15,14,0,0.0,20.238471524667148,48,7560,72,7200,120,14760,4.700253965357889,16,0,2,0,0,6
ppo_generalized_tsallis_gini,66203,13,humanitarian,compound,private_fragmented,66401,7.527504904224782,-0.9454948878954468,7,0,4,4,1.0,21.058652524248267,50,7900,104,10400,154,18300,-1.8376585442275848,4,0,0,0,16,4
ppo_generalized_tsallis_gini,66203,14,utility_restoration,compound,private_fragmented,66402,6.634071145029461,-0.3933439741500359,8,1,6,6,1.0,20.23790468273597,44,7012,101,10100,145,17112,-1.9610887967428459,6,0,1,0,0,17
ppo_generalized_tsallis_gini,66203,15,commercial,ood,private_fragmented,66403,4.930158407495903,1.2786299103369274,5,5,7,3,0.42857142857142855,20.739654047560613,46,7308,103,10300,149,17608,0.555954880481391,7,0,1,0,0,16
ppo_generalized_tsallis_gini,66203,16,humanitarian,ood,public_shared,66404,4.407790476333119,0.4656757390916654,2,2,2,1,0.5,20.56325361890917,43,6908,80,8000,123,14908,0.8963560021758193,2,0,0,0,8,14
ppo_generalized_tsallis_gini,66203,17,utility_restoration,ood,private_fragmented,66401,5.018751526441762,0.38093322479596914,9,4,10,7,0.7,20.25935327726877,45,7160,103,10300,148,17460,-0.7439464323527912,10,0,1,0,0,13
ppo_generalized_tsallis_gini,66203,18,commercial,isolated_physical,private_fragmented,66402,4.7291758819014325,1.301290845313904,7,7,12,5,0.4166666666666667,20.20002161701551,52,8240,102,10200,154,18440,-1.1951613575995175,12,0,0,0,0,12
ppo_generalized_tsallis_gini,66203,19,humanitarian,isolated_physical,private_fragmented,66403,5.766331675343796,-0.15830360170545504,4,0,2,2,1.0,20.468052033132746,56,8744,94,9400,150,18144,-0.49247620003283354,2,2,0,0,8,12
ppo_generalized_tsallis_gini,66203,20,utility_restoration,isolated_physical,public_shared,66404,2.3480006550355594,2.0114578916551524,2,7,6,0,0.0,20.201494658422106,54,8492,68,6800,122,15292,0.8653373830050075,6,0,1,0,5,12
ppo_generalized_tsallis_gini,66203,21,commercial,telemetry_integrity,private_fragmented,66405,5.29237562958042,0.4244315890291655,8,4,10,6,0.6,20.185907778083347,52,8240,106,10600,158,18840,-2.2463642406968853,10,0,0,0,0,14
ppo_generalized_tsallis_gini,66203,22,humanitarian,telemetry_integrity,private_fragmented,66406,4.731682946595138,-0.4724484218681929,9,0,3,3,1.0,20.376911512901287,62,9500,120,12000,182,21500,-1.010112936293478,3,4,0,0,9,8
ppo_generalized_tsallis_gini,66203,23,utility_restoration,telemetry_integrity,private_fragmented,66407,3.304350070171209,0.38321542899322025,8,6,11,6,0.5454545454545454,20.93791705191951,56,8744,108,10800,164,19544,-0.15484243514028012,11,0,2,3,0,8
ppo_generalized_tsallis_gini,66203,24,commercial,partition,public_shared,66408,3.374512568975236,1.7564649428374284,7,7,9,3,0.3333333333333333,20.712993637744283,28,4600,40,4000,68,8600,1.3951550676074305,9,0,2,0,0,13
ppo_generalized_tsallis_gini,66203,25,humanitarian,partition,private_fragmented,66409,5.562031486860614,-0.38368901889726764,5,1,3,2,0.6666666666666666,20.43656265775669,24,4096,56,5600,80,9696,-0.9298623742763963,3,1,0,0,7,13
