method,rl_seed,episode_index,application,regime,information_condition,environment_seed,service_loss,net_causal_utility,harmful_actions,beneficial_actions,autonomous_completed_actions,autonomous_harmful_actions,autonomous_harm_rate,operator_minutes,operational_messages,operational_bytes,sketch_messages,sketch_bytes,total_messages,total_bytes,trajectory_reward,delegation_execute_autonomously,delegation_communicate,delegation_request_evidence,delegation_defer,delegation_abstain,delegation_escalate_operator
ppo_predictive_uncertainty,66202,0,commercial,isolated_physical,public_shared,66407,2.325457287617948,0.5634034830564788,0,2,0,0,0.0,20.184345594197648,52,8240,68,6800,120,15040,0.3314507393307711,0,0,2,0,11,11
ppo_predictive_uncertainty,66202,1,humanitarian,isolated_physical,private_fragmented,66408,2.191637495944539,1.4183836109830565,3,7,7,1,0.14285714285714285,20.617006984764075,54,8492,98,9800,152,18292,0.0820226080405596,7,1,0,1,1,14
ppo_predictive_uncertainty,66202,2,utility_restoration,isolated_physical,private_fragmented,66409,5.214925070419412,-0.10514103610656679,9,0,0,0,0.0,20.63603952195377,70,10508,94,9400,164,19908,-0.41158899179841796,0,0,8,0,0,16
ppo_predictive_uncertainty,66202,3,commercial,telemetry_integrity,private_fragmented,66410,2.8709191734524673,0.47265418620433636,0,2,0,0,0.0,20.705791534311288,52,8240,110,11000,162,19240,0.1494286711636216,0,0,0,0,7,17
ppo_predictive_uncertainty,66202,4,humanitarian,telemetry_integrity,public_shared,66401,1.5568265246611108,3.361407372315753,2,11,10,1,0.1,20.12075359718806,54,8492,60,6000,114,14492,1.0668421815942573,10,1,0,0,9,4
ppo_predictive_uncertainty,66202,5,utility_restoration,telemetry_integrity,private_fragmented,66402,4.240522814534049,-0.18492837965206999,9,0,1,1,1.0,20.77928587296514,66,10004,98,9800,164,19804,-0.8614473895910353,1,0,7,4,1,11
ppo_predictive_uncertainty,66202,6,commercial,partition,private_fragmented,66403,3.0760086083015374,0.1407614560701772,0,1,0,0,0.0,20.641873781298862,24,4096,53,5300,77,9396,-0.111694595579632,0,0,0,0,11,13
ppo_predictive_uncertainty,66202,7,humanitarian,partition,private_fragmented,66404,3.7761867360991075,0.9051099261097899,4,5,8,3,0.375,20.18250038110548,24,4096,53,5300,77,9396,-0.1632492599766327,8,0,0,0,7,9
ppo_predictive_uncertainty,66202,8,utility_restoration,partition,public_shared,66405,3.1541929972359415,0.5843743830020864,5,3,5,2,0.4,20.887045144527427,24,4096,40,4000,64,8096,-0.07723269502235874,5,0,2,0,2,15
ppo_predictive_uncertainty,66202,9,commercial,correlated,private_fragmented,66406,6.036465446291548,-0.20457990738155085,2,0,0,0,0.0,20.76034464147518,52,8240,108,10800,160,19040,-0.43879870005930016,0,0,0,0,13,11
ppo_predictive_uncertainty,66202,10,humanitarian,correlated,private_fragmented,66407,3.0885950541041183,1.0106196831762302,3,4,6,2,0.3333333333333333,20.191702598784516,52,8240,112,11200,164,19440,0.8787793918086474,6,0,0,0,6,12
ppo_predictive_uncertainty,66202,11,utility_restoration,correlated,private_fragmented,66408,7.678443232224257,-0.8349017711689108,12,0,4,4,1.0,20.82977965569797,64,9752,114,11400,178,21152,-1.7890544959807086,4,0,6,1,0,13
ppo_predictive_uncertainty,66202,12,commercial,compound,public_shared,66409,2.5998175656749827,0.32896349703646893,0,1,0,0,0.0,20.510130690790017,41,6612,63,6300,104,12912,0.07936459164241905,0,0,0,0,11,13
ppo_predictive_uncertainty,66202,13,humanitarian,compound,private_fragmented,66410,4.901371651965592,2.1060401303783554,3,6,6,1,0.16666666666666666,20.14900528746979,43,6864,96,9600,139,16464,0.08674299921241932,11,1,0,0,3,9
ppo_predictive_uncertainty,66202,14,utility_restoration,compound,private_fragmented,66401,6.025644696192597,-0.4046379988360986,18,1,4,4,1.0,21.284866783114154,62,9302,91,9100,153,18402,-0.45447359007696686,4,0,12,0,1,7
ppo_predictive_uncertainty,66202,15,commercial,ood,private_fragmented,66402,4.15273695573843,0.19032709577568965,0,1,0,0,0.0,20.262938264632073,42,6760,96,9600,138,16360,-0.10458932595874093,0,0,0,0,9,15
ppo_predictive_uncertainty,66202,16,humanitarian,ood,public_shared,66403,2.032330646289293,3.273551109293188,0,10,8,0,0.0,20.25086454917059,46,7352,70,7000,116,14352,2.2225731225432543,14,0,0,0,0,10
ppo_predictive_uncertainty,66202,17,utility_restoration,ood,private_fragmented,66404,9.104991292672663,-0.19119899031648574,17,2,4,4,1.0,21.086376050582167,65,9702,107,10700,172,20402,-0.7358426778112955,4,0,12,2,1,5
