scope,metric,estimate,rows,independent_clusters
all_single_evidence,signed_logit_change,0.13286373061795836,383,48
all_single_evidence,belief_switch_fraction,0.26370757180156656,383,48
all_single_evidence,action_switch_fraction,0.2741514360313316,383,48
all_single_evidence,commitment_change_fraction,0.10182767624020887,383,48
left_supporting_evidence,signed_logit_change,-0.2939032204251492,191,48
left_supporting_evidence,belief_switch_fraction,0.193717277486911,191,48
left_supporting_evidence,action_switch_fraction,0.21465968586387435,191,48
left_supporting_evidence,commitment_change_fraction,0.11518324607329843,191,48
right_supporting_evidence,signed_logit_change,0.5574079371243831,192,48
right_supporting_evidence,belief_switch_fraction,0.3333333333333333,192,48
right_supporting_evidence,action_switch_fraction,0.3333333333333333,192,48
right_supporting_evidence,commitment_change_fraction,0.08854166666666667,192,48
domain:repair_hypothesis,signed_logit_change,0.07989809610030127,192,24
domain:repair_hypothesis,belief_switch_fraction,0.15104166666666666,192,24
domain:repair_hypothesis,action_switch_fraction,0.16145833333333334,192,24
domain:repair_hypothesis,commitment_change_fraction,0.020833333333333332,192,24
domain:route_viability,signed_logit_change,0.18610667212261886,191,24
domain:route_viability,belief_switch_fraction,0.3769633507853403,191,24
domain:route_viability,action_switch_fraction,0.387434554973822,191,24
domain:route_viability,commitment_change_fraction,0.18324607329842932,191,24
