application,detector,rows,positive_rows,prevalence,average_precision,ap_lift_over_prevalence,roc_auc,brier_score
commercial,local_kpi_risk,2944,138,0.046875,0.9865399183742342,21.046184925316997,0.9993853750245333,0.031090477631398602
commercial,entropy_anomaly,2944,138,0.046875,0.08468229698951389,1.8065556691096296,0.6900869771814021,0.5003115677112995
commercial,energy_severity,2944,138,0.046875,0.36174545805540326,7.717236438515269,0.8892848657638395,0.495169934199936
commercial,disagreement,2944,138,0.046875,0.05488172337629279,1.1708100986942462,0.5597696964062516,0.047091869561293846
commercial,free_energy_diagnostic,2944,138,0.046875,0.2646662334680654,5.646212980652062,0.8196618013160205,0.4873523114746503
commercial,local_kpi_logistic,2944,138,0.046875,0.9915090069998913,21.152192149331015,0.9996203786916236,0.009050776390402632
commercial,kpi_plus_thermodynamic_logistic,2944,138,0.046875,0.9874610368782608,21.065835453402897,0.9994060346875743,0.00849434578132331
humanitarian,local_kpi_risk,2944,144,0.04891304347826087,0.9998070894622618,20.440500495672907,0.9999900793650793,0.02641404648171007
humanitarian,entropy_anomaly,2944,144,0.04891304347826087,0.07193988016654188,1.470770883404856,0.657843501984127,0.5105821750019406
humanitarian,energy_severity,2944,144,0.04891304347826087,0.26608935500971187,5.440049035754109,0.8425,0.47962585204594255
humanitarian,disagreement,2944,144,0.04891304347826087,0.12747737812087778,2.6062041749157236,0.7350607638888889,0.04509086159276614
humanitarian,free_energy_diagnostic,2944,144,0.04891304347826087,0.15067516006386464,3.080469939083455,0.7732316468253968,0.49487129641537053
humanitarian,local_kpi_logistic,2944,144,0.04891304347826087,0.999092507760776,20.425891269775864,0.9999528769841269,0.006796531654688385
humanitarian,kpi_plus_thermodynamic_logistic,2944,144,0.04891304347826087,0.9878423861532697,20.195888783577956,0.999563492063492,0.006106710915538371
