run_id,application,scenario,detector,threshold,first_post_disruption_activation,activation_delay,pre_disruption_false_activation,detected
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,commercial,human_v3_development-partition-compound-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-compound-partition-e10606-o40606-rnone,commercial,human_v3_development-partition-compound-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-compound-reliable-e10605-o40605-rnone,commercial,human_v3_development-reliable-compound-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-compound-reliable-e10606-o40606-rnone,commercial,human_v3_development-reliable-compound-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-correlated-partition-e10605-o40605-rnone,commercial,human_v3_development-partition-correlated-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-correlated-partition-e10606-o40606-rnone,commercial,human_v3_development-partition-correlated-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-correlated-reliable-e10605-o40605-rnone,commercial,human_v3_development-reliable-correlated-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-correlated-reliable-e10606-o40606-rnone,commercial,human_v3_development-reliable-correlated-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-moderate-partition-e10605-o40605-rnone,commercial,human_v3_development-partition-moderate-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-moderate-partition-e10606-o40606-rnone,commercial,human_v3_development-partition-moderate-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-moderate-reliable-e10605-o40605-rnone,commercial,human_v3_development-reliable-moderate-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-moderate-reliable-e10606-o40606-rnone,commercial,human_v3_development-reliable-moderate-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-nominal-partition-e10605-o40605-rnone,commercial,human_v3_development-partition-nominal-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-nominal-partition-e10606-o40606-rnone,commercial,human_v3_development-partition-nominal-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-nominal-reliable-e10605-o40605-rnone,commercial,human_v3_development-reliable-nominal-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-nominal-reliable-e10606-o40606-rnone,commercial,human_v3_development-reliable-nominal-p0.5-o0.5,local_kpi_logistic,4.011580842680303e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,commercial,human_v3_development-partition-compound-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-compound-partition-e10606-o40606-rnone,commercial,human_v3_development-partition-compound-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-compound-reliable-e10605-o40605-rnone,commercial,human_v3_development-reliable-compound-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-compound-reliable-e10606-o40606-rnone,commercial,human_v3_development-reliable-compound-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-correlated-partition-e10605-o40605-rnone,commercial,human_v3_development-partition-correlated-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-correlated-partition-e10606-o40606-rnone,commercial,human_v3_development-partition-correlated-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-correlated-reliable-e10605-o40605-rnone,commercial,human_v3_development-reliable-correlated-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-correlated-reliable-e10606-o40606-rnone,commercial,human_v3_development-reliable-correlated-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-moderate-partition-e10605-o40605-rnone,commercial,human_v3_development-partition-moderate-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-moderate-partition-e10606-o40606-rnone,commercial,human_v3_development-partition-moderate-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-moderate-reliable-e10605-o40605-rnone,commercial,human_v3_development-reliable-moderate-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-moderate-reliable-e10606-o40606-rnone,commercial,human_v3_development-reliable-moderate-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-nominal-partition-e10605-o40605-rnone,commercial,human_v3_development-partition-nominal-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-nominal-partition-e10606-o40606-rnone,commercial,human_v3_development-partition-nominal-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-nominal-reliable-e10605-o40605-rnone,commercial,human_v3_development-reliable-nominal-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-commercial-thermohitl_rule-nominal-reliable-e10606-o40606-rnone,commercial,human_v3_development-reliable-nominal-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.0658192182140641e-10,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-compound-partition-e10605-o40605-rnone,humanitarian,human_v3_development-partition-compound-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-compound-partition-e10606-o40606-rnone,humanitarian,human_v3_development-partition-compound-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-compound-reliable-e10605-o40605-rnone,humanitarian,human_v3_development-reliable-compound-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-compound-reliable-e10606-o40606-rnone,humanitarian,human_v3_development-reliable-compound-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-correlated-partition-e10605-o40605-rnone,humanitarian,human_v3_development-partition-correlated-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-correlated-partition-e10606-o40606-rnone,humanitarian,human_v3_development-partition-correlated-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-correlated-reliable-e10605-o40605-rnone,humanitarian,human_v3_development-reliable-correlated-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-correlated-reliable-e10606-o40606-rnone,humanitarian,human_v3_development-reliable-correlated-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-moderate-partition-e10605-o40605-rnone,humanitarian,human_v3_development-partition-moderate-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,9,1,True,True
monitoring_development-humanitarian-thermohitl_rule-moderate-partition-e10606-o40606-rnone,humanitarian,human_v3_development-partition-moderate-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-moderate-reliable-e10605-o40605-rnone,humanitarian,human_v3_development-reliable-moderate-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,9,1,True,True
monitoring_development-humanitarian-thermohitl_rule-moderate-reliable-e10606-o40606-rnone,humanitarian,human_v3_development-reliable-moderate-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-nominal-partition-e10605-o40605-rnone,humanitarian,human_v3_development-partition-nominal-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,14,6,True,True
monitoring_development-humanitarian-thermohitl_rule-nominal-partition-e10606-o40606-rnone,humanitarian,human_v3_development-partition-nominal-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-nominal-reliable-e10605-o40605-rnone,humanitarian,human_v3_development-reliable-nominal-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,14,6,True,True
monitoring_development-humanitarian-thermohitl_rule-nominal-reliable-e10606-o40606-rnone,humanitarian,human_v3_development-reliable-nominal-p0.5-o0.5,local_kpi_logistic,3.781522009339212e-07,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-compound-partition-e10605-o40605-rnone,humanitarian,human_v3_development-partition-compound-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-compound-partition-e10606-o40606-rnone,humanitarian,human_v3_development-partition-compound-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-compound-reliable-e10605-o40605-rnone,humanitarian,human_v3_development-reliable-compound-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-compound-reliable-e10606-o40606-rnone,humanitarian,human_v3_development-reliable-compound-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-correlated-partition-e10605-o40605-rnone,humanitarian,human_v3_development-partition-correlated-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-correlated-partition-e10606-o40606-rnone,humanitarian,human_v3_development-partition-correlated-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-correlated-reliable-e10605-o40605-rnone,humanitarian,human_v3_development-reliable-correlated-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-correlated-reliable-e10606-o40606-rnone,humanitarian,human_v3_development-reliable-correlated-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-moderate-partition-e10605-o40605-rnone,humanitarian,human_v3_development-partition-moderate-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,9,1,True,True
monitoring_development-humanitarian-thermohitl_rule-moderate-partition-e10606-o40606-rnone,humanitarian,human_v3_development-partition-moderate-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-moderate-reliable-e10605-o40605-rnone,humanitarian,human_v3_development-reliable-moderate-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,9,1,True,True
monitoring_development-humanitarian-thermohitl_rule-moderate-reliable-e10606-o40606-rnone,humanitarian,human_v3_development-reliable-moderate-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-nominal-partition-e10605-o40605-rnone,humanitarian,human_v3_development-partition-nominal-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,14,6,True,True
monitoring_development-humanitarian-thermohitl_rule-nominal-partition-e10606-o40606-rnone,humanitarian,human_v3_development-partition-nominal-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
monitoring_development-humanitarian-thermohitl_rule-nominal-reliable-e10605-o40605-rnone,humanitarian,human_v3_development-reliable-nominal-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,14,6,True,True
monitoring_development-humanitarian-thermohitl_rule-nominal-reliable-e10606-o40606-rnone,humanitarian,human_v3_development-reliable-nominal-p0.5-o0.5,kpi_plus_thermodynamic_logistic,1.763409307624177e-08,8,0,True,True
