run_id,step,application,detector,top1_hit,top3_hit,positive_agents,ranked_agents
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,8,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;carrier_05;supplier_01;carrier_06;manufacturer_03;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,9,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;carrier_05;supplier_01;carrier_06;manufacturer_03;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,10,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;carrier_05;supplier_01;carrier_06;manufacturer_03;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,11,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,12,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,13,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,14,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,15,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,16,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,17,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,18,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
monitoring_development-commercial-thermohitl_rule-compound-partition-e10605-o40605-rnone,19,commercial,local_kpi_logistic,1,1,retailer_08,retailer_08;warehouse_07;supplier_01;carrier_05;manufacturer_03;carrier_06;manufacturer_04;supplier_02
