run_id,application,scenario,detector,fixed_intervention_budget,selected_interventions,beneficial_selected,realized_counterfactual_utility,mean_selected_effect
dense_causal_development_n10_v3-commercial-thermohitl_rule-compound-reliable-e12405-o42405-rnone,commercial,human_v3_development-reliable-compound-p0.5-o0.5,causal_local_kpi_logistic,6,5,3,0.14234692997760057,0.028469385995520114
dense_causal_development_n10_v3-commercial-thermohitl_rule-compound-reliable-e12406-o42406-rnone,commercial,human_v3_development-reliable-compound-p0.5-o0.5,causal_local_kpi_logistic,6,6,2,0.04044271291844925,0.006740452153074876
dense_causal_development_n10_v3-commercial-thermohitl_rule-correlated-reliable-e12405-o42405-rnone,commercial,human_v3_development-reliable-correlated-p0.5-o0.5,causal_local_kpi_logistic,6,5,3,0.2158341014711178,0.043166820294223564
dense_causal_development_n10_v3-commercial-thermohitl_rule-correlated-reliable-e12406-o42406-rnone,commercial,human_v3_development-reliable-correlated-p0.5-o0.5,causal_local_kpi_logistic,6,6,2,0.06095324191522966,0.010158873652538277
dense_causal_development_n10_v3-commercial-thermohitl_rule-moderate-reliable-e12405-o42405-rnone,commercial,human_v3_development-reliable-moderate-p0.5-o0.5,causal_local_kpi_logistic,6,3,2,0.16717469607063085,0.05572489869021028
dense_causal_development_n10_v3-commercial-thermohitl_rule-moderate-reliable-e12406-o42406-rnone,commercial,human_v3_development-reliable-moderate-p0.5-o0.5,causal_local_kpi_logistic,6,5,1,0.1454658063995642,0.02909316127991284
dense_causal_development_n10_v3-commercial-thermohitl_rule-nominal-reliable-e12405-o42405-rnone,commercial,human_v3_development-reliable-nominal-p0.5-o0.5,causal_local_kpi_logistic,6,2,0,0.0,0.0
dense_causal_development_n10_v3-commercial-thermohitl_rule-nominal-reliable-e12406-o42406-rnone,commercial,human_v3_development-reliable-nominal-p0.5-o0.5,causal_local_kpi_logistic,6,4,0,0.0,0.0
dense_causal_development_n10_v3-commercial-thermohitl_rule-compound-reliable-e12405-o42405-rnone,commercial,human_v3_development-reliable-compound-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,5,3,0.13326076580620771,0.026652153161241542
dense_causal_development_n10_v3-commercial-thermohitl_rule-compound-reliable-e12406-o42406-rnone,commercial,human_v3_development-reliable-compound-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,6,3,0.029786356768074285,0.004964392794679047
