candidate_name,application,method,panels,mean_sketch_bytes,mean_fully_counted_bytes,mean_sketch_byte_reduction,mean_fully_counted_byte_reduction,mean_message_reduction,mean_estimation_error,mean_estimation_error_increase,mean_primary_estimation_error,mean_primary_estimation_error_increase,maximum_primary_p95,maximum_primary_p95_increase,mean_disagreement_error,mean_disagreement_error_increase,mean_detection_delay_increase,maximum_pointwise_p95,maximum_pointwise_p95_increase,mean_service_loss_increase,mean_harmful_action_increase,mean_reward_degradation,mean_activation_rate
always_on_u8,humanitarian,always_on,4,436534.5,548647.75,0.0,0.0,0.0,0.06819692651277325,0.0,0.06825177915845718,0.0,0.1711976366162931,0.0,0.06830663180414118,0.0,0.0,0.1370325091595054,0.0,0.0,0.0,0.0,1.0
always_on_u8,utility_restoration,always_on,4,314474.5,389078.0,0.0,0.0,0.0,0.06802301074194367,0.0,0.06930068916417875,0.0,0.1636201720568582,0.0,0.07057836758641381,0.0,0.0,0.141698262711124,0.0,0.0,0.0,0.0,1.0
always_on_uint8,humanitarian,always_on,4,436534.5,548647.75,0.0,0.0,0.0,0.06819692651277325,0.0,0.06825177915845718,0.0,0.1711976366162931,0.0,0.06830663180414118,0.0,0.0,0.1370325091595054,0.0,0.0,0.0,0.0,1.0
always_on_uint8,utility_restoration,always_on,4,314474.5,389078.0,0.0,0.0,0.0,0.06802301074194367,0.0,0.06930068916417875,0.0,0.1636201720568582,0.0,0.07057836758641381,0.0,0.0,0.141698262711124,0.0,0.0,0.0,0.0,1.0
generalized_010_u8,humanitarian,generalized_information,4,408705.5,520824.0,0.14501159206999675,0.10888664028736389,0.14501159206999675,0.06833626348467536,0.00013933697190209905,0.0683315968890592,7.981773060202445e-05,0.1711976366162931,0.0,0.06832693029344303,2.0298489301850964e-05,0.0,0.1370325091595054,0.0,0.0,0.0,0.0,0.8563988095238095
generalized_010_u8,utility_restoration,generalized_information,4,285498.0,360098.5,0.17557094515676122,0.127299540979015,0.17557094515676122,0.06848570864548814,0.0004626979035444751,0.06988355116754993,0.0005828620033711748,0.1680854907980197,0.004465318741161517,0.07128139368961177,0.0007030261031979752,0.04807692307692307,0.141698262711124,0.0020261919050975075,1.2447011205963747,0.25,0.002070264551890459,0.8240728021978022
generalized_011_u8,humanitarian,generalized_information,4,385092.5,497156.75,0.1910878034141988,0.14494791461193593,0.1910878034141988,0.06834223926211465,0.0001453127493413961,0.06838085308825657,0.00012907392979939758,0.1711976366162931,0.0,0.06841946691439849,0.00011283511025729845,0.0,0.1370325091595054,0.0013214361731521962,30.894460197673652,0.0,0.013288919451210024,0.8088827838827839
generalized_011_u8,utility_restoration,generalized_information,4,262301.5,336838.25,0.23861944188980122,0.17228541769017974,0.23861944188980122,0.06852520683646399,0.0005021960945203047,0.06993255165198614,0.0006318624878073973,0.1636201720568582,0.0007926693925173756,0.07133989646750832,0.0007615288810945246,0.024038461538461526,0.141698262711124,0.0020261919050975075,1.2447011205963747,0.25,0.002070264551890459,0.7544986263736264
generalized_0125_u8,humanitarian,generalized_information,4,344845.0,456958.75,0.26710808555577875,0.20426081710286378,0.26710808555577875,0.06876453496053413,0.0005676084477608725,0.06903701389527855,0.000785234736821374,0.1711976366162931,0.0,0.06930949283002297,0.0010028610258817974,0.0,0.1370325091595054,0.0,5.730828075888439,-0.5,0.02263628858751221,0.728331043956044
generalized_0125_u8,utility_restoration,generalized_information,4,232730.0,307262.75,0.3096954044158572,0.22380106198212707,0.3096954044158572,0.06886178825903477,0.0008387775170910997,0.0704462099916705,0.001145520827491751,0.1636201720568582,0.0007926693925173756,0.07203063172430618,0.0014522641378923763,0.024038461538461526,0.141698262711124,0.0020261919050975075,1.2447011205963747,0.5,0.00395759627435778,0.685679945054945
generalized_012_u8,humanitarian,generalized_information,4,360162.0,472220.75,0.2370283765411798,0.1809604473202531,0.2370283765411798,0.06856267468170794,0.00036574816893469864,0.06869366395978972,0.00044188480133254895,0.1711976366162931,0.0,0.0688246532378715,0.0005180214337303229,0.0,0.1370325091595054,0.0,30.894460197673652,0.0,0.013288919451210024,0.7581158424908425
generalized_012_u8,utility_restoration,generalized_information,4,237677.0,312146.0,0.2971310171607301,0.2149810901810477,0.2971310171607301,0.06878193856922678,0.0007589278272831009,0.07034333051765648,0.0010426413534777232,0.1636201720568582,0.0007926693925173756,0.0719047224660862,0.0013263548796723992,0.024038461538461526,0.141698262711124,0.00462072522933471,1.2447011205963747,0.5,0.003804965344026065,0.6996565934065935
generalized_013_u8,humanitarian,generalized_information,4,336353.5,448459.25,0.2818138059647765,0.21585317973686682,0.2818138059647765,0.068740668943213,0.0005437424304397514,0.06904352748021794,0.0007917483217607761,0.1711976366162931,0.0,0.06934638601722287,0.0010397542130816985,0.0,0.1370325091595054,0.0,5.730828075888439,-0.5,0.02263628858751221,0.7114926739926739
generalized_013_u8,utility_restoration,generalized_information,4,226176.5,300705.75,0.3237405153802102,0.233877234345302,0.3237405153802102,0.06919980317259825,0.0011767924306545774,0.07093248834651568,0.0016317991823369266,0.1636201720568582,0.0008209708542164934,0.07266517352043317,0.002086805934019371,0.024038461538461526,0.141698262711124,0.0020261919050975075,1.2447011205963747,0.5,0.00395759627435778,0.6688873626373626
kpi_012_u8,humanitarian,kpi_change,4,319540.5,431593.75,0.3203408298875855,0.24563713821390126,0.3203408298875855,0.06975401774707107,0.0015570912342978208,0.07004781903269035,0.0017960398742331712,0.1711976366162931,0.0007602396765735986,0.07034162031830962,0.0020349885141684454,0.0,0.138641054822767,0.0016085456632616013,30.894460197673652,-0.25,0.011366320210106862,0.6775412087912088
kpi_012_u8,utility_restoration,kpi_change,4,227528.0,302129.25,0.3220954254439786,0.231580980829284,0.3220954254439786,0.0686440989675612,0.0006210882256175252,0.0704172750128198,0.0011165858486410513,0.1680854907980197,0.004465318741161517,0.07219045105807839,0.0016120834716645965,0.0,0.141698262711124,0.00168406590028361,0.0,0.0,0.0005808916961905428,0.6750343406593406
