accepted_physical_actions_v8,action_policy_id,actionable_opportunities,agent_count,allocation_inequality_gini,application,attempted_sketch_messages,autonomous_beneficial_actions,autonomous_harmful_actions,autonomous_neutral_actions,belief_updates_from_delivered_sketches,beneficial_actions,commitment_failures,completed_at,complexity,consensus_recovery_steps,conservation_feasible,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivered_sketch_messages,delivered_useful_sketch_bytes,delivery_completion,detected_groups,detection_groups,detection_recall,disagreement_time_integrated_error,dropped_messages,dropped_sketch_messages,encoding,environment_seed,estimator_target,event_count,false_alarm_groups,false_alarm_rate,forwarded_sketch_messages,fragmentation,fully_counted_bytes,fully_counted_messages,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,maximum_detection_delay_steps,maximum_message_age,mean_detection_delay_steps,mean_message_age,mean_quantization_l1_error,net_causal_utility,network_disruption,neutral_actions,normalized_autonomous_reward,normalized_time_integrated_estimation_error,operational_bytes,operational_messages,operational_node_count,operator_escalation_requests,operator_executed_actions,physical_actions,pointwise_estimation_mae_max,pointwise_estimation_mae_p90,pointwise_estimation_mae_p95,primary_distributed_state_error,primary_distributed_state_error_p95,privacy_boundary_pass,proposed_physical_actions,redundant_sketch_bytes,resource_waste,retries,run_id,scheduler,service_loss,service_reaching_actions,sketch_bytes,sketch_header_bytes,sketch_integrity_bytes,sketch_messages,sketch_on_wire_bytes,sketch_payload_bytes,stage,stale_belief_rows,stale_sketch_bytes,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,transmitted_sketch_messages,trigger_activation_rate,trigger_activations,trigger_configuration_digest,trigger_evaluations,trigger_reasons,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
271,frozen_local_rule,401,52,0.41141651826864156,humanitarian,23527,111,156,0,1038,111,0,2026-08-17T03:54:19.080040+00:00,large,52.0,True,high,76171.84044738034,199,20,19611,428400,154.76434338456008,146,146,1.0,0.06835234359615011,155,3916,uint8_simplex,880304,pooled_current_private_evidence_pre_exchange,61656,144,0.9230769230769231,17779,high,980806,22692,156,100,1040,private_fragmented,3,3.126388037344441e-13,15.0,90.0,0.10273972602739725,19.817307692307693,0.0011008529579479012,426.8726725989609,high,0,-29.143497640383583,0.07140669801333223,244638,1040,30,221,0,271,0.17800287593458955,0.11080973069722806,0.12475956966740964,0.06987952080474115,0.12835995182545998,True,662,238374,11.345513025513306,0,v8-pilots_v3-humanitarian-large-high-high-high-modular-private_fragmented-880304-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule,predictive_uncertainty_change,157081.693708834,95,0,519648,86608,0,736168,129912,pilots_v3,694,0,2026-08-17T03:54:05.775802+00:00,d10700c13c1009c2a3d17eb7134687bfa5237fae93f6709535236b8cc9da23b4,16,modular,244638,1040,21652,0.7115384615384616,740,71c476debc21,1040,"{'initial_reference': 156, 'maximum_silence': 259, 'predictive_uncertainty_change': 625}",3869.5627551050893,,,,,,,,
139,frozen_local_rule,177,28,0.4649249781463079,humanitarian,12881,50,88,0,1364,50,0,2026-08-17T03:51:53.660957+00:00,medium,31.0,True,high,13952.997169717986,162,15,10800,214540,112.14427783702172,84,84,1.0,0.06516671993841959,103,2081,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,31123,72,0.8571428571428571,9602,high,499916,12222,88,60,420,private_fragmented,3,9.947598300641403e-14,12.0,48.0,0.42857142857142855,13.6,0.0011472158390178875,128.39276700390718,high,0,-15.46644630125145,0.0762740239596123,98648,420,16,88,0,139,0.18132095442499155,0.12156354522548093,0.1370325091595054,0.07072037194901597,0.13140977124865097,True,281,152660,3.0,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on,27202.272998342913,61,0,283248,47208,0,401268,70812,pilots_v3,113,0,2026-08-17T03:51:47.569609+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98648,420,11802,1.0,420,f06f6808d09b,420,"{'always_on': 336, 'initial_reference': 84}",1257.5332413682784,,,,,,,,
139,frozen_local_rule,177,28,0.4649249781463079,humanitarian,10346,50,88,0,1086,50,0,2026-08-17T03:52:06.335560+00:00,medium,31.0,True,high,13952.997169717986,162,15,8681,172278,112.14427783702172,84,84,1.0,0.06513976446044627,103,1665,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,26469,72,0.8571428571428571,7719,high,421334,9911,88,60,420,private_fragmented,3,9.947598300641403e-14,12.0,48.0,0.42857142857142855,15.457142857142857,0.0011500314723688712,128.39276700390718,high,0,-15.46644630125145,0.07623631326275142,98640,420,16,88,0,139,0.18132095442499155,0.12156354522548093,0.1370325091595054,0.07068803886159884,0.13140977124865097,True,281,122876,3.0,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-generalized_information-189d159ea878-uint8_simplex-frozen_local_rule,generalized_information,27202.272998342913,61,0,227784,37964,0,322694,56946,pilots_v3,161,0,2026-08-17T03:52:00.707071+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98640,420,9491,0.7976190476190477,335,189d159ea878,420,"{'below_threshold': 85, 'generalized_information_on': 251, 'initial_reference': 84}",1257.5332413682784,,,,,,,,
138,frozen_local_rule,176,28,0.4649249781463079,humanitarian,9650,50,87,0,1015,50,0,2026-08-17T03:52:11.758619+00:00,medium,31.0,True,high,13952.997169717986,162,15,8135,160752,112.14427783702172,84,84,1.0,0.06484932214821719,103,1515,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,25225,72,0.8571428571428571,7236,high,400900,9310,87,60,420,private_fragmented,3,9.947598300641403e-14,12.0,48.0,0.42857142857142855,15.552380952380952,0.0011444233061883768,128.55276700390718,high,0,-15.461415716794468,0.07617807033405169,98640,420,16,88,0,138,0.18132095442499155,0.12156354522548093,0.1370325091595054,0.07051369624113443,0.13140977124865097,True,280,115838,3.0,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_information,27202.272998342913,61,0,213360,35560,0,302260,53340,pilots_v3,165,0,2026-08-17T03:52:05.963932+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98640,420,8890,0.7428571428571429,312,347f2bd91f38,420,"{'below_threshold': 108, 'generalized_information_on': 228, 'initial_reference': 84}",1257.5332413682784,,,,,,,,
139,frozen_local_rule,177,28,0.4649249781463079,humanitarian,11748,50,88,0,1228,50,0,2026-08-17T03:51:54.509052+00:00,medium,31.0,True,high,13952.997169717986,162,15,9835,195160,112.14427783702172,84,84,1.0,0.06502748364380175,103,1913,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,29025,72,0.8571428571428571,8749,high,464390,11177,88,60,420,private_fragmented,3,9.947598300641403e-14,12.0,48.0,0.42857142857142855,14.82857142857143,0.0011440118159950958,128.39276700390718,high,0,-15.46644630125145,0.07599098297104158,98652,420,16,88,0,139,0.18132095442499155,0.12156354522548093,0.1370325091595054,0.07050923330742168,0.13140977124865097,True,281,139230,3.0,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-generalized_information-44ac3fea1aa8-uint8_simplex-frozen_local_rule,generalized_information,27202.272998342913,61,0,258168,43028,0,365738,64542,pilots_v3,146,0,2026-08-17T03:51:48.728130+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98652,420,10757,0.9095238095238095,382,44ac3fea1aa8,420,"{'below_threshold': 38, 'generalized_information_on': 298, 'initial_reference': 84}",1257.5332413682784,,,,,,,,
139,frozen_local_rule,177,28,0.4649249781463079,humanitarian,11098,50,88,0,1155,50,0,2026-08-17T03:51:59.517109+00:00,medium,31.0,True,high,13952.997169717986,162,15,9292,184484,112.14427783702172,84,84,1.0,0.06500937388416962,103,1806,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,27832,72,0.8571428571428571,8264,high,444111,10581,88,60,420,private_fragmented,3,9.947598300641403e-14,12.0,48.0,0.42857142857142855,15.209523809523809,0.0011486260346509538,128.39276700390718,high,0,-15.46644630125145,0.07603407176240871,98637,420,16,88,0,139,0.18132095442499155,0.12156354522548093,0.1370325091595054,0.07052172282328917,0.13140977124865097,True,281,131444,3.0,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-generalized_information-51c1900045ef-uint8_simplex-frozen_local_rule,generalized_information,27202.272998342913,61,0,243864,40644,0,345474,60966,pilots_v3,152,0,2026-08-17T03:51:53.502160+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98637,420,10161,0.8595238095238096,361,51c1900045ef,420,"{'below_threshold': 59, 'generalized_information_on': 277, 'initial_reference': 84}",1257.5332413682784,,,,,,,,
138,frozen_local_rule,176,28,0.4649249781463079,humanitarian,9942,50,87,0,1046,50,0,2026-08-17T03:52:06.663883+00:00,medium,31.0,True,high,13952.997169717986,162,15,8347,165410,112.14427783702172,84,84,1.0,0.0652877515020266,103,1595,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,25729,72,0.8571428571428571,7426,high,408991,9548,87,60,420,private_fragmented,3,9.947598300641403e-14,12.0,48.0,0.42857142857142855,15.571428571428571,0.0011463098318308586,128.55276700390718,high,0,-15.461415716794468,0.07630526585756786,98639,420,16,88,0,138,0.18132095442499155,0.11995099419025675,0.1370325091595054,0.07079650867979723,0.13140977124865097,True,280,118388,3.0,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_information,27202.272998342913,61,0,219072,36512,0,310352,54768,pilots_v3,165,0,2026-08-17T03:52:01.193776+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98639,420,9128,0.7642857142857142,321,e25eb5b9df1b,420,"{'below_threshold': 99, 'generalized_information_on': 237, 'initial_reference': 84}",1257.5332413682784,,,,,,,,
139,frozen_local_rule,177,28,0.4649249781463079,humanitarian,9286,50,88,0,997,50,0,2026-08-17T03:52:17.788164+00:00,medium,31.0,True,high,13952.997169717986,162,15,7873,154666,112.14427783702172,84,84,1.0,0.06642880142091268,103,1413,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,24601,72,0.8571428571428571,6992,high,390561,9006,88,60,420,private_fragmented,3,9.947598300641403e-14,12.0,52.0,0.42857142857142855,17.066666666666666,0.0011497629186043483,128.39276700390718,high,0,-15.46644630125145,0.07765746036317052,98637,420,16,88,0,139,0.18132095442499155,0.1236032802318236,0.13864105482276706,0.07204313089204159,0.13140977124865097,True,281,113016,3.0,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_change,27202.272998342913,61,0,206064,34344,0,291924,51516,pilots_v3,178,0,2026-08-17T03:52:12.447329+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98637,420,8586,0.7119047619047619,299,314c8c128df2,420,"{'initial_reference': 84, 'kpi_change': 312, 'maximum_silence': 24}",1257.5332413682784,,,,,,,,
139,frozen_local_rule,177,28,0.4649249781463079,humanitarian,8303,50,88,0,900,50,0,2026-08-17T03:52:23.022684+00:00,medium,31.0,True,high,13952.997169717986,162,15,7113,138924,112.14427783702172,84,84,1.0,0.06483571213977124,103,1190,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,22858,72,0.8571428571428571,6353,high,362946,8194,88,60,420,private_fragmented,3,9.947598300641403e-14,24.0,48.0,0.5714285714285714,17.6,0.001110196337204136,128.39276700390718,high,0,-15.46644630125145,0.07785386011550792,98630,420,16,87,0,139,0.18132095442499155,0.1245177648094386,0.14179711597912165,0.07134478612763959,0.12996518118155717,True,280,102918,3.0,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule,matched_random,27202.272998342913,61,0,186576,31096,0,264316,46644,pilots_v3,197,0,2026-08-17T03:52:17.694858+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98630,420,7774,0.6357142857142857,267,681a73b1e0f1,420,"{'initial_reference': 84, 'matched_random_selected': 158, 'matched_random_wait': 153, 'maximum_silence': 25}",1257.5332413682784,,,,,,,,
136,frozen_local_rule,172,28,0.4663303004115029,humanitarian,0,49,85,0,0,49,0,2026-08-17T03:51:51.594849+00:00,medium,31.0,True,high,14051.573128104837,162,15,0,0,109.12028281437374,84,84,1.0,0.11345580721619218,103,0,uint8_simplex,880302,pooled_current_private_evidence_pre_exchange,7435,72,0.8571428571428571,0,high,98625,420,85,60,420,private_fragmented,3,9.947598300641403e-14,0.0,0.0,0.0,0.0,0.0,125.56437639587116,high,0,-15.480888504240465,0.07980320039254385,98625,420,16,87,0,136,0.18293434371369546,0.1255025815743143,0.14094358883018288,0.09662950380436802,0.1586391102457386,True,275,0,5.5,0,v8-pilots_v3-humanitarian-medium-high-high-high-small_world-private_fragmented-880302-none-806ed450405e-uint8_simplex-frozen_local_rule,none,27234.33543331621,61,0,0,0,0,0,0,pilots_v3,0,0,2026-08-17T03:51:48.632156+00:00,a400bc044a7208b988280d5bd749cebf207602176cac46eab925e013f3014c1c,12,small_world,98625,420,0,0.0,0,806ed450405e,420,{'disabled': 420},1261.1427685628892,,,,,,,,
